{'短评内容': '服务太差。四星级酒店不能刷预售，只能刷消费。', '短评打分': 1}
{'短评内容': '毛巾什么太脏了，喝茶时茶渍弄到桌子上，用毛巾擦了，竟然要我赔一条毛巾', '短评打分': 5}
{'短评内容': '好好好好好看好好看好好看好好好好好好看看好好看看好好看看好好看看好好看看好好看看好好看看好好看看好好看看', '短评打分': 5}
{'短评内容': '总体感觉不错。', '短评打分': 4}
{'短评内容': '内部设施太不好了', '短评打分': 4}
{'短评内容': '还可以 常住', '短评打分': 5}
{'短评内容': '不好，第一晚半夜把空调给关了，冷得我个半死，找出备用被子上一滩血不敢盖了，洗澡没莲蓬头很不方便，差评！', '短评打分': 2}
{'短评内容': '彭山出差必住的酒店！星级最高，干净卫生，设施齐全，最重要的早餐非常好吃！面实在是美味！', '短评打分': 5}
{'短评内容': '都说是彭山最好的酒店，卫生还行，服务态度好，以后还去……', '短评打分': 4}
{'短评内容': '设施确实需要在提高下。毕竟时间有点久了。服务不错', '短评打分': 5}
{'短评内容': '哈哈', '短评打分': 5}
{'短评内容': '交通方便 房间大 性价比比较高', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '总体感觉还是不错的，就是早餐差了', '短评打分': 4}
{'短评内容': '马马虎虎的', '短评打分': 4}
{'短评内容': '一般化', '短评打分': 5}
{'短评内容': '环境还可以，就是单间床小了点。', '短评打分': 3}
{'短评内容': '服务很好！卫生条件也不错！\n最舒服的就是床很软  很舒服！\n其次就是酒店的早餐！', '短评打分': 5}
{'短评内容': '可以，在当地。也算最好的酒店了················', '短评打分': 5}
{'短评内容': '气的我要死，每次住。半夜就把空调关了。·····每次都是热醒的', '短评打分': 1}
{'短评内容': '不错的地方，很清静。没什么配套设施。', '短评打分': 3}
{'短评内容': '不错，有档次。就是位置偏了一点.........', '短评打分': 5}
{'短评内容': '一个很舒适的的酒店,价格很便宜,硬件条件很好,就是早餐比较差.', '短评打分': 5}
{'短评内容': '酒店环境好~舒服~顶一个！彭山的美食也特别好吃！下次还会来……', '短评打分': 5}
{'短评内容': '酒店设施布局都很不错，很任性话的设计，而且房间比较宽敞。', '短评打分': 5}
{'短评内容': '酒店服务人员态度很好，有什么问题找效率也很高。', '短评打分': 5}
{'短评内容': '彭山县规模比较大的酒店，环境设施都比较达标。', '短评打分': 5}
{'短评内容': '彭山县这家酒店，刚刚装修完不久，入住体验很舒适。', '短评打分': 5}
{'短评内容': '我比较喜欢酒店其中一点就是，卫生间和洗澡间是分开的空间也很大。', '短评打分': 5}
{'短评内容': '酒店的装潢设施都很不错，房间非常宽敞，很舒适的酒店。', '短评打分': 5}
{'短评内容': '房间干净舒适，服务热情标准。态度友善，性价比适中的酒店。', '短评打分': 5}
{'短评内容': '这家酒店位于县城里面出行交通都非常非方便，环境也很好。', '短评打分': 5}
{'短评内容': '酒店设施配置都比较新，配置都很不错。值得推荐入住。', '短评打分': 5}
{'短评内容': '在当地这个酒店位置相对有些偏，', '短评打分': 5}
