{'短评内容': '网上说3点前退房，前台说12点就要退，有的人又可以1点才退，设施还行，住的也蛮舒服，前台服务太差。押金退还也没有凭证，啥时候到账也不知道', '短评打分': 3}
{'短评内容': '房间很卫生也特别大', '短评打分': 5}
{'短评内容': '前台服务特别热情问路线也详细回答', '短评打分': 5}
{'短评内容': '蛮喜欢的，房间特别大', '短评打分': 5}
{'短评内容': '不错。。。', '短评打分': 5}
{'短评内容': '空调效果太差', '短评打分': 3}
{'短评内容': '酒店的床很硬，而且有蚊子，环境很差。', '短评打分': 3}
{'短评内容': '如果可改變wifi 就好了，地方也舒適，房間夠寛敞', '短评打分': 3}
{'短评内容': '酒店改名没及时体现出来，新装修', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '房间没有无线，空调比较吵，没有热水，其他都还好', '短评打分': 3}
{'短评内容': '在携程定的酒店价格是198，但结账时要付248，经交涉后才改为198.', '短评打分': 1}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '一', '短评打分': 2}
