{'descr': '不错的体验', 'star': 5}
{'descr': '除了小，其它都好', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '好好好好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '特别好舒服的66666', 'star': 5}
{'descr': '不错，值得再去，非常干净', 'star': 5}
{'descr': '不错，挺好的，便宜挺多的', 'star': 5}
{'descr': '最好的一次住宿啊啊啊啊啊啊啊', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '不错，服务特好', 'star': 5}
{'descr': '酒店就那样吧', 'star': 2}
{'descr': '各方面都很好，价格实惠。', 'star': 5}
{'descr': '卫生很好，服务也挺好，楼层高，安静。美中不足的还是房间内的电视过于小，还有的基础的服务设施任然需要不断加强，比如针线包，纸笔之类的。大体还挺满意。', 'star': 4}
{'descr': '环境很好，设施完善，要是能加一台电脑就完美了，嘻嘻。。。', 'star': 5}
{'descr': '服务挺好的。', 'star': 5}
{'descr': '整体还不错，餐厅也可以', 'star': 5}
{'descr': '可以接受。', 'star': 5}
{'descr': '不错。。。。。。。。', 'star': 3}
{'descr': '基本接受。', 'star': 5}
{'descr': '位置很好，性价比也不错，周围比较繁华，不用坐车就可以逛街。', 'star': 5}
{'descr': '如家入住感觉还可以', 'star': 5}
{'descr': '房间比较小，室内设施齐全，还算可以', 'star': 4}
{'descr': '房建比较小，挨着城隍庙，吃饭的地方很多，挺不错的', 'star': 5}
{'descr': '还行，周边比较热闹，吃喝购物都方便。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '离市区很近，房间有点小，但是住着蛮舒服的。', 'star': 5}
{'descr': ' 硬件可以，一如既往。', 'star': 3}
{'descr': '方便 除了方便还是方便  就是用虫子  隔音效果也很好 的', 'star': 5}
{'descr': '3层不好，正对着厨房的通风口，一天一夜没开窗子，开窗味很大。其它还可以。', 'star': 5}
{'descr': '一如既往的如家风格，位置不错，打扫房间很及时，打扫房间的大姐很负责', 'star': 5}
{'descr': '起码距离城隍庙很近 但是吧房间里有好多潮虫子', 'star': 5}
{'descr': '还是不错的，平时我都住那里，主要是隔音效果好，隔壁住着两口子也不怕', 'star': 5}
{'descr': '两个字。太差，太差，太差，太差，太差，太差，太差', 'star': 1}
{'descr': '服务态度特差，卫生也差，管理混乱。我在此住店结帐后，让店方结帐确认都不能完成，郁闷。\n\n', 'star': 1}
{'descr': '经常去那边出差，长治没什么可选的，无非是锦江和这里，根据自己喜好来吧。\n', 'star': 5}
{'descr': '很方便，距离城隍庙非常近。下次还选这个店', 'star': 5}
{'descr': '怎么说呢，头一次出差住如家，饭菜很可口的，不错！', 'star': 5}
{'descr': '酒店环境还不错，挺安全。', 'star': 3}
{'descr': '很安静的酒店，房间很小，但很干净，很温馨，只是不包括早餐，最大的不足就是没有停车场', 'star': 3}
{'descr': '\n欢迎大家来，干净好，好，不错的呵呵大家开车吧给点', 'star': 5}
{'descr': '我们觉得很好，很干净真德，就是房间小了点呵呵总的来说好12', 'star': 5}
{'descr': '很好的酒店，我 每次到长治都住这里！后面是城隍庙夜市，市中心，交通便利！', 'star': 5}
{'descr': '位置很好，交通方便，也很干净，下次有机会还要住。', 'star': 5}
{'descr': '刚进房间很失望，房间小，烟味很大，使用了熏香才好，但服务态度还行。挺干净，床被很舒服。', 'star': 3}
{'descr': '感觉还行服务态度好', 'star': 3}
{'descr': '还可以，还是需要一定的加强。房间小但是很温馨，下次还来吧。就是没有早点，这是遗憾啊。', 'star': 5}
{'descr': '什么破酒店，脏的要死，服务态度不好，下次再也不会住了，亲们，千万不要上当了！便宜没好货', 'star': 3}
{'descr': '感觉一般，有点名不符实的感觉，订的商务大床房219房间更像普通大床房', 'star': 3}
{'descr': '很好 可以看见城隍庙的全景 购物饮食都很方便', 'star': 5}
{'descr': '环境还可以，离城隍庙也近，电视宽带都有，就是没有免费早餐。', 'star': 5}
{'descr': '房间太小，打扫的不干净，有前面客人留下的脏东西', 'star': 1}
{'descr': '房间小，不带早餐，这价格不如去别的酒店了', 'star': 1}
{'descr': '不错！位置不错，后面就是当地最大的博源超市', 'star': 5}
{'descr': '房间还可以', 'star': 3}
{'descr': '感觉不错，干净，就是房间小了点。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间比较干净，位置也不错，就是房间不带早餐', 'star': 5}
