{'短评内容': '服务热情，房间大，给力', '短评打分': 5}
{'短评内容': '住过最差的七天了，价格还贵', '短评打分': 3}
{'短评内容': '服务不错，环境不错，好评先！', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '环境不错，旁边有一个新开的广场，很多好吃的！还是错层！很好', '短评打分': 5}
{'短评内容': '酒店设备需要提升，目前太老了', '短评打分': 4}
{'短评内容': '硬件环境需要提升', '短评打分': 4}
{'短评内容': '环境挺好，空调给力，唯一不足是门不能反锁', '短评打分': 5}
{'短评内容': '酒店在老城中心，周边出行方便。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间旧，还要付押金！其他连锁酒店都没有要付押金的！房间淋浴头还是坏的，地漏也堵的。周边环境也不咋的。第一次来也是最后一次来！就是感觉各种脏乱差！', '短评打分': 2}
{'短评内容': '差差差，交钱就不退款！', '短评打分': 1}
{'短评内容': '还不错，下次还可以预定，交通比较方便！', '短评打分': 3}
{'短评内容': '位置方便，还算干净', '短评打分': 4}
