{'短评内容': '不好，到了说没房间。还吵架了', '短评打分': 3}
{'短评内容': '还行吧。。出行还算方便，设施一般，就是没有电梯上楼累不讲就的可以选择', '短评打分': 3}
{'短评内容': '酒店很干净，前台服务态度很好*洛阳牡丹节酒店都好贵，艺龙网团购的便宜了一半*', '短评打分': 3}
{'短评内容': '房间，卫生间发霉，201房间没有电话空调坏，热水小，早餐差！', '短评打分': 3}
{'短评内容': '酒店靠近高速路口，方便干净！', '短评打分': 3}
{'短评内容': '除了服务员的态度好，酒店一无是处，没见过这么差的酒店，设施老化，房间臭气熏天', '短评打分': 2}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间太潮湿，没法住', '短评打分': 1}
{'短评内容': '卫生一般，室内潮湿，设室陈旧；特别是早餐处的一个大嫂，脸拉的老长，象别人欠她钱似的：不过前台的服务还是值得称赞，房间押金忘记退给我，不过又打电话让我回去取了！', '短评打分': 3}
{'短评内容': '房间小，设施老，地毯脏死了，总之三个字脏乱差！厕所还没有门！', '短评打分': 1}
{'短评内容': '服务态度挺好，房间条件一般，基本上符合这个价格', '短评打分': 3}
{'短评内容': '总的条件还可以，卫生条件不错，就是没有电梯不太方便。', '短评打分': 5}
{'短评内容': '总体来说还算可以，只是设施有点旧了，早餐不是很丰盛', '短评打分': 5}
