{'短评内容': '而行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '停车免费，位置好找，环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 住的大床房，床很大，一家人睡觉都还比较宽。周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '可以非常好', '短评打分': 5}
{'短评内容': '环境很好且干净，房间大，步行1公里到江门汽车总站，很方便！酒店一楼有南北菜馆，符合大众口味，适合旅游及公务出行！', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '旁边没什么吃饭的地方，晚上有点吵', '短评打分': 4}
{'短评内容': 'Wi-Fi能卡到基本用不了 心疼我的流量 房间大 但有霉味', '短评打分': 3}
{'短评内容': '网速不给力', '短评打分': 4}
{'短评内容': '离汽车站很近，价位合适。', '短评打分': 3}
{'短评内容': '无线信号非常差，建议换独立无线。然后厕所很藏。', '短评打分': 3}
{'短评内容': '前台接待女服务态度差，房间老旧，', '短评打分': 3}
{'短评内容': '好评', '短评打分': 4}
{'短评内容': '没感觉有什么优惠，也没很好地服务态度。我当初是因为出差办事方便', '短评打分': 1}
{'短评内容': '不值得，谁说新的？亏啊', '短评打分': 3}
{'短评内容': '赞：我是26号入住的，首先必须赞一下当班服务员的态度好，不是反话，当时我虽然知道酒店是在车站附近，却找不到路，当时那前台的服务员看外面下着很大的雨，而我打电话问路后又还没到，所以还特意回我电话找我。\n批：服务态度是不错，但酒店的硬件不怎么行。不是说破啊、烂啊的，主要是我当时住的是标准单人房，我不知道是不是所有的标准单人房都是在一楼的，反正我那间房的位置是通过前台走到院子里的另一边，发现窗外就是那个', '短评打分': 1}
{'短评内容': '定了间单人豪华房，面积真够大的，带电脑，环境不错，网速也很快。', '短评打分': 3}
{'短评内容': '酒店员工服务态度非常好，热情真诚，酒店也是全新装修，设备齐全，房间干净舒适，确实有种宾至如归的感觉……大大的赞一个，好！！！！！', '短评打分': 3}
{'短评内容': '一般般，入住豪华房窗户是坏的，马桶也坏了，性价比不高', '短评打分': 1}
{'短评内容': 'hao..................................................................', '短评打分': 5}
