{'短评内容': '简直差到极点，没见过这样的酒店，没有下次', '短评打分': 1}
{'短评内容': '千万千万不要选这个宾馆  服务态度太差太差。没有一点礼貌 老板娘态度太恶劣 只有她一个人没前台 而且地方太偏 携程也不让我们取消订单 总之大大的差评', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '设施特别的差，房间也特别小，以后再也不住了，虽然价格很便宜，但是真的很难过，早上特别吵，可能是在马路旁边', '短评打分': 2}
{'短评内容': '很好，干净卫生，态度很好，钱花的很值', '短评打分': 5}
{'短评内容': '比想象的 好很多，服务 态度 也很不错', '短评打分': 5}
{'短评内容': '节假日出去的，整体一般', '短评打分': 3}
{'短评内容': '整体还不错。停车位有限。设施一般。有无线网。老板人不错，挺热情。', '短评打分': 3}
{'短评内容': '整体很不错，对得起这个价格。', '短评打分': 4}
{'短评内容': '住得很温馨---老板热情---赞一个！今后如果到扬州还会光临该店的。', '短评打分': 5}
{'短评内容': '挺不错的一家店，离景区比较近，客服也很好。', '短评打分': 5}
{'短评内容': '地点有点偏，晚上不方便出去玩耍，但是老板服务态度很好撒', '短评打分': 5}
