{'短评内容': '早餐一般较好。位置离温泉很近，每人90。建议开车自驾游。', '短评打分': 5}
{'短评内容': '酒店环境很好，温泉就在旁边很方便', '短评打分': 5}
{'短评内容': '总的来说是很不错的，就是房间订错了，入住后才发现的，换不了，态度很诚恳，5分', '短评打分': 5}
{'短评内容': '前台的服务员态度缺乏热情，比较老的酒店，听说以前专供开会接待的地方', '短评打分': 4}
{'短评内容': '早餐是自助的，在酒店二楼，只能说是一般。别墅房间挺大的可以加床，好像是200元一张床。带着孩子没有问题，孩子肯定玩的嗨!酒店很好找，开导航就可以了。酒店停车场很大，免费的。', '短评打分': 5}
{'短评内容': '第二次来了，确实不错', '短评打分': 5}
{'短评内容': '受一大气 到前台报姓名被告知没有预定 打京东客服才把预定信息发到酒店才办理好   以后不会用京东酒店了', '短评打分': 5}
{'短评内容': '下了单说没有订到，并没有住上笑cry', '短评打分': 5}
{'短评内容': '环境不错，泡温泉方便', '短评打分': 5}
{'短评内容': '温泉不错，酒店很安静。', '短评打分': 5}
{'短评内容': '房间很好，温泉也很不错。', '短评打分': 5}
{'短评内容': '环境优雅，很安静！卫生服务都很棒', '短评打分': 5}
{'短评内容': '泡温泉福州最好的还是贵安，这一带有好多温泉区，这家是最老字号的温泉酒店，温泉区还是蛮多泡池的，晚上还有表演看，还行……', '短评打分': 4}
{'短评内容': '环境好，交通不是很方便，适合泡温泉', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这是第二次去这个酒店泡温泉了，总体感觉还是可以的，问题有三点一是温泉买票只能进去一次这比较不适用，因为泡温泉基本不会泡太久所以在里面也是满纠结的，二是酒店的娱乐节目太少很无聊，三是饮食方面没什么特色而且选择性也很少。', '短评打分': 5}
{'短评内容': '酒店环境很好，酒店有些老旧，泡温泉要另购票，性价比都可以。', '短评打分': 4}
{'短评内容': '服务一般，温泉区私密不够，酒店比较旧', '短评打分': 2}
{'短评内容': '酒店一般，朋友入住的，设施一般，卫生尚好', '短评打分': 5}
{'短评内容': '很不错的酒店啊！还会来的。', '短评打分': 3}
{'短评内容': '设施一般， 泡温泉位置方便！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '垃圾酒店 服务特别差', '短评打分': 3}
{'短评内容': '环境还行，就是服务跟不上··那么多人 就那么2个办理退房。温泉里那么多人，就3个人结账 各种没有秩序', '短评打分': 5}
{'短评内容': '酒店环境较好，就是泡温泉的费用较高，不是一起进行，分开结账的，其实是可以住宿结合方式比较好', '短评打分': 5}
{'短评内容': '酒店房间很干净，床铺也很舒服，很多小细节小物件都下了功夫的，但问题是设施不行，马桶怎么也冲不下去，服务员拿皮揣子来搞过了，也还是不行，感觉开业时的标准就是个2-3星级，隔音效果也很差，隔壁人声听的很清楚，3楼的住客在洗脸，我住2楼就感觉楼板不存在。所以这个价位，偏高了。 ——还好，旁边的天然温泉太棒了，简直人间仙境，所以淡化了住宿问题，不过外地人来泡温泉，不住在这里，好像真的没有其他选择。 ', '短评打分': 5}
{'短评内容': '总体感觉不错，房间干净大方，卫生间也很清楚，服务上倒是有待加强，退房要很久。硬件不错软件跟不上。但总体还是不错，下次还会入住。', '短评打分': 3}
{'短评内容': '十该酒店很适合度假但价格偏贵了', '短评打分': 3}
{'短评内容': '还不错…就是隔音效果不大好…', '短评打分': 3}
{'短评内容': '地理位置偏僻、交通不方便、菜系单一、服务质量差。尤其是那个大堂女经理，能力差，十足的太极爱好者，忽悠客户真不是你应该做的事！', '短评打分': 1}
{'短评内容': '服务态度很好，酒店不错，不过觉得不是四星级的设备。总之，住的还不错。就是如果不是自驾游的，从巴车那到酒店要走十几分钟，不敢坐摩的。', '短评打分': 5}
{'短评内容': '一般般吧。。可能是季节的问题酒店没什么人！！温泉当然是值的一赞的!', '短评打分': 1}
{'短评内容': '很不错的酒店， 周围环境不错，还没成形，饮食不错，性价比值得推荐', '短评打分': 5}
{'短评内容': '房间装修环境还可以，位置在当地不是很好，主要就是酒店有温泉，房间比较大环境不错，去那边的人都是去泡温泉的，价格也还成。', '短评打分': 5}
{'短评内容': '  房间不错 整体环境也很好 可惜游泳池里是冷水', '短评打分': 3}
{'短评内容': '还不错，泡温泉各种中药，鱼疗，瀑布，滑水道很好。冬天去很舒服', '短评打分': 5}
{'短评内容': '硬件是4星的，服务却不是4星的', '短评打分': 3}
{'短评内容': '入住成功', '短评打分': 3}
{'短评内容': '酒店很不错，虽然称不上豪华，但让人感觉很舒服。唯一不足是卫生间设计的不好，没有干湿分离，一洗澡水渍就会到处都是。\r\n工作人员都很热情，有问必答，不过如果在客房准备一本游览手册，我们就不用经常麻烦服务员了。\r\n酒店有附设的游泳池，对住客免费，应该也是温泉水，游泳的人很少，很舒服。\r\n', '短评打分': 5}
