{'短评内容': '交通便利，服务又好', '短评打分': 5}
{'短评内容': '还可以，可以可以。一般一般。', '短评打分': 3}
{'短评内容': '附近景点', '短评打分': 2}
{'短评内容': '还行吧，只是给了早餐券却说没有早餐吃', '短评打分': 4}
{'短评内容': '定好又要前台付钱nn d电线外路电视没的看', '短评打分': 3}
{'短评内容': '服務態度極差，沒見過酒店接待有這樣的第一次遇見，敗壞心情，還說不能開發票，滑天下之大稽。難怪象山現在沒人去', '短评打分': 3}
{'短评内容': '这个价位在中秋长假还行吧，靠路边，有点吵', '短评打分': 3}
{'短评内容': '这家酒店位置比较好 紧挨着海港的 打开窗户就能看到码头 就是早餐贵了点 而且没什么吃的东西 基本都是馒头榨菜什么的 卫生间装修不太合理 淋雨和座便距离很近。其余的还好 干净还是挺干净的', '短评打分': 4}
{'短评内容': '酒店不错，房间空间也大，就是去的时候刚装修好，那个浴液罐没装，不过和前台联系，马上就送浴液过来。服务还是不错的。给个好评。', '短评打分': 3}
{'短评内容': '我跟朋友住的虽是标间，但是价位也不便宜啊，我们一致认为不值那个价位。', '短评打分': 1}
{'短评内容': ' 很舒服 ', '短评打分': 3}
{'短评内容': '酒店服务一般，用信用卡担保的房，到了前台居然说没房，最后七拼八揍了九间，还有很多三人间。', '短评打分': 1}
