{'短评内容': '空调很热，舒服', '短评打分': 5}
{'短评内容': '还行的', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '很不错的酒店！', '短评打分': 5}
{'短评内容': '还不错还不错', '短评打分': 5}
{'短评内容': '很好，京东的价格最低', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '好好，不错，经济实惠 ，', '短评打分': 5}
{'短评内容': '酒店不错，值得推荐', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '睡醒不错刚刚过何厚铧和哥哥 vv何厚铧', '短评打分': 5}
{'短评内容': '住里面不错！环境挺好的！', '短评打分': 3}
{'短评内容': '非常满意，卫生和设施都很好，性价比很高，住的时间还是属于装修期，但是房间里一点没有装修的味道，还有不错的早餐，离高速非常近，很方便，住的很满意', '短评打分': 5}
{'短评内容': '还不错，下次还会再来，环境错，出行也方便，高速入口旁边。', '短评打分': 5}
{'短评内容': '酒店位置挺好，早餐不够丰富。三星级的价格，三星级的享受！没有门面，奇怪', '短评打分': 5}
{'短评内容': '房间装修不错，就是地方元了点，早餐丰富可口，就是购物等不是很方便', '短评打分': 5}
{'短评内容': '卫生间有点小，房间有点霉味，就在高速口，给出行很方便', '短评打分': 3}
{'短评内容': '很干净，非常舒适，住了很多次了，就是有的楼层水比较小。价格适中，出门方便。', '短评打分': 5}
{'短评内容': '交通挺放便，下高速就到酒店了。', '短评打分': 3}
{'短评内容': '还行吧，但相对总的环境与服务水平感觉这个价格有点贵', '短评打分': 5}
{'短评内容': '从乌镇出来，落魄得很，找到这家酒店，入住以后非常满意，干净，性价比高，还含双早。鼎力推荐', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '环境良好', '短评打分': 5}
{'短评内容': '服务良好', '短评打分': 3}
{'短评内容': '已入住，环境良好', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都很不错，性价比很好，包含两份早餐，早餐的味道也很好，位置不是很好，有些偏。但是自驾的话也还可以。整体来讲还是非常达标的值得推荐入住。', '短评打分': 5}
{'短评内容': '其实不太便宜，本身店址优点远，出行是不太方便，店前面有个车站，但一看上去全都是傍晚6点左右就收车了，寒啦。附近吃饭的地方基本没有，大店有一个叫春泥，吃了，被宰一样，不算便宜', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '不错 ', '短评打分': 5}
{'短评内容': '床头的网线插口不能使用，不能正常连接！', '短评打分': 3}
{'短评内容': '总体感觉还不错，价格和服务各方面还可以！', '短评打分': 5}
{'短评内容': '环境舒适，卫生整洁', '短评打分': 5}
{'短评内容': '这个酒店的位置不好，交通都不方便，挺偏的，但是设施非常不错，房间也很干净，服务挺到位的，所以总的来说还可以考虑。', '短评打分': 3}
{'短评内容': '酒店的服务卫生方面还是不错的,设施方面也比较齐全的.周边交通一般了.位置有些偏了,价格方面还算比较合适的.', '短评打分': 3}
