{'短评内容': '和老公出游，订的一家王家门的店，老板都很热情，下次还会订', '短评打分': 5}
{'短评内容': '位置奇佳，很有古镇的韵味，不虚此行！古镇游就应该住gu\u2006zhai', '短评打分': 5}
{'短评内容': '老板真的特别好，而且听说是会长家，会出来接我们，送我们离开，帮我们办理半价门票。特别好', '短评打分': 5}
{'短评内容': '古色古香！非常好！', '短评打分': 5}
{'短评内容': '很好 老板很热情 雕花大床很漂亮 明代古宅 热水很充足 老板还给了我们游览地图        ', '短评打分': 5}
{'短评内容': '优点 是个古老的宅院 家具是清代的房子是明代的 老板很热情会出来接客人 紧邻主街却很安静 地理位置好 房间干净 景色宜人缺点 设备老旧 晚上洗澡热水不行 窗户会发出响声 隔音不是很好 船也不是很舒服～总之想要体验独特住宿不追求舒适度的推荐推荐～', '短评打分': 5}
{'短评内容': '确实不错，虽然不是临河，但是安静店里有特色！', '短评打分': 5}
{'短评内容': '房间带个小阳台 刚好赶上下雨 也没能赏花赏月的 要是天晴应该挺有意境！雕花的木头床居然还挺舒服 卫生间设施有点儿旧！住一晚感受一下当地人的居住环境 我还发现床底下有个夜壶 都带雕花的！房间隔音差 ', '短评打分': 4}
{'短评内容': '老板是一对很可爱人很好的老夫妇，帮我们买车票，还拉曲子给我们听，强烈推荐！', '短评打分': 3}
{'短评内容': '相当不错，值得推荐，大家可以去看看，很喜欢', '短评打分': 5}
{'短评内容': '基础设施肯定一般了，毕竟是有历史的老房子，住上了向往的雕花大床房，老床不是很大。一楼带小院那间，开门能进到小院子里，抬头能看到江南小景儿，很不错的体验。只是北方人睡不习惯南方湿乎乎的环境，呵呵！老板和老板娘人很好，提供游览图还很热心的讲解。', '短评打分': 5}
{'短评内容': '酒店老板帮俺们拍照，给设计各种角度各种动作拍得棒棒哒', '短评打分': 5}
{'短评内容': '非常棒，位置很好，住的楼上的雕花大床，光在宅子里拍照就能玩半天，最好是能在亭子里喝喝茶，就完美了', '短评打分': 5}
