{'短评内容': '其他很好，就是空调不给力！操作也很让人无语，必须去门口', '短评打分': 5}
{'短评内容': '房间太小，周围环境非常差，夜里火车声音吵人。性价比不高。', '短评打分': 1}
{'短评内容': '总体说还行，卫生，设施都不错，离火车站不远方便，就是贵族间都是靠马路有点吵，影响睡眠，能加隔音的就更好了。值得推荐。', '短评打分': 5}
{'短评内容': '懒得换地方了，住了第三天，床头异味依旧还在，而且，发现床很咯人，弹簧要突出出来了，给人整体感觉卫生条件、硬件设施都不好', '短评打分': 1}
{'短评内容': '换了一个房间，感觉大小还不错，可是，不知怎么床头下面散发出阵阵臭味，我住的是313，建议你们检查一下，到底是什么东西导致这种异味', '短评打分': 1}
{'短评内容': '房间太小，而且，感觉房间很旧，床铺很脏，换了一个床单感觉才稍好点', '短评打分': 1}
{'短评内容': '距离火车站10分钟路程，还算方便的。酒店内部设施蛮新的，就是卫生间地面很滑，洗澡的时候摔了一跤，疼啊~~~太危险了！希望酒店改进！', '短评打分': 5}
{'短评内容': '酒店位置很好，离火车站很近。房间也还不错，只是网络速度很慢，对网络要求高的朋友，就换个酒店吧。', '短评打分': 5}
{'短评内容': '就是晚上火车站附近会比较吵。。其他情况还是很不错的。。。。', '短评打分': 5}
{'短评内容': '不错。。。就是火车站周边会比较吵，其他设施还是很好的', '短评打分': 5}
{'短评内容': '我觉得挺好的，能打麻将，热说也不错，床睡着也很舒服，希望保持优质服务', '短评打分': 5}
{'短评内容': '酒店各方面都挺好的，价格也实惠，住的挺划算的。\n装饰多时尚', '短评打分': 5}
{'短评内容': '去了说是空调检修，还是中央空调，也没给开。。。。感觉是为了省电才不给开的，检修十几天太不可信', '短评打分': 5}
{'短评内容': '首先酒店房间装修很好，时尚精致，床单等很干净，酒店位置也还好步行到火车站很近。这个价格的酒店感觉很超值。以后再去会首选', '短评打分': 5}
{'短评内容': '这个价格还算不错了。有几点不足：1、有线电视大概正在模拟改数字，只能收到6-7个台；2、临近火车站，火车鸣笛声真的挺吵，至少窗户玻璃可以做成双层隔音的。', '短评打分': 5}
{'短评内容': '房间不大，但是布置的挺温馨，基本设施都有，价格也不贵，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店各方面都挺好的，价格也实惠，住的挺划算的。', '短评打分': 5}
{'短评内容': '环境干净卫生，服务热情周到，设施也齐全，价格也不贵，住的挺划算。', '短评打分': 5}
{'短评内容': '服务人员的服务态度和服务质量都挺好的，这点挺不错。', '短评打分': 5}
{'短评内容': '房间挺干净，显示也挺新，设施完善，价格也合适，住的挺舒适。', '短评打分': 5}
{'短评内容': '离火车站挺近，赶火车很方便，价格也实惠，挺适合出差人士入住。', '短评打分': 5}
{'短评内容': '酒店规模挺大的，绿化做得很好，有自己的停车场，还有温泉，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店经济实惠，干净整洁，设施也齐全，住的挺满意的。', '短评打分': 5}
{'短评内容': '管理挺好，感觉安全性挺高，服务也很细心周到，这点很满意。', '短评打分': 5}
{'短评内容': '酒店离火车站挺近的，周边交通还是挺方便的。', '短评打分': 5}
