{'descr': '很好', 'star': 5}
{'descr': '酒店离火车站近，百度一下也好找。房间特多，还好挺干净，周围环境比较乱。特别晚上有很多迪吧在那里有点大声。交通还行', 'star': 4}
{'descr': '早餐18元，周围环境差，脏乱，房间还行，干净，房间很多，交通不是很便利。能骑自行车还好，可以随意骑行！', 'star': 4}
{'descr': '小房间大床，距离酒吧街太近，毕竟还是有点吵。早饭还不错，吃的暖心。有些东西需要发快递，直接留在前台，前台姑娘帮发了快递，服务很到位！', 'star': 5}
{'descr': '靠近酒吧街，本以为会很吵，其实问题不大，听不见', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '在酒吧街边上，没想到无锡的酒吧街在动车站附近，晚上有点吵', 'star': 5}
{'descr': '还可以，就是夜里下面的酒吧吵的很！', 'star': 5}
{'descr': '感觉很好，简约，整洁，舒适。', 'star': 5}
{'descr': '挺好的，蛮不错的体验', 'star': 5}
{'descr': '还不错还不错', 'star': 5}
{'descr': '很好。。。。。。。。', 'star': 5}
{'descr': '房间整洁，价格优惠，一如既往支持。', 'star': 5}
{'descr': '便宜量又足，很好哦，下次继续', 'star': 5}
{'descr': '还没入住就确认了呢，不知道好不好。', 'star': 5}
{'descr': '出差正好就在边上', 'star': 5}
{'descr': '房间够大，内设简单了点', 'star': 5}
{'descr': '晚上太吵，不推荐', 'star': 3}
{'descr': '一言不合上图片，其实酒店挺新的，房间也很大，价格也挺低的，唯一美中不足的是，真的不是一般的吵……订酒店时，还是订价位比较高的那个房间，说是离酒吧街比较远，结果……还是很吵……', 'star': 5}
{'descr': '酒店周围环境很差，酒店里面还是不错的', 'star': 5}
{'descr': '卫生还算不错，但门不隔音，4:30就有人在门口聊天，就再也没睡着了，就没人管管么？而且貌似也没提供梳子啊(⊙o⊙)', 'star': 4}
{'descr': '设施不好！下次不会再住', 'star': 3}
{'descr': '不错，还可以', 'star': 5}
{'descr': '很不错。', 'star': 5}
{'descr': '酒店位置比较容易找到，就在出了火车站对面，走地下通道出来就是酒店了。旁边就是酒吧一条街和许多饭店、小吃。一开始安排在临近酒吧的这边，后来找前台调换到临近运河这边，从窗户往外看：火车站、古运河一览无遗，晚上在灯光照耀下风景很美。房间大小合适，就是晚上回来会从门缝中塞进来一些小卡片，希望能管理管理。。', 'star': 5}
{'descr': '在这个位置，价钱相当划算。离火车站步行18分钟左右。酒店还算干净的。附近有酒吧一条街。酒店提供早餐，不过需要付钱。另外酒店就提供一瓶矿泉水～～～房间门缝能发现一堆小卡片，希望能好好管理下！', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '楼下就是酒吧 有点意思 晚上去玩一会 再回来休息 ', 'star': 5}
{'descr': '酒店在火车站对面，非常好找。本次入住家庭房，房间很宽敞，下面即是古城河，感受到无锡城的风韵。很值得一住的酒店。', 'star': 3}
