{'短评内容': ' 理海滩近，符合88元的住宿条件！', '短评打分': 3}
{'短评内容': '我觉得老板和老板娘都很好！提供接机服务，旅馆也很干净，离海边也近，下次去三亚我还会选择住这里！', '短评打分': 3}
{'短评内容': '服务态度是很好的，地理位置也还可以，就是硬件设施差了点', '短评打分': 1}
{'短评内容': '离海边和机场比较近，晚上很安静，性价比很高，值得推荐！', '短评打分': 5}
{'短评内容': '老板非常好 很热情。中间有些事情因为朋友不愿意在那住自己还觉得不好意思。老板真的非常好。', '短评打分': 5}
{'短评内容': '老板夫妻还不错，我们坐公交车提前下车了，他们开车来接的。住宿条件还行。晾晒衣服方百年。离海边近，参加各个一日游方便，一般都会在附近的国光酒店接送的。', '短评打分': 5}
{'短评内容': '虽然是春节期间，按照这个旅馆设施，价格真是太贵，至少一间贵200元。设施太简陋，绝对不值这个400多元的价格。当然老板服务态度还是不错', '短评打分': 1}
{'短评内容': '老板很热情，总体都还不错，酒店也挺好早住在2楼，一觉醒来，看见外面的蓝天和椰树，心情还是很愉悦的。唯一的缺点是晚上睡觉有点吵。', '短评打分': 5}
{'短评内容': '老板娘真的超级热情，一路上10分钟的路程，一路讲了好多好多事情。。。警告了好多事情。。。', '短评打分': 1}
{'短评内容': '老板娘很漂亮，东北人很大方很豪爽，能在外地听见有人叫东北话特别亲切，特别是在海南。房间很干净住着挺舒服', '短评打分': 3}
{'短评内容': '虽然我们是凌晨到的，可是老板还是来接机了，很感谢。。。\n\n房间也还不错，离海边很近\n\n特别是附近的芒果，真甜', '短评打分': 5}
{'短评内容': '服务还可以，房间有点异味', '短评打分': 3}
{'短评内容': '服务态度还是很好，只是房间不是太好，好多蚊子', '短评打分': 1}
{'短评内容': '主人很热情，太度非常好，环境也很好，很不错', '短评打分': 3}
{'短评内容': '条件不咋样，不推荐', '短评打分': 3}
{'短评内容': '为了赶上早上七点的飞机，住了一晚上，物有所值。老板很热情，早上五点起来送我们去机场，总体印象不错哦。', '短评打分': 5}
{'短评内容': '虽然是个体小店 但是接机服务还行', '短评打分': 3}
{'短评内容': '服务好吃饭方便', '短评打分': 3}
{'短评内容': '给爸爸妈妈定的，他们说很好！老板很热情，也能按时去接机！', '短评打分': 5}
{'短评内容': '很好，老板服务也周到，还有免费接机再晚的航班都不怕', '短评打分': 5}
{'短评内容': '不错干净。', '短评打分': 3}
{'短评内容': '接车服务很不错!老板人不错!几分钟就能从机场到宾馆,晚上下飞机过来很合适啊!', '短评打分': 3}
{'短评内容': '很干净，老板人很好，离机场也比较近，有免费接机~', '短评打分': 5}
{'短评内容': '第一天晚上每地方住，住了一晚上，感觉就是一招待所，唯一就是老板态度还不错，毕竟就这个价', '短评打分': 1}
{'短评内容': '周边环境不行，价格还算便宜，但是条件就很一般啦。', '短评打分': 5}
{'短评内容': '周边环境不行，价格还比较便宜，但是条件就很一般啦。', '短评打分': 5}
{'短评内容': '总体上服务不错，清洁卫生还行，但春节期间涨价太离谱！早上续房都没说什么，晚上给钱时才突然说涨价了，给人感觉很不舒服！另外房间热水不好。', '短评打分': 1}
{'短评内容': '家庭式酒店，简单、干净，离三亚湾海滩很近，男主人、女主人都很热情，适合驴友入住。缺点：不知是不是因为春节大假原因，该酒店附近太难打到车。', '短评打分': 5}
{'短评内容': '位于城中村，附近比较脏乱，房间还行，就是没有桌子不方便。\n店家还不错，花洒头坏了换了个新的，只是水压一般，热水不行。。。\n店前有停车位，能停8台小车。\n附近吃饭的地方不多，写着海鲜的饭店不要进去，砍死你。。', '短评打分': 1}
{'短评内容': '周边卫生很差，牛屎的味道很浓。房间没有热水，洗澡要到一楼的公共卫生间。离机场很近，可惜的是房间没有隔音，飞机声音太大了，难以入眠。没有宽带。床上用品洗涤后九在路边晒着。。。', '短评打分': 1}
{'短评内容': '：我们昨晚入住了海南之家(二)。条件虽然一般，但服务态度很好，离海很近，适合家庭旅游，很不错的。', '短评打分': 3}
{'短评内容': '老板和老板娘和热情，服务业很周到，酒店离机场很近，晚上到的海南，很方便休息，从酒店到亚龙湾坐新过线也很方面，下次去海南还会选择！~', '短评打分': 5}
{'短评内容': '公交和打的都不方便；有停车位，自驾车方便。', '短评打分': 5}
{'短评内容': '海南之家是不错的住宿选择，有到家的感觉。出行很方便，店主很热情周到。', '短评打分': 3}
{'短评内容': '老板人很好，服务热情周到，管接管送，还介绍风土人情、联系旅游线路，真是东北活雷锋哈！祝老板生意兴隆财源滚滚，加强硬件投入，下次我还来！', '短评打分': 5}
{'短评内容': '老板人不错，离机场很近，预定可以接机，如果你的航班比较晚到三亚的话这是个非常不错的选择。', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 3}
