{'短评内容': '还可以吧，去得自己带洗漱用品去，酒店没有免费的', '短评打分': 4}
{'短评内容': '非常好，空调特别暖和，开一小时屋里就热的不行，不足的是楼上网速到了高峰期会有延迟，不稳定，下载会变慢', '短评打分': 5}
{'短评内容': '价位适中，服务好，来这里住主要是交通方便，周边是最繁华的地方，一定要早定房间，去晚了总是给安排两头房间', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '服务好，房间暖和，希望能把房间装修一下', '短评打分': 5}
{'短评内容': '服务态度非常高兴&hellip;&hellip;', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很不错的酒店，附近交通便利。', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '总之挺好的', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '服务态度恶劣，办理入住时候就听到服务人员骂人家刚办完退房的客户，订酒店之前告知可以发票多开，住完了又不给开，房间又脏又臭，毛巾都烂了，床单被罩都是烂洞，一片黄一片污，让更换还那么不情愿，说什么用那么多年了本来就这样。开发票还额外多收20%税！前台好像对别人态度牛逼的不行，一脸不屑。不知道自己牛逼什么劲', '短评打分': 1}
{'短评内容': '出差办公 订的离办公地点近一些 楼下门口没有专门的停车场 在门口停了一晚上 第二天要走的时候尽然还收10元停车费 房间里的毛巾是破的 让前台换了一条 还是破的 只是比之前破的洞洞小了些 中央空调的温度太低 开了一晚上始终没暖和过来 以致第二天感冒了', '短评打分': 1}
{'短评内容': '酒店总体挺好的，下次还会住的！', '短评打分': 5}
{'短评内容': '是我住过的比较舒服的酒店之一，位置很好，晚上还能看到泰华和白浪河的夜景，周围非常便利，有时间还会去。', '短评打分': 5}
{'短评内容': '酒店位置很便利，距离泰华很近，基本上吃喝玩乐都能在附近搞定，住的很舒服，下次还会去。', '短评打分': 5}
{'短评内容': '环境很好床有点小硬还有就是温度不是很好', '短评打分': 5}
{'短评内容': '很不错，房间打干净卫生，就是停车场到房间没电梯，要拿着行李箱爬楼', '短评打分': 5}
{'短评内容': '不错，整洁干净，性价比高，地理位置也很好，晚上有服务。', '短评打分': 5}
{'短评内容': '房间宽敞又舒适，服务态度也很好。性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '很不错，窗口向北的房间有无敌风景，唯一感觉空调不是很凉，只能调大小，不能调温度。', '短评打分': 5}
