{'短评内容': '老板人很热情，房间很干净！晚上住安静，环境不错！', '短评打分': 5}
{'短评内容': '还可以吧，没什么特色，没什么缺点，车牌被撬了', '短评打分': 2}
{'短评内容': '房间还行 二楼楼梯有点太窄 胖的人不要住楼上', '短评打分': 4}
{'短评内容': '环境一般，在景区里。不值这个价格。没有专门的停车场，第二天汽车牌照被偷了', '短评打分': 2}
{'短评内容': '还不错，家庭式宾馆', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '住着还不错呢，整个西塘的酒店网上预订都比较乱感觉，要么有些网站价格不对要么不能用什么的', '短评打分': 3}
{'短评内容': '老板态度非常好，住的很舒服。', '短评打分': 5}
{'短评内容': '老板态度非常好，住的很舒服。', '短评打分': 5}
{'短评内容': '空调不给力，洗澡实属无奈，全是蚊子叮了好多包包，下次再也不去了', '短评打分': 4}
{'短评内容': '家庭旅店，服务还算可以吧，价格稍微有点小贵，窗户居然没有纱窗，牙刷，肥皂等洗漱用品要自带......', '短评打分': 1}
{'短评内容': '虽然天气有点闷热，但心情很好，因为有他的陪伴，西塘已经不是第一次来了，这次又来了西塘，寻找我们曾经留下的足迹。这次我们学乖了，不住雕花大床，也不住临河房间了，选择了西塘公馆，出乎意料的好，我们选择了普罗旺斯薰衣草的房间，付了一晚的房费，到了第二天有点舍不得走，想多留一晚，但他们房间已经预定满了，有点遗憾。我和他决定下次来西塘就住这里，不找其它了，还会介绍朋友来这里住，分享我们的快乐！！！', '短评打分': 5}
{'短评内容': '干净。还不错，就是有点偏，晚上的小路不好走！！还有就是楼梯，带孩子的要当心啦！', '短评打分': 5}
{'短评内容': '很多蚊虫。。。地方偏僻，价格比临河贵，当地很多旅馆，不是周末根本不用预定，还比较便宜', '短评打分': 1}
{'短评内容': '有点小难找，是在一个小巷子里，晚上回去，那边没灯，找了很久。房间不错，很温馨，可能刚装修好，油漆味还挺重的，浴室没有帘子，透明的额，哈哈', '短评打分': 5}
{'短评内容': '走过繁华而又热闹的酒吧街，就到了我们住宿的地方，本来还担心会不会吵，一个晚上下来，这里非常的安静，这里虽然既不临河，也不临街，但感觉到哪里都很方便，位置还是不错的，房间的设施也比较齐全，很干净；这样的价格，这样的住宿环境，我觉得很值得；这几天温度比较高，来西塘这样的小镇感觉还是很好的，下次我一定还会来的，还住在西塘公馆！！', '短评打分': 5}
{'短评内容': '性价比太差了！是我住过为止最不值的酒店，原因：\n地方很偏，价格很贵。网络很弱，二楼根本没信号。掌柜态度也很一般，有点傲慢，真不知道她这样的条件好意思标价480元一晚。我们去外面随便问问，沿河带阳台都要不了这个价，真是黑阿！\n\n\n', '短评打分': 1}
{'短评内容': '满干净的环境不错！', '短评打分': 3}
{'短评内容': '房间很温馨，就是楼梯太抖啦~', '短评打分': 3}
{'短评内容': '地方离停车场有点距离，服务的小姑娘蛮好的。', '短评打分': 3}
{'短评内容': '不错，比较安静，房子比较新，设施比较全。', '短评打分': 5}
{'短评内容': '环境不错，比较干净！价格有点小贵！位子也还可以', '短评打分': 5}
{'短评内容': '很好，位置不错，床很大，典型的江南风格小院，正是我想看的', '短评打分': 5}
