{'短评内容': '环境不错，干净', '短评打分': 5}
{'短评内容': '环境不错，干净', '短评打分': 5}
{'短评内容': '干净 卫生', '短评打分': 5}
{'短评内容': '办事方便，早餐质量还不错', '短评打分': 5}
{'短评内容': '不值这个价', '短评打分': 2}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '南昌君来大酒店', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '房间还可以，但是一进门就有刺鼻的气味，要开门窗通风很久，早餐品种口味都很差', '短评打分': 1}
{'短评内容': '很舒适', '短评打分': 5}
{'短评内容': '酒店周边环境非常好。在软件园中心，有宽敞的停车场，停车方便，房间很有特色，很干净，有格调，商务出行方便。下次有机会还会继续选择该酒店。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '比较干净', '短评打分': 5}
{'短评内容': '早饭一般其他还好', '短评打分': 5}
{'短评内容': '入住的套房，比较有特色，装修简朴，但是空调有异响。楼下有中餐厅方便朋友聚会和接待，一楼大堂边上还有星巴克咖啡', '短评打分': 4}
{'短评内容': '环境很好，房间很nice', '短评打分': 5}
{'短评内容': '不错，挺有特色的', '短评打分': 5}
{'短评内容': '性价比非常高的酒店～距离机场不远', '短评打分': 5}
{'短评内容': '环境不错，就是中央空调声音太大，而且温度不高，房间里没有冰箱。', '短评打分': 5}
{'短评内容': '很温馨，房间很有创意和很整洁', '短评打分': 5}
{'短评内容': '房间不错！离机场方便！到市区有公交车！酒店周围环境不错！下一朋友说还住这里！', '短评打分': 5}
{'短评内容': '虽然稍微偏僻一点，住房装修古色古香有品味，舒适宽敞。', '短评打分': 5}
{'短评内容': '这个酒店不错噢！环境比较安静，服务也不错，酒店挺干净的，就是外出比较麻烦，打的难呀', '短评打分': 5}
{'短评内容': ' 酒店环境好，方便，早餐不错', '短评打分': 3}
{'短评内容': '房间很有特色，就是隔音不怎么好，另外交通实在不方便，价格也有点贵。', '短评打分': 1}
{'短评内容': '极为有特色的酒店，住了5天，服务很到位。老婆很满意。', '短评打分': 5}
{'短评内容': '很干净设施都很不错，特别是空调噪音很小很小', '短评打分': 3}
{'短评内容': '环境不错，周边不繁华，服务好。小贵。', '短评打分': 3}
{'短评内容': '酒店装修有特色与众不同，感觉不错，服务好。但从房间总体来讲，价格总体过贵了，感觉不应当过300元。\n酒店早餐做得比较精致，中晚餐做得也比较好，但量比较少，而且价格过高，一份蔬菜要38元，其它一般菜在58-78，好一点的都过百了。点菜单用的是IPD2，难怪要贵了，晕啊。。。。', '短评打分': 1}
