{'短评内容': '房间够大，干净卫生，柜机空调，但有用电限制。', '短评打分': 4}
{'短评内容': '公寓型酒店，离高桥市场近，价格合理，房间够大，有用电限制，可开票，续住要通知才会整理房间。', '短评打分': 4}
{'短评内容': '可以的', '短评打分': 3}
{'短评内容': '不好，没有热水。周边噪音太大', '短评打分': 3}
{'短评内容': '我个人比较喜欢的公寓室的酒店房，很好，住了很多次了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '只能说一般般……', '短评打分': 3}
{'短评内容': '一吧', '短评打分': 3}
{'短评内容': '不错，房间够大。下次还住浪漫满屋', '短评打分': 4}
{'短评内容': '公寓式宾馆 房间大宽敞 WiFi好用', '短评打分': 3}
{'短评内容': '非常不错，空间大，空气流通。就是靠近路边，晚上有点吵。。。推荐', '短评打分': 3}
{'短评内容': '房间不好，设置简陋，不推荐。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间还是比较大，设施一般般，这个价位ok了', '短评打分': 4}
