{'descr': '全都很好，洗浴空间太小', 'star': 4}
{'descr': '性价比不高', 'star': 3}
{'descr': '挺安静的一个地', 'star': 5}
{'descr': '不错，旁边还能晒衣服', 'star': 5}
{'descr': '周边有点吵，房间窗户刚好对着，一大早就吵醒了，空调制热比较差，一晚上都冷冷的。建议空调换一台新的制热好的，要不冬天很难睡好。', 'star': 4}
{'descr': '订单很方便，不过这次订单有变化取消了', 'star': 5}
{'descr': '酒店已经定了，但是发票还没开，竟然还要邮寄费。', 'star': 4}
{'descr': '房子不错，又大又干净。', 'star': 5}
{'descr': '离地铁有点远店不是很大，都没有矿泉水送哈哈哈，但是里面还是很干净哒～对面有沙县小吃可以吃饭的，很方便～设施都挺新的整体不错吧^_^', 'star': 5}
{'descr': '人', 'star': 5}
{'descr': '还可以吧！', 'star': 4}
{'descr': '颛桥地区性价比很高的酒店，经济实惠', 'star': 4}
{'descr': '较为整洁，服务态度较好，过来出差方便', 'star': 4}
{'descr': '离航天城近，上午出差方便，环境安静', 'star': 4}
{'descr': '本次共住了4晚.不过到了第三晚，所住的房间里的空调突然不工作了，对此，酒店服务人员接到联络后，随即积极给予安排换房并给予早餐免费的服务，服务非常不错！', 'star': 5}
{'descr': '住過多次了,前台服務人員也熟識了,整體而言行價比不錯,附近有河濱步道可以跑步運動,距離顓橋地鐵站也不算太遠,在附近出差洽公的話住這兒是不錯的選擇', 'star': 3}
{'descr': '還好', 'star': 3}
{'descr': '还可以吧', 'star': 5}
{'descr': '已经住过多次了，各方面都不错，主要是离公司近，值得推荐。   这次下单时忘记订高层的房间了，住的1楼，感觉还好，卫生状况良好。 下次还会再住这里~', 'star': 5}
{'descr': '酒店干净整洁且离工厂近', 'star': 5}
{'descr': '服务OK,卫生也还可以.附近酒店太少,每次来都住这家.', 'star': 5}
{'descr': '离5号线很近，商务型的酒店，比较干净，离众众德尚小区很近，步行3分钟就能进入小区，以后亲戚来访都会定这家', 'star': 5}
{'descr': '没有电吹风，厦门锦江有电吹风\n签名:许峰', 'star': 3}
{'descr': '离妹妹家比较近，所以订的这个酒店，商务酒店大同小异，在上海这价格也没什么竞争力。', 'star': 5}
{'descr': '不错,比较干净,服务也OK.有机会再来住', 'star': 5}
{'descr': '房间挺干净的,服务态度也还可以.还会再来的', 'star': 5}
{'descr': '住的标A，房间比较大，空气流动性好，卫生间也大；只是有点缺憾，卫生间顶部有一用于维修的天窗是开着的，可以看见房顶里面，想想如果有人恶意通过顶上的通道钻进房间还是挺害怕的，两人住还好，一人入住确实有点‘想入非非’，还有纸杯质量不是太好，有一个杯子居然漏水了，咖啡趟了一桌。总之，酒店挺不错的，下次还会入住。', 'star': 5}
{'descr': '住的标A，房间挺大，也比较干净，就是有一点不好，卫生间顶', 'star': 5}
{'descr': '服务员服务态度不错，房间收拾的也挺干净，值得推荐', 'star': 5}
{'descr': '帮同事预订的，听说还不错，下次再去那附近，可以继续考虑，会推荐别人也试试，呵呵', 'star': 5}
{'descr': '不错，不好意思点评晚了', 'star': 3}
{'descr': '很喜欢里面的环境，要是离地铁站再近点就更好了', 'star': 3}
{'descr': '＋感觉很好的，没次来都选这里', 'star': 3}
{'descr': ' 标准的锦江之星快捷酒店，但隔音比较差，可能是建筑的问题。', 'star': 3}
{'descr': '环境很好，非常舒适，价格也很合适，下次去附近还会再去。', 'star': 5}
{'descr': '还可以，就是附近没有大型商场。卫生条件还不错。交通还可以。', 'star': 5}
{'descr': '位置比较好但是服务员态度不是那么好。 \n早上太早开始打扫卫生，打扫卫生的人在走郎太大的声音说来说去。', 'star': 5}
{'descr': '＋环境不错，唯一不足就是靠近城铁，有点吵', 'star': 3}
{'descr': '  非常舒适，下次来还选这家', 'star': 3}
{'descr': '条件还算可以，比较安静。附近没有好德吃饭地方。', 'star': 5}
{'descr': '环境不错，交通方便，是个比较理想的住处，在颛桥附近算是不错的了', 'star': 5}
{'descr': '住了两天，停电一天！\n房间特别憋屈，不敞亮！', 'star': 1}
