{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '希望入住滿意', '短评打分': 5}
{'短评内容': '前台态度差！check in的时候爱理不理！说话态度随意！连基本的称呼都没有！高级酒店的前台就是这个素质！？', '短评打分': 4}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很差，车子停门口，门童傻站着，不知道开车门帮助拿行李，更糟糕的是半夜整栋大楼跳闸，吓死个人！很不愉快的住宿', '短评打分': 2}
{'短评内容': '酒店服务一流，环境不错，交通便利。特别是前台美女高杨热情周到，体贴细心，还赠送了早餐券。谢谢～', '短评打分': 5}
{'短评内容': '酒店一般吧，还不错', '短评打分': 5}
{'短评内容': '环境不错，值得推荐一下的五星酒店', '短评打分': 5}
{'短评内容': '环境不错，就是进去时有一股烟味，要通风。给的角房。', '短评打分': 5}
{'短评内容': '一个月入住三次圣淘沙，房间有点小，总体还行。', '短评打分': 5}
{'短评内容': '京东订酒店有一个弊端就是要到酒店才能知道自己订的是大床还是双床，酒店经理给免费升级了。开心！', '短评打分': 5}
{'短评内容': '不错，环境很好，下次还会去', '短评打分': 5}
{'短评内容': '可以，一直信赖京东。', '短评打分': 5}
{'短评内容': '早餐好', '短评打分': 5}
{'短评内容': '交通方便，办事方便', '短评打分': 5}
{'短评内容': '酒店干净，早餐可以，品种多。地理位置不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '第一次入住，不错。啊啊啊吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！我女朋友说她前男友比我接吻技巧高多了。 现在我得承认，他确实很棒。', '短评打分': 5}
{'短评内容': '第一次入住，不错。啊啊啊吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！我女朋友说她前男友比我接吻技巧高多了。 现在我得承认，他确实很棒。', '短评打分': 5}
{'短评内容': '第一次入住，不错。啊啊啊吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！我女朋友说她前男友比我接吻技巧高多了。 现在我得承认，他确实很棒。', '短评打分': 5}
{'短评内容': '酒店不错，免费升级了翡翠套，酒店周边还有地道、好吃的肠粉和馄饨面^_^ 下次出行会考虑再住的。', '短评打分': 5}
{'短评内容': '服务态度差', '短评打分': 3}
{'短评内容': '环境几好，卫生做得好，人员服务态度不错..', '短评打分': 5}
{'短评内容': '酒店不错，升级了', '短评打分': 5}
{'短评内容': '非常赞', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '如果下次还是498这个价格，我一定还会住，性价比很高，环境好，早餐不错，', '短评打分': 5}
