{'短评内容': '不错，住着挺好的', '短评打分': 5}
{'短评内容': '很喜欢', '短评打分': 5}
{'短评内容': '还可以吧，', '短评打分': 5}
{'短评内容': '住着挺舒服务服态度很好', '短评打分': 5}
{'短评内容': '都蛮不错，很好', '短评打分': 5}
{'短评内容': '酒店环境很不错，服务也很好，就是早餐', '短评打分': 5}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '服务以及房间设施都不错', '短评打分': 5}
{'短评内容': '不错的酒店，空调效果特别好', '短评打分': 5}
{'短评内容': '一般般，房间比较小，而且里面有一种难闻的气味，连免费的纯净水都不提供。。。。早餐就稀饭、馒头、咸菜等比较单调。优点是酒店离绵阳会展中心比较近，步行十分钟，酒店边上也有吃饭的饭店。', '短评打分': 3}
{'短评内容': '交通方便，设施不错，服务很好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以 。', '短评打分': 4}
{'短评内容': '酒店有点老旧了。厕所地漏堵了，全部汤水…', '短评打分': 4}
{'短评内容': '出差川汽经常入住', '短评打分': 4}
{'短评内容': '属于近边最好的一个快捷酒店了，房间较小，空调不错，有劲。', '短评打分': 3}
