{'短评内容': '中规中矩.', '短评打分': 4}
{'短评内容': '酒店地理位置闹中取静，到人大非常方便。虽然设施已有年头，但卫生干净整洁，房间宽敞设备齐全，隔音效果好，几乎听不到外面声音非常安静。服务很周到，一天至少有两次整理房间，配备了加湿器很贴心！特别感谢服务员贴心送来菊花茶和酸奶！下次来学校办事还会考虑住这里！', '短评打分': 5}
{'短评内容': '女魔空了里咯螺母龙中龙哦', '短评打分': 5}
{'短评内容': '们可口可乐了看看咯莫模棱两可马卡龙摸摸', '短评打分': 5}
{'短评内容': '服务好，交通便利', '短评打分': 5}
{'短评内容': '酒店在人大附中附近，位置交通方便，酒店前台工作人服务态度好，房间宽敞，卫生干净。早餐丰富，味道不错。', '短评打分': 5}
{'短评内容': '酒店在人大附中附近，位置交通方便，酒店前台工作人服务态度好，房间宽敞，卫生干净。早餐丰富，味道不错。', '短评打分': 5}
{'短评内容': '感觉一般般，不是很好，应该没有四星的水准', '短评打分': 5}
{'短评内容': '完美完美完美完美完美完美完美完美', '短评打分': 5}
{'短评内容': 'B楼条件较差，性价比不高。', '短评打分': 5}
{'短评内容': '比较老的酒店，地理位置很方便，出门就是地铁，商场，家庭房很适合带家人一起', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间不错，格局好，价格合适。', '短评打分': 5}
{'短评内容': '房间大，洗澡水热，屋子住的很舒服。', '短评打分': 5}
{'短评内容': '京东旅游酒店预订很方便，服务也好&hellip;&hellip;', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '老牌酒店，装修不算新，住着挺舒服的，设施也可以，自助早餐品种少了点，几天都是一样的，有只鹦鹉很吵～', '短评打分': 5}
{'短评内容': '价格合适，房间比较大。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '查', '短评打分': 2}
{'短评内容': '给别人订的，朋友说整体不错，以后还会考虑住在那里。周边是居民区，很有北京市井的生活味道，维持一天正常生活还是可以的', '短评打分': 5}
{'短评内容': '是续订的，续订也必须在网上操作，有些不人性化', '短评打分': 5}
{'短评内容': '离中国人民大学东门很近，很方便', '短评打分': 5}
{'短评内容': '还行吧，周边出行，吃东西还是挺方便的，门口进出需要刷卡，还有保安大叔站岗，安全系数还是蛮高的。内部设施就是很老式的宾馆，觉得不值4星。', '短评打分': 4}
{'短评内容': '设施太旧了，然后吹风机都不会来，浴缸出水不好。打电话给预订部时态度也不是很和善', '短评打分': 3}
{'短评内容': '还可以吧，就是位置好', '短评打分': 4}
{'短评内容': '还行，位置很好，人大东门对面', '短评打分': 4}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '交通方便，附近餐饮也很方便。入住很多次，以后还会选择入住。', '短评打分': 4}
{'短评内容': '地理位置好，房间整洁，服务到位，尤其前台接待人员服务态度好，礼数周到。早餐特别好，适合北方口味，下次一定再来。', '短评打分': 5}
{'短评内容': '每次去人大都住这个酒店，交通方便，服务周到，自助早餐也不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，边上可以逛逛，离地铁也比较近', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '经理去了抱怨太破，说我定的是公寓，不是酒店标间。自己没体会，总之可能比较差吧。', '短评打分': 4}
{'短评内容': '感觉还行，北京可住的地方太多了，下次会尝试别家，没有那种还想来的感觉', '短评打分': 5}
{'短评内容': '房间很舒适，满意。', '短评打分': 3}
{'短评内容': '是单人间，床比较小，条件还不错，以后还会选择', '短评打分': 5}
