{'短评内容': '被子有点不干净', '短评打分': 4}
{'短评内容': '下次订房还选携程', '短评打分': 5}
{'短评内容': '还可以吧，算是优惠吧，就是洗刷间在外边', '短评打分': 3}
{'短评内容': '垃圾。就是个破公寓楼。', '短评打分': 3}
{'短评内容': '经济适用   很实惠 满意。。。', '短评打分': 3}
{'短评内容': '房间一般，态度不错，换房很简单', '短评打分': 3}
{'短评内容': '环境不错，第二次住了，就是网上订的不给发票。', '短评打分': 3}
{'短评内容': '不太愉快，环境很差，窗外像垃圾场一样，', '短评打分': 3}
{'短评内容': '店位于市中心，交通便利，闹中取静，房间很干净，布置的也很温馨', '短评打分': 4}
{'短评内容': '不是携程不推荐好的，只是这个酒店太狡猾，携程赔了一半房费给我。这个酒店吧携程网上预订的客户全安排到5楼去，5楼的房子也就是10元一晚上的标准。卫生间盥洗台是用木架子支撑的。房间里很多灰尘。空调不制冷，网络不能用。窗户上全是泥。如果要说我诽谤那你留个邮箱我把照片发给你。上海工商局已经介入啦。', '短评打分': 1}
{'短评内容': '差到极点', '短评打分': 2}
{'短评内容': '不错', '短评打分': 4}
