{'短评内容': '酒店位置离火车站挺近的，下次来还住在这里，前台接待热情，是出差入住的首选，房价低廉，有线电视待改进更换，有雪花点不清晰，希望下次来入住，不是现在的电视了，总体来说还不错', '短评打分': 5}
{'短评内容': '床太硬。不舒服。别的还好', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '骗我说下午一点退房，我急急忙忙退了，后来才看到，网上标注是下午两点退房，这就算了，临走还讹了我一瓶红牛钱，我说我没动过你家宾馆里任何带价格的商品，吃的喝的我都自己带的，对面就有24小时便利店，脑抽了我才动你们那高价物品哦，我明确表示了钱可以给你，但是东西我没动过，你如果收了这钱，以后我不会再来你家住了，服务员开心的接过了10元钱，真让人震惊，看来你家生意挺好，行吧，祝更多人使用你家的高价物品，另外', '短评打分': 1}
{'短评内容': '呃', '短评打分': 5}
{'短评内容': '床好硬不知这个价钱', '短评打分': 5}
{'短评内容': '好好好就是床好硬啊啊啊', '短评打分': 5}
{'短评内容': '真是不错，房间很大，也很干净！位置很好价钱合理，和类似如家的快捷酒店价格比起来，这个很划算', '短评打分': 5}
{'短评内容': '非常好继续支持永远！', '短评打分': 5}
{'短评内容': '没有以前住的时候好了，地毯这些都好旧了，小冰箱也没啦，房间还是一如既往的大', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '定了酒店 到了告诉我装修 住不了。厉害 厉害了。', '短评打分': 4}
{'短评内容': '房间那会有点冷，到是挺大的', '短评打分': 4}
{'短评内容': '网络不行，无线时快时慢，有线网络不通，需要改进。', '短评打分': 4}
{'短评内容': '服务、设施地理位置尙可，就是房间暖气不足，房间不暖和冷', '短评打分': 4}
{'短评内容': '很不多，值得一住', '短评打分': 5}
{'短评内容': '服务人员不足', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
