{'短评内容': '挺好，方便。', '短评打分': 5}
{'短评内容': '比较安静，很温馨', '短评打分': 4}
{'短评内容': '酒店位于市中心，交通便利，房间基本干净，价格合理，服务热情，下次还会入住。', '短评打分': 4}
{'短评内容': '很不错，价格实惠。 比周边的快捷酒店条件要好 就是旁边的KTV有点儿小吵。', '短评打分': 5}
{'短评内容': '还行吧浙江的酒店，连锁的，屋子里有电脑。', '短评打分': 3}
{'短评内容': '确实不错，服务周到，设备不太好，交通还算方便', '短评打分': 5}
{'短评内容': '相当不错的环境 很贴心  前台的小妹很给力 非常耐心回答我们一切问题 传说中四楼以下比较吵 没有遇到 挺棒的', '短评打分': 5}
{'短评内容': '窗不能完全开，房间有几盏灯坏了，也没修，插座烧坏了也没换。\n不过总的来说还行，服务蛮好。', '短评打分': 5}
{'短评内容': '价格比较便宜 不过小问题太多 挺麻烦 位置挨着一个歌厅', '短评打分': 5}
{'短评内容': '位置有点不好找，找了蛮久的，但是房间不错，很温馨，服务很好~', '短评打分': 5}
{'短评内容': '经济 实惠 地理位置好 周边吃饭方便 只是一楼是KTV 有些吵', '短评打分': 5}
{'短评内容': '环境不错，服务比较热情到位。', '短评打分': 3}
{'短评内容': '干净卫生，就是位置有点偏僻，不是太好找。', '短评打分': 5}
{'短评内容': '方便简洁的一家酒店，酒店不远处就是一个夜市，挺方便的，住习惯了啊· ', '短评打分': 5}
{'短评内容': '南苑e家商务连锁酒店（北京天坛店）位置较偏僻 设备卫生都比较一般吧', '短评打分': 1}
{'短评内容': '说实话 真是不错的酒店 环境不错 干净周围的吃喝出游都非常的方便 唯一不足就是这次住的时候热水供应坏了 不过服务不错 给我打了白金会员价 在北京这个价位真的很合适 住的很舒服 下次去了还会选择的 很好的酒店 顶了', '短评打分': 5}
{'短评内容': '总台的服务态度非常和善，很有亲切感。标志醒目，好找。', '短评打分': 5}
{'短评内容': '很不错的酒店，合适出差、旅游度假。房间舒适、交通便利，下次出差还会考虑。', '短评打分': 5}
{'短评内容': '合适出差商务人士入住，价格也很优惠，交通便利，安静，性价比非常高。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '地理位置挺好，离地铁也近，房间很干净。\n价格也适中', '短评打分': 5}
{'短评内容': '房间很整齐，酒店位置靠近市中心，出行很方便。房间价格适中。不错', '短评打分': 5}
{'短评内容': '房间还算干净，不够楼下有个KTV，晚上有点吵。', '短评打分': 5}
{'短评内容': ' 总体还好，隔音太差，计生用品还收费', '短评打分': 3}
{'短评内容': '房间小,不隔音旁边是夜总会很吵晚上休息不好,电视节目好很少', '短评打分': 1}
{'短评内容': '酒店环境不错，交通也方便，服务也很好，推荐', '短评打分': 5}
{'短评内容': '酒店环境还不错，就是空间小了点 很干净  最主要的就是一样 屋里空气很干 早上起床后呼吸道很难受 还有就是隔音太差 别的都很好', '短评打分': 5}
{'短评内容': '5号线蒲黄榆不行20分钟就到，但旁边的夜总会，让人睡不好啊！', '短评打分': 5}
{'短评内容': '不错，服务卫生都好!', '短评打分': 3}
{'短评内容': '客房有些小，布局比较紧凑.其它各方面都还不错.整体来讲比较好.', '短评打分': 5}
{'短评内容': '酒店环境还是一般，不过酒店的离我办事的地方非常近，地毯挺脏，而且附近有个歌舞厅晚上特别吵，酒店也是没有早餐，但是因为我也是老住户经常去所以也就没关系酒店也是会尽量给我安排比较好的房间。其他也就一般不过我还会去参考。', '短评打分': 5}
{'短评内容': '房间的设施卫生还凑合，位置一般，价格也不错。', '短评打分': 5}
{'短评内容': '离地铁还是有些距离，位置不是太难找，卫生还不错就是房间比较小，前台服务还不错，价格感觉还可以。', '短评打分': 3}
{'短评内容': '很干净，很温馨，卫生间设计挺不错，就是房间有点小，价格也挺高', '短评打分': 5}
{'短评内容': '还不错，内部环境挺好的.卫生很干净，设施也很全。', '短评打分': 3}
{'短评内容': '很不错。3星级的酒店。酒店是09年底开的。里面的东西都狠新。', '短评打分': 3}
{'短评内容': '09年底新建的宾馆。东西都狠新。好像还是个3星。离地铁站走路10来分钟吧。唯一的缺点就是旁边有家KTV。每到晚上都好吵。哎~', '短评打分': 5}
{'短评内容': '设施比较完善，服务很好，卫生也不错，就是离地铁略微有点远，走十五分钟吧。总体蛮好的', '短评打分': 5}
