{'短评内容': '地方偏僻难找。服务员也没怎么见到。很一般。', '短评打分': 3}
{'短评内容': '标准单人间不太好。。。床比较旧还是很容易就响。。', '短评打分': 1}
{'短评内容': '宾馆环境不错，性价比还是挺高的。', '短评打分': 3}
{'短评内容': '酒店不错，物美价廉，如果下次再到广州，还会到该酒店居住。', '短评打分': 5}
{'短评内容': '不太好找，房间有点小。不过基本上算还能满足住宿要求吧', '短评打分': 5}
{'短评内容': '不错的酒店，以后还会来，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '最大的缺点是不能上网……马桶不干净，电视频道质量差。', '短评打分': 1}
{'短评内容': '还可以啦！反正只有120块！只是不是很好早！', '短评打分': 5}
{'短评内容': '一般，对得起价格', '短评打分': 3}
{'短评内容': '走小路去地铁口很快，，，设施旧了点，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '离地铁近，还不错，设施旧了点，，，，，，，，，', '短评打分': 5}
{'短评内容': '对得起价格，设施比较旧，，，不过去开发区不堵车，，，，，，，，', '短评打分': 5}
{'短评内容': '一般,根本不是三星标准。总体价格便宜。', '短评打分': 3}
{'短评内容': '地段还可以就是设施很老，床很硬卫生感觉不好  。。。。。。。。。。。。。。。。。                  ', '短评打分': 1}
{'短评内容': ' 环境还不错，就是房间灯光太暗了', '短评打分': 3}
{'短评内容': '前台态度很好，环境还可以，各方面算起来性价比还是不错的。', '短评打分': 5}
{'短评内容': '房间太脏了。周边没有任何可以吃饭买东西的地方。酒店近邻高速公路，晚上吵的睡不着', '短评打分': 1}
{'短评内容': '房间较小，不过设备比较齐全，空调也很给力，还可以！', '短评打分': 3}
