{'短评内容': '房子挺温馨的', '短评打分': 5}
{'短评内容': '厕所太小了！！！', '短评打分': 4}
{'短评内容': '从小到大住过最垃圾的酒店，隔音效果差到隔壁的似乎在我房间里说话，整晚吵得睡不着，晚上1点睡觉的，现在七点是被醒几次了，实在没法住', '短评打分': 1}
{'短评内容': '只是有点冷ಥ_ಥ', '短评打分': 5}
{'短评内容': '很不错，条件很好', '短评打分': 5}
{'短评内容': '酒店位置不错，离大雁塔很近，交通也方便，适合出游', '短评打分': 5}
{'短评内容': '干净卫生，离景点近，很方便', '短评打分': 5}
{'短评内容': '还可以  不错', '短评打分': 5}
{'短评内容': '品牌保证，没的说，价格优势明显，还会再买的！', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '垃圾，说是30平，估计才10几', '短评打分': 1}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '酒店位置离大雁塔广场不远 总体一般 房间隔音一般 马桶冲不太好 ', '短评打分': 5}
{'短评内容': '环境不错 走到大雁塔也不久  房间设施也还行的 哈哈还不错 过得去的。', '短评打分': 5}
{'短评内容': '干净度还行，卫生可以，设备有些老，交通还可以。', '短评打分': 3}
{'短评内容': '整洁，安静', '短评打分': 5}
{'短评内容': '挺好的，安全以及卫生条件均不错', '短评打分': 5}
{'短评内容': '很不错，没挑剔', '短评打分': 5}
{'短评内容': '实惠的酒店，干净，下雨天到顶层吃早饭，服务员态度很好，还不时清理客人带进来的雨水，感觉特温馨。就是交通不太方便，旅游盛期打不到车时不推荐这里住。', '短评打分': 4}
{'短评内容': '喜欢這哦地方啊？不是真的啊', '短评打分': 1}
{'短评内容': '真是不错啊，还可以选择的', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '差评，设施老旧，前台服务差！入住办手续时前台一直在说他们酒店官网如何便宜，提出反对意见后，客服态度很差，争论不休！有病！早上退房开个发票半小时时间，就我一个退房的！什么都不会就去培训！最差的一次入住！', '短评打分': 2}
{'短评内容': '近大雁塔...', '短评打分': 4}
{'短评内容': '周边生活方便，去大雁塔很近，满足我们需求，很好。', '短评打分': 3}
{'短评内容': '订的家庭房，安静，设施不错，还在暴雨前帮客人收回楼顶晾晒的衣服，细心', '短评打分': 3}
{'短评内容': '很好，地理位置便利，房间很好，硬件也很好。', '短评打分': 5}
{'短评内容': '房间的环境很好，很干净，尤其是卫生间的设计，有特点。只是楼下的烤肉店有点吵，而且房间的隔音效果也不是很好。', '短评打分': 5}
{'短评内容': '汉庭标配，还算可以，但是如果不是会员的话就要十二点退房，毫无道理。', '短评打分': 5}
{'短评内容': '很好很方便，房间很大舒服', '短评打分': 3}
{'短评内容': '地理位置靠近雁塔，环境好、服务好，真不错是。', '短评打分': 5}
{'短评内容': '西安的酒店一般都死贵死贵的，商务旅游不好办啊。这个地点满好，在大雁塔附近，早餐还行，就是要早去，有点接不上。楼下是综合市场西安小吃太好了。', '短评打分': 5}
{'短评内容': '酒店整体位置还可以，靠近大雁塔北广场，但是酒店门口打车不方便，需要走5分钟到大路上才可以（酒店门口是单行道），房间隔音不太好，隔壁说话都听得很清楚，加上楼下是通宵的烧烤店，晚上2点了还无法入睡。在那里住了3晚，早餐比较简单，预订酒店时的价格包含了早餐，每天吃早餐时餐厅服务员都说我的房间不含早餐，随后打电话给前台才确认有，不知道前台和餐厅在搞什么，连这点简单的事情都搞的客人心情不爽，真是服了！', '短评打分': 1}
{'短评内容': '很不错。服务号。离各个景点近。公交，出租都方便。', '短评打分': 5}
{'短评内容': '房间很大，很干净！服务也很好，可能是口味的问题，感觉吃饭不是很方便，周围的餐饮做的不是很好！', '短评打分': 5}
{'短评内容': '第一感觉不错。服务也行。就是早餐比较不值。而且只到9：30就结束。晚上服务人员下班，叫不到服务。', '短评打分': 5}
{'短评内容': 'very good!', '短评打分': 3}
{'短评内容': '服务态度很好、很亲切,酒店内感觉很干净、清爽', '短评打分': 5}
{'短评内容': '第一次住这个连锁酒店，就发现酒店服务问题很大！我入住的当天，本来预定的是家庭房，结果到了前台被告知原来的房客要继续住，给我换成了大床房。我们一家三口只好挤着睡。这太令人生气了！要不是当天天色已晚，外面还下着大雨，我们肯定掉头就走。后来在我们出去吃晚饭和回来的时候，又亲眼看到了两起和我们一样的情况！！这酒店太可恶了！另外，房间的隔音非常差，邻屋的人上厕所，声音大得简直就像在我们屋里上厕所一样！半夜，', '短评打分': 1}
{'短评内容': '酒店的设施,服务等都很满意,早餐也很不错。', '短评打分': 3}
{'短评内容': '酒店很新很干净.服务也很好.大方位不偏.小方位偏僻.房间有点小', '短评打分': 3}
{'短评内容': '新开业的酒店，干净，卫生，有免费自行车租，离大雁塔北广场也很近\n美中不足是比宣传中离陕西历史博物馆绝对不是500米的距离，有两站地远，而且北路口是单行路，从大雁塔和大唐芙蓉园打车回去，或者绕路，或者步行一段', '短评打分': 5}
{'短评内容': '内容 ：交通便利 环境不错！', '短评打分': 3}
{'短评内容': '还可以,房间空间还算大,就是窗户没有窗纱,房间稍微有些味道', '短评打分': 3}
