{'短评内容': '特别棒哈哈', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '很棒的一次住宿，价格很合理，楼下吃饭水果超市都很多，物价不高，总归住的很舒服，前台服务超级好，很暖心的一家酒店', '短评打分': 5}
{'短评内容': '都不错哦 交通方便', '短评打分': 5}
{'短评内容': '环境很好 早餐自助还可以 距离汽车北站步行5分左右 交通方便 再次出差到嘉兴依然会选择这里', '短评打分': 5}
{'短评内容': '选择了家附近的酒店，交通方便，早餐一般。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '还好，因为办事比较方便。', '短评打分': 4}
{'短评内容': '不错 还是很不错的 来嘉兴旅游一般都会来这里  因为这里太好了 真的太好了 是非常的好  特别的好 好', '短评打分': 4}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '还好，环境可以。', '短评打分': 5}
{'短评内容': '非常值得推荐的酒店，环境优雅，内部设施完善', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店非常好，服务也热情', '短评打分': 5}
{'短评内容': '毎次出差到嘉兴都会去住的，个人觉得性价比高!', '短评打分': 5}
{'短评内容': '一个字，差！', '短评打分': 2}
