{'短评内容': '很方便能看到海', '短评打分': 5}
{'短评内容': '好非常方便', '短评打分': 5}
{'短评内容': '床订单中是两张1.8m结果实际是有一张是1.5m。前台服务只有第一天和最后一天有，中间几天没有人。', '短评打分': 3}
{'短评内容': '酒店附近交通方便，位置不错，房间硬件设施也还可以。只不过服务一般，卫生无人打扫。', '短评打分': 3}
{'短评内容': '干净整洁设施齐全', '短评打分': 5}
{'短评内容': '房间不错，有空调电视微波炉冰箱洗衣机', '短评打分': 5}
{'短评内容': '超级烂', '短评打分': 1}
{'短评内容': '好，老板人特别不错', '短评打分': 5}
{'短评内容': '位置还可以 设施一般，卫生间太小，没有挂东西的地方，', '短评打分': 4}
{'短评内容': '第一次在携程上订酒店，感觉这家真的不错，母亲大人很高兴，孩子也很喜欢，四个大人，外加一个四岁的小孩，床真的很大，很够用，物美价廉，物有所值，周边的饭店也不贵，没有停车位，位置有点儿偏，奔着音乐喷泉来的，结果太失望了，暂停了。不过距离很近，大家边走边溜达20分钟就到了，打车十元即可。期待下次出行再来。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '位置还不错，距离地铁站很近，周围有不好好吃的，窗户外面有海景。价格不错，就是床垫品质有待提高。', '短评打分': 3}
{'短评内容': '第一次住这种类型的酒店，不大适应', '短评打分': 4}
{'短评内容': '毛巾脏脏的，酒店式公寓一样，卫生太差', '短评打分': 1}
{'短评内容': '房间很不错挺温馨的家的感觉。公寓式。美中不足是窗子有一半窗帘坏了，所以洗手间，和洗浴容易走光', '短评打分': 5}
{'短评内容': '住的很温馨。服务态度也不错。就是旺季的时候感觉价钱偏高了一些', '短评打分': 5}
{'短评内容': '非常不好找、外面没有店面、这个价钱非常不值得、里面没有图片拍的好、差很多', '短评打分': 3}
{'短评内容': '很不错的公寓式酒店，干净整洁，环境很好，很喜欢', '短评打分': 5}
{'短评内容': '环境不错，很安静，很宽敞，所在的地理位置也不错，出行很方便', '短评打分': 5}
{'短评内容': '环境还算可以，服务也不错，就是没有沐浴露和洗发水，希望能改进。', '短评打分': 3}
{'短评内容': '。设施和卫生挺好。', '短评打分': 3}
{'短评内容': '原来住过同一栋楼的信合居，价格300多元，这次看了介绍，想换个主题房，价格便宜100多，但是我个人住了以后宁愿多花点钱，因为这个酒店房间尤其是卫生状况不好，马桶不干净，刷牙的杯子那个脏，所以，248价位非常不值', '短评打分': 1}
{'短评内容': '周边餐饮众多，房间还可以，私密性较好。卫生还行，服务员态度较好。', '短评打分': 5}
{'短评内容': '酒店式公寓，楼外都没牌子，得打电话人下了接，开始以为是黑店呢。不过里面条件不错，干净整洁，宽敞，还有冰箱，海景房视野不错。就是不能刷卡。', '短评打分': 5}
{'短评内容': '虽然是私营性质不是很标准化，不过服务态度值得性价比高旅游季节吧，房间收拾的不大及时，再有就是收拾卫生的阿姨怎么会丢了客人房在抽屉里的东西，晕。', '短评打分': 1}
{'短评内容': '定的是海景房。能看到海的地方就一小块。还说是免费升级了，家具比较新，装修也挺不错的，但是下水道一直反味。而且有点担心安全问题。', '短评打分': 1}
{'短评内容': '挺难找的 而且比较麻烦 周围环境一般 处在闹市中', '短评打分': 5}
{'短评内容': '位置很好，房间也很不错，属于家居型的，就是服务略微差些，没有前台接待，没有明显的标志，不太好找', '短评打分': 5}
{'短评内容': '酒店设施还可以，服务不错，很热情的。还比较安静。 附近的交通设施还是能够满足要求的。', '短评打分': 5}
{'短评内容': '入住之后才知道是公寓式酒店，不能刷卡比较不方便。性价比不是很高。', '短评打分': 5}
