{'短评内容': '还可以，就是靠马路边有点吵。', '短评打分': 3}
{'短评内容': '床的弹簧都坏掉了  入住的时候在大厅等了很久才有人办理 房间里面也没有纸巾 味道还很重 没有以前的好了', '短评打分': 1}
{'短评内容': '每次都住这性价比不错，', '短评打分': 4}
{'短评内容': '方便，市中心，总是住这里。', '短评打分': 5}
{'短评内容': '酒店好像是没有早餐的，楼下吃的多，交通也方便。 下次再来住。给5分好评。', '短评打分': 5}
{'短评内容': '夏季健身让你卡看到不少梅兰芳你出门', '短评打分': 5}
{'短评内容': '可能还不错吧', '短评打分': 5}
{'短评内容': '这个价格配得上酒店', '短评打分': 3}
{'短评内容': '经济实惠，干净整齐，每一次出差泉州都住这里', '短评打分': 5}
{'短评内容': '经济实惠，干净整齐，每一次出差泉州都住这里', '短评打分': 5}
{'短评内容': '第二次入住，还可以', '短评打分': 5}
{'短评内容': '还可以，环境卫生凑合可以住吧。', '短评打分': 3}
{'短评内容': '主要是周边环境好，方便出行', '短评打分': 4}
{'短评内容': '还不错，可以去试试，真的不错', '短评打分': 3}
{'短评内容': '自己出差住的，感觉不错，算得上好地方', '短评打分': 5}
{'短评内容': '的共和国根据VV来吧  gufdf ruhg fjh uigg hug0    jgjkh hffh', '短评打分': 3}
