{'短评内容': 'we位置好', '短评打分': 5}
{'短评内容': '酒店位置不错，距离钟鼓楼，回民街都很近，步行即可到达。设施稍显陈旧，好在卫生挺好。早餐实在隔壁的快餐店，只有包子和粥，周围小吃很多，可以选择不带早餐的房间。', '短评打分': 5}
{'短评内容': '环境，服务都不错', '短评打分': 5}
{'短评内容': '刚好可以', '短评打分': 5}
{'短评内容': '近钟鼓楼，热闹街市，商场。', '短评打分': 5}
{'短评内容': '酒店不错，近市区，去哪都方便。', '短评打分': 5}
{'短评内容': '预订了两晚，设施有点久了。不过得要感谢酒店，愿意退一晚。', '短评打分': 5}
{'短评内容': '经常住，这次最失败，没发现隔音太差了，隔壁房间一群人半夜三四点钟就开始大声谈话，直到早上7点多，实在忍无可忍捣了几下墙才消停，。在乎隔音的请谨慎入住。但此处距钟鼓楼和回民街真心近……价格真心实惠……', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '设施挺陈旧了，但地理位置很好', '短评打分': 3}
{'短评内容': '不错 环境很不错 房间很大 就是空调不给力 不凉', '短评打分': 5}
{'短评内容': '  购物比较方便，缺点是有点吵闹，酒店服务不错', '短评打分': 5}
{'短评内容': '房间不算大，进门处没有开关，不太方便。卫生比较好，很安静。地理位置好，离钟鼓楼，回民街很近。早餐比较简单，一人一袋，面包果酱牛奶茶蛋咖啡。', '短评打分': 5}
{'短评内容': '早餐给力，价格有点高。。。。不过在中心地段，这样的价格，还是可以承受的。就是380的房子都没电脑。', '短评打分': 5}
{'短评内容': '交通方便紧紧挨着开源商场，买东西方便，坐大巴也很近', '短评打分': 5}
{'短评内容': ' 太旧', '短评打分': 3}
{'短评内容': '还可以吧，位置就在钟楼附近，出去很方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通较方便,就在钟楼附近.我住609房,洗澡水太小.早饭为带者走的,是冷的.不过牛奶叫服务员热一下还是可以的.', '短评打分': 5}
{'短评内容': '位于钟楼附近麦当劳下面的小道里，不是太明显。内部装修陈旧，房间距离居民楼比较近，直接可以看到对面。没有早餐。', '短评打分': 1}
{'短评内容': '住了3天，在市中心区域非常实惠的酒店，卫生状况良好，楼下就有很多好吃的，打车也很方便，总之性价比非常高，值得推荐！', '短评打分': 5}
{'短评内容': '酒店还可以，交通也比较方便，推荐。。。。。。。。。。', '短评打分': 5}
