{'短评内容': '迴', '短评打分': 3}
{'短评内容': '不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。不错。。。。。。', '短评打分': 5}
{'短评内容': '交通便利，装修独特', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 4}
{'短评内容': '房间比较满意', '短评打分': 5}
{'短评内容': '房间空调不管用，跟前台打电话说了好几次说给调温度没有一点变化。浴室花洒老旧出水状况不好', '短评打分': 2}
{'短评内容': '地毯老有一股臭脚丫子味儿，', '短评打分': 4}
{'短评内容': '酒店早说呢就那样吧，两百块钱一天', '短评打分': 3}
{'短评内容': '价格比较便宜，房间略老旧。周边吃的东西比较多。离港口进', '短评打分': 5}
{'短评内容': '挺好的环境，就是服务态度不是很好。给人感觉很不好', '短评打分': 5}
{'短评内容': '环境不错，很好，很温馨', '短评打分': 5}
{'短评内容': '住了三天环境干净服务态度好', '短评打分': 5}
{'短评内容': '不错，自助餐也还不错', '短评打分': 5}
{'短评内容': '不错，自助餐也还不错', '短评打分': 5}
{'短评内容': '不错，自助餐也还不错', '短评打分': 5}
{'短评内容': '宾馆不错，值得再次入住！', '短评打分': 5}
{'短评内容': '不错，还可以', '短评打分': 5}
{'短评内容': '无线网信号差，免费的矿泉水也不说明，害得我去超市买了几瓶。马路边有些吵，18元的早餐很差劲！', '短评打分': 3}
{'短评内容': '酒店比较干净，早餐不错，周边比较单调，靠出差的地方近，就选它了', '短评打分': 4}
{'短评内容': '  酒店环境还不错 交通也方便，早餐能吃饱，推荐', '短评打分': 4}
{'短评内容': '  酒店环境还不错 交通也方便，早餐能吃饱，推荐', '短评打分': 4}
{'短评内容': '商旅出差首选  周边方便 办事出行也方便  在新港是我们公司每次安排住宿的首选', '短评打分': 5}
{'短评内容': '天津塘沽巨川酒店（新港）信价比较高，餐厅菜品不错。', '短评打分': 5}
{'短评内容': '整体环境不错，就是靠街道，车比较多，比较吵，附近可吃的不是太多', '短评打分': 5}
{'短评内容': '住宿不错，早餐不行', '短评打分': 3}
{'短评内容': '价格有点偏高，和对面的今天比，服务算一般，房间还可以。', '短评打分': 5}
{'短评内容': '服务态度非常差，隔音不好，非常吵，房间被子味道很大，洗手池的水细如丝，还不如不设置洗手台，早餐更别提了，非常差，但是格局还可以，冷风也够，希望加强吧，别砸了巨川的牌子.....', '短评打分': 1}
{'短评内容': '早上洗澡，水挺凉的，洗完了还没有热起来，还好有早餐，不错，挺好吃', '短评打分': 5}
{'短评内容': '\u3000很大的落地窗', '短评打分': 3}
{'短评内容': '这里环境不错，很满意！', '短评打分': 3}
{'短评内容': '酒店挺好，下次还会入住，就是早餐简单了点。', '短评打分': 5}
{'短评内容': '觉得酒店内部环境还是非常好，住的很舒服。就是离火车站有点远!', '短评打分': 5}
{'短评内容': '挨着港口医院，环境还不错，早餐到九点，起晚了就没有了。呵呵', '短评打分': 5}
{'短评内容': '性价比不错，窗帘略嫌太透亮了；建议住背马路一面，贴马路一面货车太多、噪音大。。。', '短评打分': 5}
{'短评内容': '性价比很不错，唯一窗帘略显薄了，早晨太亮。。。', '短评打分': 5}
{'短评内容': '服务不错，位置和交通很好，早餐物有所值吧。下次还住这里。', '短评打分': 5}
{'短评内容': '设施不错，位置还好，早餐物有所值。服务比较热情但是前台人手有时会不足。', '短评打分': 5}
{'短评内容': '环境不错,很舒适', '短评打分': 3}
{'短评内容': '酒店的早餐不错，就是外面的噪声比较大，性价比还是可以的', '短评打分': 5}
{'短评内容': ' 外面噪音太大，房间隔音效果不好，早餐蛮不错', '短评打分': 3}
{'短评内容': ' 感觉不错，值得下次再来。', '短评打分': 3}
{'短评内容': '住的迷你间，总体还行，说是按四星标准管理，但我看顶多也就南方二星标准吧，还好有带早餐。', '短评打分': 5}
{'短评内容': '环境还行，性价比挺高的\n缺点是玻璃隔音不太好，会听到马路上过车的声音', '短评打分': 5}
{'短评内容': '餐厅一般般', '短评打分': 3}
{'短评内容': '房间里暖气真的很暖和，很干净，整洁。住了多次，唯一一次想吃早餐，居然九点就结束了。', '短评打分': 5}
{'短评内容': '酒店环境不错，新开业不久，价格也很有竞争力，推荐。', '短评打分': 5}
{'短评内容': '房间空间比较大，也比较新。阳光充足。只是服务没有以前好了，房间打扫很马虎', '短评打分': 5}
{'短评内容': '酒店服务和环境都不错,很干净,值得一住!', '短评打分': 3}
