{'短评内容': '酒店在市中心，环境还可以，早餐也不错。', '短评打分': 3}
{'短评内容': '酒店是我住过的最差的一个，房间臭味实在太重，不知亿龙怎么会和这种酒店合作', '短评打分': 3}
{'短评内容': '环境一般，购物比较方便。', '短评打分': 3}
{'短评内容': '位置好，交通方便，房间大，早餐还行，但卫生间和洗澡间设计不合理，像临时用玻璃隔的，卫生间竟然小到转不开臀部。', '短评打分': 5}
{'短评内容': '很好，环境不错', '短评打分': 3}
{'短评内容': '半夜两点玩回酒店洗澡。。居然有小强，太悲催。。。。。。', '短评打分': 1}
{'短评内容': '一般般，旅馆的档子，本来订腾龙的，呵呵，，，，', '短评打分': 5}
{'短评内容': '一般般，旅馆的样子，本来订腾龙的，搞错了，呵呵', '短评打分': 5}
{'短评内容': '一般，卫生间太差了，马桶水箱都没盖子。不像是三星级的酒店。', '短评打分': 1}
{'短评内容': '再次入住，朋友推荐的，还真不错。\n就是早餐比较一般，但是在凯里算不错的了。', '短评打分': 5}
{'短评内容': '不错，都说好。下次还继续住。\n可惜没有用消费券。', '短评打分': 5}
{'短评内容': '这个酒店总体来说还是不错的，自助早餐还算可以！住宿环境也不错！房间配备了电脑！就在市区中心，服务员还算热情', '短评打分': 5}
{'短评内容': '房间陈旧了些…退房速度慢了点…服务态度还算不错吧…', '短评打分': 3}
{'短评内容': '位置好，闹中取静，装修一般，隔音不是很好，楼道里的声音听得一清二楚\n早上收拾房间的服务员，把我登山包上的快挂给“拿”走了。。。。回来后发现已经死无对证了。。。。', '短评打分': 1}
{'短评内容': '酒店地里位置在商业中心，很方便。房间很宽敞，很超值。', '短评打分': 3}
{'短评内容': '房间宽敞 交通便利 清洁服务人员态度亲切\n我连续住三天 逛街 吃东西 都瞒惬意的！', '短评打分': 5}
{'短评内容': '酒店位置不错，性价比较高！', '短评打分': 3}
{'短评内容': '宾馆环境很好,服务周道,晚上很安静,定的是豪华套间,挺适合和朋友一起聊天聚会的,就是前台不能存放物品,这点不满意', '短评打分': 5}
