{'短评内容': '对得起这个地方的这个价格，还可以', '短评打分': 4}
{'短评内容': '一般一般，一般一般，一般一般，不是很好也不是很差', '短评打分': 4}
{'短评内容': '价格合适，环境一般，适合不同出差住宿', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '写的有早晨，到地方了说没有，价钱也没变，主要是房间卫生不乐观，隔音效果不好，总之很一般，和其他地市的美宜家差很多。', '短评打分': 4}
{'短评内容': '还行吧，', '短评打分': 4}
{'短评内容': '总体来说，还行', '短评打分': 5}
{'短评内容': '环境好！', '短评打分': 4}
{'短评内容': '非常安全、环境好、服务好！地理位置很好找。', '短评打分': 3}
{'短评内容': '很好很不错。附近很繁华，吃饭的地方也好找，酒店环境也挺好。', '短评打分': 3}
{'短评内容': '房间设施一般，在县城里价格不算台实惠。', '短评打分': 3}
{'短评内容': '酒店位于荥阳市中心，紧邻商业区，购物、交通方便，房间大小合适，非常适合商旅出差。以后还会入住。', '短评打分': 5}
{'短评内容': '地点适中，价格相宜，各方面设施较齐全，较为满意。', '短评打分': 5}
