{'短评内容': '旁边购物很方便', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '房间不大，服务态度好！', '短评打分': 5}
{'短评内容': '很不错，很好，非常值得购买。', '短评打分': 5}
{'短评内容': '非常满意的一次住店之旅，服务非常贴心，特对服务员韩国英表示感谢！', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '非常好，服务员热情周到，看到孩子剑袜，主动帮洗。很感谢。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住的挺好的', '短评打分': 5}
{'短评内容': '环境很好，下次还会入住。大堂服务非常热情，入住很快。房间设施很新，装修很好，尤其是浴室非常好。隔音效果也很好。早餐不错，', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '住过多次了，还不错', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '位置很好，出行方便', '短评打分': 4}
{'短评内容': '房间不错，价格也可以接受。', '短评打分': 5}
{'短评内容': '？葫芦头', '短评打分': 5}
{'短评内容': '很好 干净卫生 还给调了高标间 给五分', '短评打分': 5}
{'短评内容': '商务出行,周边环境方便,出差一直入住商务出行,周边环境方便,出差一直入住商务出行,周边环境方便,出差一直入住商务出行,周边环境方便,出差一直入住商务出行,周边环境方便,出差一直入住商务出行,周边环境方便,出差一直入住', '短评打分': 5}
{'短评内容': '环境很赞…但是我是半夜到的，下次再去会补上。', '短评打分': 5}
