{'短评内容': '朋友非常满意的酒店，环境幽雅，漂亮。', '短评打分': 5}
{'短评内容': '山景赞，酒店好', '短评打分': 5}
{'短评内容': '环境优雅，空气质量好', '短评打分': 5}
{'短评内容': '早餐很棒，免费升级了普标，比较适合带孩子，很大的一个院子，位置就在警备区西边，停车场有，都是露天的', '短评打分': 5}
{'短评内容': '位于半山腰的别墅区，依山傍海。自助早餐菜品丰富。一次愉快的体验。', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '海林山庄应该是蛮老牌的当地酒店，看得出来曾经辉煌过。这次旅行临时起意，因为上海交大的博导在这里有一场培训，我们母子仨跟着先生来听课商谈顺带旅行于是为了方便预定的这里。在大堂还偶遇某二线明星出入，入住的两天这里还举办当地名家的书画大赛。酒店设施有些陈旧，房间没有浴缸，于是两天都没给孩子洗澡。健身区域很简陋。背靠浮山，带着孩子爬山很开心。交通距离繁华地段有点远。', '短评打分': 4}
{'短评内容': '酒店卫生不错，很安静，早餐很丰富。离办事的地方也很近。', '短评打分': 5}
{'短评内容': '装修有点老', '短评打分': 5}
{'短评内容': '设施有点老，尤其是卫生间！但是宾馆服务不错，周边环境很好！', '短评打分': 5}
{'短评内容': '设施有点老了，服务很好', '短评打分': 5}
{'短评内容': '新装修的不错', '短评打分': 5}
{'短评内容': '一般，青岛的宾馆价格普遍较高。', '短评打分': 3}
{'短评内容': '这家酒店还挺好，青岛很热，酒店爆满，这个时候旅游不容易。', '短评打分': 5}
{'短评内容': '单间太小了，跟快捷酒店差不多，设施也比较陈旧，有待更新！', '短评打分': 5}
{'短评内容': '位置非常好，环境也不错，就是酒店房间内设施陈旧！沿海霉味较重，其他都还不错！', '短评打分': 5}
{'短评内容': '酒店标间还可以，单间很差', '短评打分': 3}
{'短评内容': '是在零八年考研的时候入住的 和同行的同学住的标准间 两个人好像是150元首先，位置上离市区比较远，但是离考点比较近。不过这个“山庄”确实给人在山庄的感觉，一方面是周围很安静，另一方面是比周围要高出一些。有些像隐藏起来的城堡的感觉其次，卫生方面还不错，地毯好像是旧了些不过总体还算干净的，卫生间也可以，只是淋浴的设备有些旧了。再次，我和同学两个人住的那间空间还挺大的，大概有二十平的样子。然后，早上有免', '短评打分': 5}
