{'短评内容': '房间宽敞明亮', '短评打分': 5}
{'短评内容': '位置挺好的，交通也方便，加床就需要问客服了，房间挺大的，也暖和，干净整洁。', '短评打分': 5}
{'短评内容': '服务态度好，环境不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '没有早餐，但旁边就有包子铺，而且味道不错，酒店很干净卫生，出行方便，服务也很好，锦江之星连锁的品质还是在线的，推荐!', '短评打分': 5}
{'短评内容': '一般吧，屋子有点潮，睡着没有以前好', '短评打分': 5}
{'短评内容': '挺好的。。。。。', '短评打分': 5}
{'短评内容': '好好好好，好好好好好，好好好好，好好好好好，', '短评打分': 5}
{'短评内容': '条件好非常的好，主的舒服和舒服', '短评打分': 5}
{'短评内容': '宾馆不错，厕所非常干净，房间也不错，很好，服务态度也不错', '短评打分': 5}
{'短评内容': '房间设施很齐全，很干净，服务态度也好，以后还会在锦江之星住的', '短评打分': 5}
{'短评内容': '房间干净，服务态度也比较好，床也非常舒服，很好', '短评打分': 5}
{'短评内容': '服务可以，设施一般，周边吃饭较多，比较拥堵', '短评打分': 3}
{'短评内容': '条件一般，服务可以，周边比较拥堵', '短评打分': 3}
{'短评内容': '条件一般，服务可以，温度比较低', '短评打分': 3}
{'短评内容': '酒店是老房子 没有地热 是暖气片那种的。早上打车不好打 可能是下雪第二天路还比较滑的缘故。离地铁站1公里吧。对了 早上洗面奶落在酒店了。酒店没有给我打电话，因为家里还有也不是特别贵对此也没什么意见了 ，早上自助餐样式比较少', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '房间大，整齐干净，非常好', '短评打分': 5}
{'短评内容': '服务态度非常好，性价比超高，以后还会选择这个酒店，支持一下，出门还得选携程，方便快捷，还能省RMB.哈哈～', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '差评', '短评打分': 1}
{'短评内容': '正确的选择', '短评打分': 5}
{'短评内容': '挺差的，没有暖气，空调也不行，最重要是床单被罩没有换，早餐也没有以前好吃了，越来越差了。', '短评打分': 4}
{'短评内容': '每次出差都住这里，比较方便划算，交通也比较便利，周边吃饭的地方很多，物价也很便宜。', '短评打分': 4}
{'短评内容': '卫生服务都还不错，但不隔音，重要的是大冬天的竟然没暖气，雷到拉', '短评打分': 4}
{'短评内容': '快捷酒店里面锦江之星算挺好的`~', '短评打分': 5}
{'短评内容': '位置有点奇怪 不过环境还可以 门口就是公交站 值得考虑', '短评打分': 5}
