{'短评内容': '服务很好价格合理', '短评打分': 5}
{'短评内容': '好，不错，环境优雅', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '环境好，干净', '短评打分': 5}
{'短评内容': '卫生服务都可以！就是网络真的需要改进下了！经常掉线！', '短评打分': 5}
{'短评内容': '真不错的', '短评打分': 5}
{'短评内容': '挺好的啊', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '刚哈更好会哈更会哈更会哈更会哈更', '短评打分': 5}
{'短评内容': '哈哈哈还好还好好', '短评打分': 5}
{'短评内容': '房子比较干净，空调不错！', '短评打分': 5}
{'短评内容': '一般吧。', '短评打分': 4}
{'短评内容': '实惠，同等价格可选指数高', '短评打分': 5}
{'短评内容': '请酒店加强管理，我第一次拿的房卡去开门，里面竟有客人啦，不知道这样的事情该怎么解释，吧台男服务生连句道歉的话都没有，非常失望。', '短评打分': 5}
{'短评内容': '性价比超高！', '短评打分': 5}
{'短评内容': '1洗澡发现小花洒水管是坏的，哗哗流水，没关系我可以忍2．推开凳子被脏的恶心到了，没关系我自己擦干净一块先坐下，坐下脚底下粘糊糊的不知道什么东西，没关系我可以忍（图片是擦完的了，恕我湿巾实在用完了）3．中午不太到2点入住，伴随一下午的窗外施工的敲打声，只要不影响晚上睡觉就行，所以没关系我可以忍4．终于晚上了，消停到10点多，狗叫偶尔几声，伴随好像狗主人的声音，以为遛狗没在意，好戏开始了，过了12点狗', '短评打分': 1}
{'短评内容': '非常好非常方便', '短评打分': 5}
{'短评内容': '总体还是可以的，但是相对于其他的快捷酒店，还是有提高的空间，卫生间没有独立的洗浴区，洗完澡整个卫生间都是水，而且地漏的位置比较高，水留下去的速度非常慢，重点要说的是，房间的蚊子非常多，吃完晚饭回来发现好多蚊子，最后经过我的努力，至少消灭的20支蚊子，20支啊，要是他们晚上一起会个餐啥的，我得什么样啊，恐怖啊。', '短评打分': 5}
