{'短评内容': '亲身体验感觉还可以。云阅读彩虹童梦幻彩图注音版 低年级必读系列 脑筋之转弯，子龙雨竹林教育学家额去弄文学他家', '短评打分': 5}
{'短评内容': '离车站很近', '短评打分': 4}
{'短评内容': '整体还行，这个价位可以了', '短评打分': 4}
{'短评内容': '优点是离汽车站/火车站很近 周围公交很多交通非常方便。店员的服务态度也可以。但缺点是酒店有点旧，我住的房间形状很奇怪，不是四方形，而且有虫子，也有异味。', '短评打分': 4}
{'短评内容': '房间很舒服', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '朋友出差都来这里，环境还是不错的。', '短评打分': 5}
{'短评内容': '有点旧，不过价格合理', '短评打分': 5}
{'短评内容': '干净卫生，早餐改进很多，亮点。', '短评打分': 5}
{'短评内容': '好好highhighhighhighhighhighhighhighhigh好high好high', '短评打分': 5}
{'短评内容': '酒店设施一般，但是服务很好，员工很热情。下次还会住那里。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '前臺和清潔阿姨的服務態度好。 有小點心。 最不習慣還是洗手間的設施', '短评打分': 4}
{'短评内容': '地理位置好，對面就是汽車站，到哪兒交通都方便。 缺點，洗澡和座便器一塊兒，每次洗完無法避免要抹一次， 每次進去都濕濕的，不方便。 網路不太給力', '短评打分': 4}
{'短评内容': '周边交通很方便，而且服务很好，性价比很高', '短评打分': 5}
{'短评内容': '环境好 不错', '短评打分': 5}
{'短评内容': '服务人员特别热心，特别是三楼的那个小伙子特别有礼貌。房间特别干净、舒适、整洁。', '短评打分': 5}
{'短评内容': '酒店卫生条件不错', '短评打分': 3}
{'短评内容': '酒店很好，我经常去这家酒店.各方面都很满意', '短评打分': 5}
{'短评内容': '环境优美地理位置方便', '短评打分': 3}
