{'短评内容': '地方不错 适合刚来上海的 也有长住房 经常来', '短评打分': 5}
{'短评内容': '牙刷牙膏要的 自己买，电视屏幕太小了 太差了，网速也很差，窗户也很差 陆丰 吹风还有一项', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '房间小小的一个人住正合适，唯一的槽点就是没有任何洗漱用品，谁出门在外随身携带呢。打着环保旗号，可以说是为了省钱吗？', '短评打分': 4}
{'短评内容': '非常好！住了很久了', '短评打分': 5}
{'短评内容': '挺好的，性价比高', '短评打分': 5}
{'短评内容': '一直订这家，前台热情，安全管理也挺好，这个价格还有停车位', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好 经常去 第n次去了 要是以后有洗漱用品就好了z', '短评打分': 5}
{'短评内容': '挺好的 经常去 没有拍照 便宜', '短评打分': 5}
{'短评内容': '很满意交通便利很好住的很舒服', '短评打分': 5}
{'短评内容': '很好&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '很不错，使用很方便', '短评打分': 5}
{'短评内容': '不错 经常去 房间很舒服 在上海这个价钱挺好', '短评打分': 5}
{'短评内容': '简单干净 服务人员态度很好', '短评打分': 5}
{'短评内容': '不错 经常去', '短评打分': 5}
{'短评内容': '总体来说还是不错的。', '短评打分': 5}
{'短评内容': '总体来说还是不错的。', '短评打分': 5}
{'短评内容': '环境一般，网络不行，价格便宜，其他&hellip;&hellip;', '短评打分': 3}
{'短评内容': '环境一般，洗漱用品都没有、', '短评打分': 5}
{'短评内容': '洗漱用品要花钱买  5块钱一份 网络信号极差 ', '短评打分': 2}
{'短评内容': '度过了一个完美的周末', '短评打分': 5}
{'短评内容': '挺好的酒店', '短评打分': 4}
{'短评内容': '积分兑换的也就算了，后期续住149元大床房，竟然没有洗发露沐浴露，很难理解，汉庭海友都有配好吗，不会考虑住了！', '短评打分': 2}
{'短评内容': ' 城市是大城市，与酒店并不成正比', '短评打分': 3}
{'短评内容': '亮点就是便宜，其他都很一般！连锁酒店要求不能太高..', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '房间卫生干净，前台服务人员服务态度不错，地理位置还行！下回还会来入住！', '短评打分': 5}
{'短评内容': '房间卫生干净，前台服务人员服务态度不错，地理位置还行！下回还会来入住！', '短评打分': 5}
{'短评内容': '服务还是满好的', '短评打分': 4}
{'短评内容': '＋服务态度很好。。。', '短评打分': 3}
{'短评内容': '感觉太简单，价格低也就将就了，卫生间没门，有异味。', '短评打分': 5}
{'短评内容': '还不错 离火车站很近 地铁也比较方便 房间也比较干净 装修设施也OK', '短评打分': 5}
{'短评内容': '服务比较周到，卫生也可以，只是空间有点小，最不满意的是网络信号不好，很难上网。', '短评打分': 5}
{'短评内容': '很精致，干净。', '短评打分': 3}
{'短评内容': '离火车站很近，挺方便的。环境挺一般的，网速不是很快。', '短评打分': 3}
{'短评内容': '很好很温馨还干净。', '短评打分': 3}
{'短评内容': '不错，价钱不算贵，概念挺时尚，迎合年轻人群，great！', '短评打分': 3}
{'短评内容': '环境还不错,单间房太迷你.', '短评打分': 3}
{'短评内容': '新酒店 橙色系列 挺可爱的 记住：自带洗漱用品 ', '短评打分': 5}
{'短评内容': '新酒店 橙色系列  挺可爱的 记住：自带洗漱用品', '短评打分': 5}
{'短评内容': '挺不错的    住着挺舒服   青年酒店里算不错的了  ', '短评打分': 5}
{'短评内容': '已成功入住.房间虽小,设施齐全.满意.谢谢.', '短评打分': 3}
{'短评内容': '这个价格 真的是很划算 虽然隔音有点小小的问题 但是问题不大', '短评打分': 5}
