{'短评内容': '  根本没有 四星级的服务  另外还多收钱  多家12块  说是 政府加收，', '短评打分': 1}
{'短评内容': '号称四星，提供的是一星级的服务和一星级的设备，总的感觉跟住路边招待所差不多。', '短评打分': 3}
{'短评内容': '酒店设施太旧了，宣传画里的的电视是液晶的，进去了发现不是。下次得换酒店住了', '短评打分': 3}
{'短评内容': '一般，房间有股味道，每次回到房间都要先开空调\n接待旅游团比较多，所以每次早餐到了八点就没什么可吃的', '短评打分': 1}
{'短评内容': '酒店设施已经很破旧了。房间有股怪怪的味道。而且服务态度很差。', '短评打分': 1}
{'短评内容': '很不错的酒店，在桂林市闹市区，交通便利。前台效率不错，房间也比较干净，总体感觉不错。', '短评打分': 5}
{'短评内容': '酒店的服务态度还可以。酒店的服务水平还需提高。硬件不是很好。', '短评打分': 1}
{'短评内容': '卫生太差，餐厅的白色餐台布已变成彩色，恶心，房内的浴缸边缘污垢令人恐惧。', '短评打分': 1}
{'短评内容': '还行，就是没停车场．房间有点旧，总而言之性价比可以．', '短评打分': 3}
{'短评内容': '酒店性价比还可以，不好的是没有停车场．还有就总台的服务有些态度不很友好．', '短评打分': 3}
{'短评内容': '地方还可以，就是没停车场。', '短评打分': 5}
{'短评内容': '号称四星级的酒店.里面的设施破烂不如旅馆.而且上网还要收费.一天20\r\n就价格比较低220.不过这种价格比等级的酒店高多了.', '短评打分': 1}
{'短评内容': '酒店一般，比较陈旧', '短评打分': 3}
{'短评内容': '在桂林这个旅游城市算比较便宜。虽然四星级，可能因年代久，类似三星', '短评打分': 5}
{'短评内容': '还是挺一般的酒店,设施很陈旧了卫生还行,服务也挺一般的,位置还是很好找的,性价比一般我下次去肯定也不会去这家酒店了.', '短评打分': 3}
{'短评内容': '酒店的设施比较陈旧，服务态度也不好。尤其是酒店的旅游部，一边“偷菜”一边应付顾客。\r\nPOS机结帐我花了近20分钟，不知道服务员怎么回事？', '短评打分': 1}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '酒店位置不错。服务尚可。但停车有些不便。酒店自己没有停车场。设施有些旧了。', '短评打分': 5}
{'短评内容': '酒店除了位置比较好以外，其他都不好，很差，服务态度一般，但是卫生方面实在不行，床单什么感觉毛茸茸的，家具什么的也都挺旧，挺破的。', '短评打分': 1}
{'短评内容': '整体感觉不错，价格合适，服务和卫生条件也不错，当时也有接机服务很不错\n', '短评打分': 5}
{'短评内容': '既然承揽会议但是设施不够', '短评打分': 1}
{'短评内容': '价格适中，设施不错。', '短评打分': 5}
{'短评内容': '我从市里打车也要半天才到酒店，位置偏，而且酒店里感觉也挺乱的，他的服务硬件和装修感觉没有准4星的样子，这样来说价格比较贵。', '短评打分': 1}
{'短评内容': '设备陈旧，没有服务。好处就是可以免费接机和国内长途免费打', '短评打分': 1}
{'短评内容': '&amp;lt;P&amp;gt;若要去住&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;可要多想想！&amp;lt;/P&amp;gt;', '短评打分': 1}
