{'短评内容': '还可以吧，酒店两栋楼，不是在主楼住的，房间格局有些怪', '短评打分': 5}
{'短评内容': '订了价格挺好，结果打电话说不接待外宾，取消了。订购页面只有尊享价，没有标注任何信息。京东旅行还需要加大投入改进。', '短评打分': 5}
{'短评内容': '酒店距离地铁有点距离', '短评打分': 5}
{'短评内容': '早餐丰富。外国人多。每星期天中午自助餐有现场演奏，感觉十分舒服。下次仍会继续住这，游泳池偏小，不过天冷也不想下水游泳。', '短评打分': 5}
{'短评内容': '房间太小，，走个过道都是贴着床走，这个价钱对不起这个房，直接订了4个晚上又不能取消，心态爆炸', '短评打分': 5}
{'短评内容': '酒店2008年就开业了，保持得还不错', '短评打分': 5}
{'短评内容': '位置佳，服务好', '短评打分': 5}
{'短评内容': '很好的酒店，前台服务员服务优质，房间干净', '短评打分': 5}
{'短评内容': '早餐很不错', '短评打分': 5}
{'短评内容': '干净舒适，周边环境好', '短评打分': 5}
{'短评内容': '环境很好 早餐很好 地理位置很好 近外滩 南京路 豫园 很方便', '短评打分': 5}
{'短评内容': '酒店不错看到三大神器', '短评打分': 5}
{'短评内容': '挺好的环境', '短评打分': 5}
{'短评内容': '酒店服务超好，位于上海黄浦中心 距离南京路外滩都很近只是不能抽烟', '短评打分': 5}
{'短评内容': '不错，给力，服务很周到，安排很好！', '短评打分': 5}
{'短评内容': '服务很好，环境不错，位置很好，菜品不错', '短评打分': 5}
{'短评内容': '给不看看GG好几年不吃不喝结婚对象比较接近紧急呼叫', '短评打分': 5}
{'短评内容': '还是很不错的', '短评打分': 5}
{'短评内容': '不错不错哦', '短评打分': 5}
{'短评内容': '环境挺好的，商务气氛，下次有机会还会入住威斯汀！', '短评打分': 5}
{'短评内容': '很好的酒店就是找不到之前我的信息比较遺憾', '短评打分': 5}
{'短评内容': '就是有点老', '短评打分': 4}
{'短评内容': '一如既往的棒', '短评打分': 5}
{'短评内容': '大酒店环境就是不一样 很舒适 不错的', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 4}
{'短评内容': '免费升级行政房，房间大', '短评打分': 5}
{'短评内容': '总的来说还是很不错的 就是房间没窗户 空气不怎么好 ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '老总出差指定的要订的酒店', '短评打分': 5}
{'短评内容': '酒店地理位置优越，距离南京东路步行街、外滩步行10分钟的距离，酒店的服务中规中矩，意大利餐厅和中餐厅各有特色。', '短评打分': 4}
{'短评内容': '很是不错！', '短评打分': 5}
{'短评内容': '五星級的酒店 什麼都好 wifi速度差了點', '短评打分': 5}
{'短评内容': '地铁2、10号线就在附近，外滩、南京路步行街也可步行10分钟到达，最大的新华书店、外文书店也不远，所以真的很方便。环境更是一流，自助早点和下午的自助点心也很精致。强力推荐！', '短评打分': 5}
{'短评内容': '电源插座部分有问题，松动不可使用。床头灯源开关有问题，不好使用。房间号1716', '短评打分': 4}
{'短评内容': '酒店的位置不錯，員工的服務態度很好，而且親切，而且交通也算方便，需然離地鐵站有些距離，但總體上是不錯的，而酒店的設施也不錯，因此下次再來上海也會首選這間酒店。', '短评打分': 5}
{'短评内容': 'haikeyi', '短评打分': 4}
{'短评内容': '第一次入住威斯汀，感觉服务很好，环境也不错，早餐希望 能改进些，中式早餐是否能增加些呢', '短评打分': 5}
{'短评内容': ' 很好的一家酒店 每次到上海也是住威斯汀  安全  关怀 笑容 细心  须然不是最高档 但绝对是服务性价比最好的', '短评打分': 3}
{'短评内容': '国际连锁酒店服务一流，特别赞一下办理入住时的前台小姐，态度亲切、不厌其烦。下次一定再入住。', '短评打分': 5}
