{'短评内容': '很冷，很冷，很冷！', '短评打分': 1}
{'短评内容': '暖气不够热', '短评打分': 4}
{'短评内容': '价格比较公道', '短评打分': 5}
{'短评内容': '地理位置好', '短评打分': 5}
{'短评内容': '非常喜欢', '短评打分': 5}
{'短评内容': '不错的酒店，房间宽敞安静～～服务周到，不小心把一挂件落下了，服务员细心保管并打来电话☎️提醒！！！好评！！！', '短评打分': 5}
{'短评内容': '店住的还可以，就是早点太差劲了，', '短评打分': 2}
{'短评内容': '位置不错,离地铁站近,可能不太好找,但邻近青年湖公园,早上去公园散步很好.早饭虽没吃上但在北京,这个价位含早餐,性价比高.', '短评打分': 4}
{'短评内容': '很满意 每次都住这里 推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '习惯住这里了 办事方便 环境安静 旁边是公园 交通也很便捷', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置挺方便的，就在青年湖旁边，酒店含早餐，还可以。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '還行！乾淨！', '短评打分': 5}
{'短评内容': '酒店性价比还可以，但周边环境老城区感，毛巾有些旧，房内没有抽纸。地理位置尚可，公交站步行三分钟，地铁站步行十分钟。', '短评打分': 4}
{'短评内容': '装修比较新，早餐不错。', '短评打分': 5}
