{'短评内容': '还可以，实惠的', '短评打分': 4}
{'短评内容': '总体情况，很一般，节假日期间，就这样吧，位置有点偏，导航没找着！', '短评打分': 2}
{'短评内容': '卫生差', '短评打分': 4}
{'短评内容': '垃圾！要不是没地方住，不可能住那！建议爱旅游的小伙伴们，提前订农家乐型的！又经济又实惠！', '短评打分': 1}
{'短评内容': '位置距离中心湖区尚可，自驾约10分钟。服务较好，加10元有早餐供应，房间大小还行，卫生尚可！', '短评打分': 5}
{'短评内容': '老板很热情，就是酒店的设施不够好，我住的那间窗户扣子和顶灯都是坏的，其他的一般吧。价格感觉有点贵了。', '短评打分': 4}
{'短评内容': '酒店超级棒，服务好又实惠，不过最好先预订吧', '短评打分': 3}
{'短评内容': '有点偏远 离镇子中心很远 开车得好一阵 而且房间感觉很长时间没人住 有霉味~', '短评打分': 1}
{'短评内容': '<千岛湖青溪度假村>是一个很温馨农家乐型的度假村,小型的农家度假村却充满家的感觉和家的味道. \n\n居住环境很普通但是特别干净,千岛湖青溪度假村内所有的人都特别亲切友好(我52岁来自台湾,带着80多岁的父母亲到千岛湖旅游,我住过全世界许多著名五星级的宾馆,可是千岛湖青溪度假村温馨的感觉却让我深深感动),那种家的感觉是在其它地方找不到的感觉.\n\n这是一个真正适合( 台,港,澳 和 外籍人士 )旅游居住', '短评打分': 5}
{'短评内容': '只能说安静，经济实惠，离码头也不远，就是周遍娱乐的地方没有要去枕上', '短评打分': 5}
{'短评内容': '周六是双休日，是最贵的，都涨价，比平时涨了80元，酒店里面还不错，电脑、空调、电视都有，老板和老板娘人很好，还到车站接我们了，还介绍我们好玩的景点，学生在她那买门票可以拿到学生票。就是地方偏了点，离码头蛮远，在收费站那里。', '短评打分': 5}
{'短评内容': ',环境还好', '短评打分': 3}
{'短评内容': '从性价比上来说还是不错的，但距离千岛湖广场比较远，幸好打给酒店有车接。这家自带酒店味道也还可以。', '短评打分': 3}
{'短评内容': '狂差！\n不整洁\n早餐差\n晚上狂吵\n问路态度狂差\n国庆狂贵  包子冷\n还不给刷信用卡  还先预付费\n\n出行这么多年   算住过的最差的\n强烈不推荐  \n奶奶的ELONG网  先前推荐的还说好  差的一沓糊涂\n从此也ELONG都不信任\n', '短评打分': 1}
{'短评内容': '较整洁，疑似私人旅馆，十一期间价位较高', '短评打分': 3}
{'短评内容': '房间干净，但没电梯。', '短评打分': 3}
{'短评内容': '环境还可以吧。就是在马路边。 不够安静。。还有停车场是开放式的。。 像我这样摩旅的。停摩托车不是很放心', '短评打分': 5}
{'短评内容': '价格很实惠，但服务真的不能苟同，连房间的卫生纸用完了还要收费', '短评打分': 1}
{'短评内容': '真的很实惠 老板很好，还有自己家的饭店，好方便的说，房间也很好，就是打扫的不太干净了', '短评打分': 5}
{'短评内容': '1、性价比还可以。我们住的是湖景标间，房间还可以，但因为靠马路，晚上略微有点吵。\n\n2、酒店不太好找，打电话到前台，老说让我们找05省道，但当地路牌很少指示05省道方向的。\n\n3、长途电话可以免费打，这个我喜欢。', '短评打分': 5}
