{'descr': '还不错 就是装修老了。', 'star': 5}
{'descr': '酒店离天目湖比较近', 'star': 4}
{'descr': '一般般，国庆酒店都价格高的离谱', 'star': 4}
{'descr': '离天目湖景区很近，过去几分钟路。但房间很一般，卫生也一般。周围吃鱼头的地方很多。早餐几乎没有可吃的东西。', 'star': 4}
{'descr': '非常好', 'star': 5}
{'descr': '隔壁的半岛花园酒店就350环境还好得很，这个还四百多，真心的不划算，空调响的要死，装修真的太老了，总之以后不会选择了', 'star': 2}
{'descr': '只有三个字那就是太差了', 'star': 1}
{'descr': '不错的酒店。。。。。。。', 'star': 3}
{'descr': '房间里面太破了，墙角都是坏的，还有最要命的床头柜边上没有插座，充电不方便', 'star': 2}
{'descr': '很一般的酒店 一抓一大把 没有特色 预定需谨慎', 'star': 4}
{'descr': '酒店离景点很近，空气好，环境好', 'star': 5}
{'descr': '一般般', 'star': 4}
{'descr': '环境不错，房间也不错，挺干净', 'star': 5}
{'descr': '各方面还可以的，到天目湖也很近。就是靠路边的房间吵了点。早餐品种少了点，儿童还要收费20,。女儿就吃了半个小包子，几片哈密瓜，朋友的女儿干脆就吃了两片瓜。第二天小孩就不带去吃了，20元钱省了。', 'star': 4}
{'descr': '酒店环境非常不错，很干净，美食也非常棒。空调噪声大，其他没什么。', 'star': 3}
{'descr': '空调噪音太大  很不能接受，其他方面还能接受', 'star': 5}
{'descr': '这家酒店虽不在景区里，但公交很方便。服务和餐饮都很好！', 'star': 5}
{'descr': '呵呵，也好找，离天目湖大门车程5分钟，不过当地的朋友都没有找到。住房还可以，上网网速不错，晚上吃了天目湖鱼头汤，当菜吃的，268元，两人吃有点多，点了一个小炒，共计368元。总的说菜口味不错。唯一美中不足的是房费，不过在网上订房的是198元，在路上接到电话说是房价上涨328元，可以退订，已经在路上了，又是清明三天假，涨就涨了吧。入住后，感觉对得起节假日的房价了。', 'star': 5}
{'descr': '值得住的。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '周边环境很安静，不吵，但离市中心又不远，交通方便。整个酒店给人以古香古色的感觉，房间相当干净，很满意，很喜欢！', 'star': 5}
{'descr': '周边环境很安静，不吵，但离市中心又不远，交通方便。整个酒店给人以古香古色的感觉，房间相当干净，很满意哦！', 'star': 5}
{'descr': '环境比较新，服务员也热情，下面2楼是餐厅，吃饭方便。。。但空调声音响。。另外觉得如果房价在180元内的话性价比还是可以的。。。', 'star': 5}
{'descr': '环境不错，中式风格挺漂亮！天气很冷，空调挺热！', 'star': 5}
{'descr': '大年初二来到这里，外表看上去一般，一进大厅给人的感觉还不错，唯一的缺点就是大厅里没空调，我们冷就算啦，酒店吧台的员工岂不是冻一天啊，进了房间感觉这个酒店还是相当的不错得，感觉很好，很温馨！下次来这里还是首选！等晚上吃了这里的饭再来点评！！', 'star': 5}
{'descr': '环境很好，古色古香', 'star': 3}
{'descr': '房间很干净，虽然不大，但住起来还是可以的', 'star': 5}
{'descr': '周边环境安静，距离天目湖山水园较近，酒店设施不错，服务态度良好，早餐建议增加品种，建议房间内配备吹风机。', 'star': 5}
{'descr': '酒店位置不在镇中心，但是环境不错，房间也很好，设施比较新，店里烧的鱼头汤也很好。', 'star': 5}
{'descr': '装修新派，干净，性价比高。就是空调声音有点响，位置稍偏，不过在小镇上面也无所谓。', 'star': 5}
{'descr': '酒店的大体环境给人一种古色古香的感觉，房间内饰很好，酒店比较新，居住很舒适。餐饮方面，我在当晚预定了溧阳特色的砂锅鱼头，唯一不足的是，鱼汤偏咸，其他还可以！', 'star': 5}
{'descr': '物超所值，房间设施很齐全，服务不错，但是隔音不太好，大堂人员偏少，总体满意，下次去天目湖还会选择。\u3000', 'star': 5}
