{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '服务很好，卫生也很好，开夜床服务也很贴心，赞！！', '短评打分': 5}
{'短评内容': '前台人员王怡萍和高启扬服务挺好的，酒店不错', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '停车方便，早餐非常丰富，房间干净', '短评打分': 5}
{'短评内容': '早餐真不咋样，停车不方便。', '短评打分': 4}
{'短评内容': '还不错居然还订到房间了。', '短评打分': 5}
{'短评内容': '开发票很麻烦，在京东上订酒店的话很很不方便', '短评打分': 5}
{'短评内容': '价格实惠 比较舒服 周边也很方便 就是设施老了点 早餐不错', '短评打分': 5}
{'短评内容': '很不错，还给我们免费升级了，就是床有点小', '短评打分': 5}
{'短评内容': '无烟味不错', '短评打分': 5}
{'短评内容': '环境幽雅，服务不错', '短评打分': 5}
{'短评内容': '挺干净的，环境安静，有免费停车场。淋浴间的门关不严，洗澡的水会流出来。窗外有一排房子的高度正好到入住房间的窗台，视线有些遮挡。总体还好吧！', '短评打分': 5}
{'短评内容': '整体感觉不错，餐厅吃饭很实惠', '短评打分': 5}
{'短评内容': '很不错，门童，客服人员服务态度都很棒，让南京的我们出公差甚是感到欣慰。酒店的餐饮也很好，比南京便宜许多，物美价廉。印象分100分。', '短评打分': 5}
{'短评内容': '不错，服务很好，有送水果，就是淋浴的水热的比较慢', '短评打分': 5}
{'短评内容': '酒店装修很破旧，卫生条件很差，根本不像四星级酒店，差评差评差评', '短评打分': 1}
{'短评内容': '不错，经常来住，最好给我个协议价', '短评打分': 5}
{'短评内容': '酒店帮我免费升级，房间超大，设施不错，2楼的的中餐味道也很好，晚上出去下雨还送了雨伞，服务员天都很好，赞一个', '短评打分': 5}
{'短评内容': '卫生好，环境也比较好卫生好，环境也比较好卫生好，环境也比较好', '短评打分': 5}
{'短评内容': '不错啊，非常非常不错啊！我喜欢', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行，物有所值，但是要求比较挑剔不是很建议入住!', '短评打分': 1}
{'短评内容': '空调不足', '短评打分': 3}
{'短评内容': '很好的酒店，安静，干净，房间也很大。\n下次还会住的。', '短评打分': 5}
{'短评内容': '房间装修有点陈旧了。地理位置算市中心，比较安静。', '短评打分': 5}
{'短评内容': '总体感觉还可以，下次要住，也可以考虑，毕竟实惠', '短评打分': 5}
{'短评内容': '因为价格合理，交通方便，房间比较宽敞，早餐丰富，卫生间设备较好，在萧山就一直选这家酒店。', '短评打分': 5}
{'短评内容': '多次选择这家酒店入住，经济实惠，交通方便，酒店房间比较大，浴室有浴缸和淋浴房，可以两人同时洗澡，互不干扰。就是电视机和沙发有些救了，不过整体环境还是整洁的，值得推荐。', '短评打分': 5}
{'短评内容': '房间装修有些陈旧，总体环境还可以。房间有送水果和小瓶的洋酒。', '短评打分': 5}
{'短评内容': '感觉非常不错的酒店。设施良好，环境优雅。价格合理。早餐很丰富。推荐!', '短评打分': 5}
{'短评内容': '这个休闲间设施已经老旧，隔音效果太差，隔壁的房客彻夜不眠开着电视，影响休息。以后还是住标间好，早餐最好能够早一点。', '短评打分': 5}
{'短评内容': '住了好多次酒店，感觉不错，卫生和服务都很好，停车也方便。性价比高。', '短评打分': 5}
{'短评内容': '这次入住酒店换了折叠式梳子，非常不好！我的长发老是被卡住。最后没办法只能请服务员帮我找回以前酒店的梳子才能用。酒店其它各方面都还挺好的，服务周到。', '短评打分': 5}
{'短评内容': '升级了房间，装修不新。靠马路，有点吵。总体尚可。', '短评打分': 5}
{'短评内容': '这次换了个房间，不靠近铁轨。空调还可以，但不足。', '短评打分': 5}
{'短评内容': '安排的房间靠近火车铁轨，比较吵。空调力度不够，温度不够高。', '短评打分': 5}
{'短评内容': '其他还不错，就是隔音效果差了点~', '短评打分': 3}
{'短评内容': '不错的，经常入住这家酒店，环境服务都是很好的，', '短评打分': 5}
{'短评内容': '总体好可以的,离飞机场也近，下次有机会还是来预定的', '短评打分': 5}
{'短评内容': '地段闹中取静，周边吃饭不大方便。早上打车还算方便。房间有些陈旧。', '短评打分': 5}
{'短评内容': '酒店服务很好，很贴心。空调效果比较差，入住的时候觉得热。', '短评打分': 5}
{'短评内容': '房间有味道，总台服务还不错，但是其他的服务员态度不行，见面都不打招呼，不符合酒店的星级，早饭品种不多', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 3}
{'短评内容': '商务大床间空间不大设施全但没有局促感服务好整体感觉比昨晚的另一个四星级强太多', '短评打分': 3}
{'短评内容': '酒店环境好，用餐方便，服务周到，我们一行很满意。', '短评打分': 5}
{'短评内容': '来萧山现在就住这家酒店，就是早上打车不好打。服务很好，房间有水果送。中餐厅的菜味道很好。', '短评打分': 5}
{'短评内容': '酒店很好，我和朋友都很喜欢，下次还会入住。', '短评打分': 5}
{'短评内容': '很好！很好！很好！很好！很好！很好！很好！', '短评打分': 5}
{'短评内容': '看来这里的住宿还行，早餐和开元萧山宾馆比就差了。', '短评打分': 5}
{'短评内容': '相对来说，这里的位置就是离办事的地方近，附件的开元萧山宾馆的人气更大', '短评打分': 5}
{'短评内容': '服务不错 地段可以 设施还好 主要是吃饭比较方便 周围有超市 小吃店 貌似酒店也有饭店 但貌似比较贵 。。。。。。。', '短评打分': 5}
{'短评内容': '酒店整体感觉还可以，服务员帮忙叫的士态度很好。街道不热闹，不方便。', '短评打分': 5}
{'短评内容': '这次入住休闲房价格涨３０元一晚，我觉得涨得过多，毕竟休闲房是无窗的，房间面积也不大。希望暑假旅游季节过后价格能调回原来的。', '短评打分': 5}
{'短评内容': '地段不错,吃住都很方便,就在老城区里.随行都能逛商店.', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '很卫生，服务态度好。但无窗的休闲房隔音不好，隔壁房间的人谈话或电视机都可以听得清清楚楚。建议酒店有房间不满的情况下，尽量安排隔开房间给客人入住。', '短评打分': 5}
{'短评内容': '服务不错。。。但是性价比不高。。。房间有点贵 \n四星级的价格连电视都不是液晶的。。。。房间也小小的\n要知道现在很多快捷酒店硬件都不错了', '短评打分': 1}
{'短评内容': '环境舒适', '短评打分': 3}
{'短评内容': '酒店的房间比预期的小的点，四星级的酒店这个条件稍微逊色了点，房间装修的风格太不像四星的气派，倒像快捷酒店。唯一好的是服务态度还OK.', '短评打分': 5}
{'短评内容': '好酒店，服务，早餐都不错，就是离萧山火车站有点远。', '短评打分': 5}
{'短评内容': '我会给其它人介绍，不错的酒店，服务也很好', '短评打分': 5}
{'短评内容': '订的是218的无窗房，挺小的，枕头只有两个 少了点，空调严重不足，打到15度还是热死\n比较之下还是喜欢住快捷酒店 性价比强多了', '短评打分': 5}
{'短评内容': '该酒店性价比一般，没有什么特色可言，只能说马马虎虎吧。', '短评打分': 1}
{'短评内容': '房间舒适', '短评打分': 3}
{'短评内容': '这家酒店不错，酒店服务很人性化，只是萧山这个地方的出租车不太地道，当然这跟酒店无关！', '短评打分': 5}
{'短评内容': '酒店服务很好，环境也好，交通便利。', '短评打分': 3}
{'短评内容': ' 四星级设施感觉不够到位 服务可以', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '第一次入住凯豪大酒店，感觉大厅安静整洁，房间很舒适。总台的服务也很贴切。', '短评打分': 5}
{'短评内容': '快半年没住这了，这次还是一如既往的觉得酒店的服务啊，各方面都是很好。服务员都很亲切，客房服务很好，送餐也不错。早餐也比较丰富，选择种类还可以。反正各方面感觉物有所值。', '短评打分': 5}
{'短评内容': '好！很好！下次一定会再次入住的！希望每次去都有水果送！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '服务不错，房间也很好，只是位置太偏！交通不便，打车用了40分钟！', '短评打分': 1}
{'短评内容': '比较干净 ， 住着还行，服务态度也比较好，服务员会很有礼貌的跟你打招呼', '短评打分': 5}
{'短评内容': '酒店不错。服务好。住的女士房感觉温馨。推荐。', '短评打分': 5}
{'短评内容': '适合自驾前往,环境不错,设施挺新的,服务业还可以,就是在周边找不到好一点的饭店吃饭.', '短评打分': 5}
{'短评内容': '四星级酒店的服务果然很不错           ！', '短评打分': 5}
{'短评内容': '酒店地段好，在萧山区的老城区，交通方便，又比较安静。酒店的卫生间设计比较独特，有两个淋浴的地方。以前住过女士房，真的很温馨，也想把家装修成那样的。', '短评打分': 5}
{'短评内容': '一如既往的服务好，不过随着时间的推移，设施上最好能够改进一下，比如讲窗帘，能否改进一下能够更加的合缝，避免有光线能够漏进来影响睡眠质量。', '短评打分': 5}
{'短评内容': '周边很冷清，房间空调很差，热天去的空调打一下午进去还直冒汗，后来给了个电风扇也不解决问题啊！', '短评打分': 1}
{'短评内容': '作为四星级标准宾馆，价格还算便宜，自助早餐的种类少了点，但味道都还可以', '短评打分': 5}
{'短评内容': '在萧山的首选,房间硬件还行,空间稍小,服务还行.', '短评打分': 5}
{'短评内容': '不错 ，就是特价房空间比较小，有点闷气。', '短评打分': 5}
{'短评内容': '酒店设施舒适，服务周到，商务旅游都很适合', '短评打分': 5}
{'短评内容': '第二次入住了，很不错，就是无窗的稍微闷了点。', '短评打分': 5}
{'短评内容': '酒店位置不错,早餐也可以,下次还入住.感觉很温馨.', '短评打分': 5}
{'短评内容': '帮表哥订的，后来打电话过来和我说很满意，以后还会来，说要请我客，帮他订了这个房间。4星级的酒店，有这个价位，很好了，还有双早，他说早餐很浪漫。。。对了，押金要600', '短评打分': 5}
{'短评内容': '我住在436房', '短评打分': 3}
{'短评内容': '1. 酒店好象6层,设施较旧,位置也不是太方便 .\n2. 电梯位置靠走廊一侧,比较偏远,另一侧防火通道中塞满了杂物垃圾.', '短评打分': 1}
{'短评内容': '房间隔音和通风稍差，有一种窒息的感觉，不过酒店拖鞋是消毒后反复使用，很符合环保理念，给予支持。', '短评打分': 5}
{'短评内容': '相当不错的酒店，房间很干净，洗澡水很大很舒服，物超所值。', '短评打分': 3}
{'短评内容': '前几次入住都有水果赠送，这次迟点入住了，欢迎水果也没有了。入住后服务员来房间询问是否还有浴巾之类的用品缺少，而且还真的有少了的。但愿只是个别现象。前几次都选推荐，这次就不推荐了。', '短评打分': 1}
