{'短评内容': '挺不错的，干净，卫生！服务态度好！', '短评打分': 5}
{'短评内容': '很好啊，不错的', '短评打分': 5}
{'短评内容': '停车方便^_^', '短评打分': 5}
{'短评内容': '确实有点英雄迟暮的感觉了，酒店管理出了问题，但瘦死骆驼啊！比周边的好很多！', '短评打分': 5}
{'短评内容': '太子的性价比非常不错。购物习惯不知不觉地被改变了，为什么？产品品质+价格+服务品质。希望京东一直做大做强，成为中国的美亚！', '短评打分': 5}
{'短评内容': '订房确认速度太慢了，相差半小时', '短评打分': 5}
{'短评内容': '很好的哦，价格合理', '短评打分': 5}
{'短评内容': '雖然很冷清 但是衛生維護得很好 酒店雖舊, 但設施狀況佳 沒人的好處是很安靜  還是值得入住的', '短评打分': 4}
{'短评内容': '好酒店，有名气，现在更有名气了，可是看样子生意不好，价格已经很低了。何解？', '短评打分': 4}
{'短评内容': '很老的酒店', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还好，冷清了点', '短评打分': 4}
{'短评内容': '传说的酒店。带个室外泳池的3星吧。早餐也很一般。', '短评打分': 4}
{'短评内容': '房间很大，干净，隔音效果也很好，下次会入住', '短评打分': 5}
{'短评内容': '卫生是很好，酒店也安静到不行。最大的缺点是wifi网络无论接线还是用无线都又慢又卡连网页都打不开无法正常工作了都', '短评打分': 3}
{'短评内容': '人可真少啊  !!!!还是需要重新改善卫生和设备.', '短评打分': 3}
{'短评内容': '很好，就是稍旧', '短评打分': 3}
{'短评内容': '好，环境好，服务好，设施一流，桑拿很有特色', '短评打分': 5}
{'短评内容': '一如以往的好', '短评打分': 3}
{'短评内容': '服务细心，酒店硬件、周边环境都好，值得推荐的酒店。', '短评打分': 5}
{'短评内容': '房间还行 环境也不错 在当地这个镇上算还可以的', '短评打分': 5}
{'短评内容': '我是这里老客户了虽然装修已经有点旧了但是还是整洁依旧，管理是很好的。早餐没有以前的好了。', '短评打分': 5}
{'短评内容': '最中意的酒店。只要有机会我一定再去!感觉太好了', '短评打分': 5}
{'短评内容': '今天取消太子定房', '短评打分': 3}
{'短评内容': 'a good hotel', '短评打分': 3}
{'短评内容': '酒店干净，温馨。 周边购物，商铺都很方便。\n早餐好好吃', '短评打分': 5}
{'短评内容': '酒店有点旧，餐饮一般，园林不错', '短评打分': 3}
{'短评内容': '这次终于给了靠游泳池的房间，不容易啊！景色不错，就是稍微有点旧了，和国外的酒店比起来国内酒店维护确实需要跟上。', '短评打分': 5}
{'短评内容': '虽然该酒店在市里但酒店的绿化作的很充分,酒店周围有很大一片绿化树木和假山空气很好.酒店的设施很到位,设计人性化,服务也很好. 我因为定的是花园观景房,所以房间里很大的那扇落地大玻璃窗有防紫外线功能窗口有个大的沙发床很舒服,感觉很好.下次一定会再入住.', '短评打分': 5}
{'短评内容': '交通位置不错，早餐也很好值得推荐。我预订的是两间花园房，但后来给的却是一间花园，一间街景，比较遗憾。', '短评打分': 5}
{'短评内容': '服务很给力。帮国外客户定的，他很满意！推荐', '短评打分': 5}
{'短评内容': '服务上服务员周到，比较热情。环境比较满意。设施比较齐全。酒店可以上网。采光通风都比较好。', '短评打分': 5}
{'短评内容': '太子酒店真可以列为国际五星级的酒店，设施很好，很人性化，为入住的宾客可以住得舒舒服服！', '短评打分': 5}
{'短评内容': '每次来东莞都会住在这家,虽然现在已经没有前2年好了,但是和东莞其他酒店比还是不错的,安全.', '短评打分': 5}
{'短评内容': '行价比很高，非常喜欢。下次还住这里。 。。。。', '短评打分': 5}
{'短评内容': '酒店不错，内部环境好，但周围太偏僻，服务设施少', '短评打分': 5}
{'短评内容': '酒店整体性价比不错，是五星级，港商台商等较多，西餐厅的自助餐不错，就是环境有点吵。据当地朋友说这酒店经常是影视剧选景合作酒店，比较有名气。', '短评打分': 5}
{'短评内容': '是帮客户订的。感觉他们还挺满意的。以后如果需要，还会来订的。', '短评打分': 5}
{'短评内容': '是帮客人订的，客人说还不错，下次还会入住', '短评打分': 5}
{'短评内容': '可以，一如既往的好，但早餐品种太少了，床太软了，还有大堂经常不开灯，觉得有点小气。', '短评打分': 5}
{'短评内容': '非常好的酒店，服务和设施都好。 下次继续入住。要写的太多了。xxxxxxxxxxxxxxxxxxxxx\n\n', '短评打分': 5}
{'短评内容': '酒店服務非常好，游泳池以及健身房設備也很不錯! 很推薦他的早餐，總類以及口味都很不錯! 下次一定還會去住房', '短评打分': 5}
{'短评内容': '酒店周邊沒有什麼東西，但酒店內設施應有盡有，尢具喜歡它的洗手間，下次到黃江會再入住！', '短评打分': 5}
{'短评内容': '演艺吧超赞的，房间相对老一些，不过装潢都显档次。过东莞必去之酒店。', '短评打分': 5}
{'短评内容': '位置好，房间安静，仅然配了影片机可免费看最新片孑', '短评打分': 5}
{'短评内容': '酒店可以', '短评打分': 3}
{'短评内容': '床太舒服了！早餐及服务也不错！', '短评打分': 3}
{'短评内容': '五星里算价钱还可以的，不过感觉装修的风格不喜欢', '短评打分': 5}
{'短评内容': '房間不算大也不算豪華，泳池很大，環境不錯，酒店周邊什麼也沒有', '短评打分': 1}
{'短评内容': '非常好的酒店，设计很细心，服务很周到，下次一定还住这里。', '短评打分': 5}
{'短评内容': '很不错的一家酒店,早餐内容好,房间干净,服务也好.\n以后还要住.但是有些象情人酒店.\n', '短评打分': 5}
{'短评内容': '以前总是帮客人订，这次自己住了。感受真不错，双床房床是1.5M的，够宽，每张床有3个枕头，舒服，有一个枕头还是药枕。房间里的家具材质都很好，洗手间装修不错，宽敞，有大大的浴缸，可以边泡澡边看电视，单独的淋浴房，人性化的设计还有专门的晾衣绳，毛巾还有洗手间的地毯软软的，真舒服，一次性的用品也很舍得哦，高露洁的家用型的牙膏等。装修一亮点就是镜子特多，特别是洗手间，显得特别亮堂。自助早餐环境不错，食品也', '短评打分': 5}
{'短评内容': '一如既往的好。', '短评打分': 3}
{'短评内容': '酒店不错，半年来已经三次入住，起初也是朋友介绍。只是早餐一成不变，每次都千篇一律，这里的厨师比较好做哇。', '短评打分': 5}
{'短评内容': '酒店很漂亮干净。', '短评打分': 3}
{'短评内容': '这个酒店的服务非常好。性价比是很好的。下次来黄江我还乐意住在这个酒店。', '短评打分': 5}
{'短评内容': '隔音不错，晚上休息比较好，而且休闲舒适.', '短评打分': 5}
{'短评内容': '酒店服务人员态度很热情，而且对我们也特别虔诚，比较不错.', '短评打分': 5}
{'短评内容': '酒店整体条件还是不错的，不过还是在局部装修中，感觉有点乱乱的，不过还算不错.', '短评打分': 5}
{'短评内容': '房间宽敞明亮，而且位置也特别好，出行挺方便的，整体水平还算不错.', '短评打分': 5}
{'短评内容': '客房装修风格很好，很舒服，而且服务也热情，比较适合差旅.', '短评打分': 5}
{'短评内容': '请酒店门童叫出租车说是没有，推荐坐酒店的出租车，带外国同事去附件的一个麦当劳买份快餐即回。说话来回30元，回到酒店后司机却索要50元，虽然最后在大堂经理协助下支付30元了解，但是这个出尔反尔的做法让人不愉快。其他的服务人员，包括电脑网络服务人员都很热情，态度非常好', '短评打分': 5}
