{'短评内容': '空间有点小，卫生也一般', '短评打分': 4}
{'短评内容': '该酒店位置较偏，周边饮食购物不方便。晚上大货车很吵。停车场共用，车被档无法开出。索要发票必须留下电话。发生问题时酒店的人员从上到下强词夺理，将自己的责任推得干干净净：我们一行下午入驻酒店，停车入位，洗漱休息后下来开车，结果驾驶员一侧被其他车挡住无法打开车门，找前台态度不好，不过经过近15分钟的等待，终于挡我们车的车主将车移开。更为可恶的事发生在第二天的早晨5点，因要去机场送人，早晨下来开车，结果档', '短评打分': 1}
{'短评内容': '房间挺不错的、就是没有电梯，我没有去吃早餐，所以不太清楚早餐质量。', '短评打分': 3}
{'短评内容': '服务态度很好，室内环境也不错，可以免费上网和打长途，距离闹市区也非常近，唯一遗憾是没有电梯', '短评打分': 3}
{'短评内容': '环境干净清爽，设备较新，免费早餐。外面临近钢材市场，较吵，总体性价比较高。', '短评打分': 3}
{'短评内容': '订房时说可以停车，但是收费，没有意见！但是到宾馆后，却说停车场不是他们的让自己，让我们自己停。入住后上网开始还可以，后来不知怎么打开个网页要几分钟才可以，打电话到前台询问，让我等几分钟，可是打了6个电话，等了半个小时还不止，来了个喝多了的男同志，来搞了半天也没头绪，我让他走了！无奈！感觉有被骗的感觉！除了价格便宜点，没什么优势，看来验证了那句话便宜没好货！下次不会再入住了！还有客房服务员的态度也不', '短评打分': 1}
{'短评内容': '环境一般，网速如牛车，服务还行，对的起这个价钱', '短评打分': 3}
{'短评内容': '垃圾，顶多值80块钱，设施好陈旧，又偏，周围都没有吃饭的地方', '短评打分': 1}
{'短评内容': '   zong的说还可以，烧水的壶线短够不到卫生间的插座，放桌子上用电脑上网，插电烧水怕溅出又不方便，所以只好把垃圾筒倒扣着水壶放上面烧水。\n    早餐餐厅里面的那个男管理员像个穷鬼，把鸡蛋拿到里屋去盖着，别人不问他也不说。早上退房要带几个鸡蛋出发，前台也让拿着三个房卡去那，那人却不让拿，说必须所有人都来，还要当场在他眼前吃掉，不能带出去吃。', '短评打分': 5}
{'短评内容': '环境比较干净，也比较安静，房间稍微小一点，总之还不错。', '短评打分': 5}
{'短评内容': '按性价比看还可以，没有电梯，楼层不高，2-5层，1楼是卖车的。', '短评打分': 5}
{'短评内容': '酒店很干净，很好', '短评打分': 3}
{'短评内容': '相对来说还是可以的，免费早餐、上网、电话和各种服务都有。', '短评打分': 5}
{'短评内容': '环境还可以，挺干净的', '短评打分': 3}
{'短评内容': '卫生一般，但位置较偏（公交车要在货场站下），周围买东西不方便，当时是春节期间去的无早餐供应，所以也不便评价早餐质量了！', '短评打分': 1}
{'短评内容': '环境很不错，房间也还可以，就是有点远，坐车不是很方便', '短评打分': 5}
{'短评内容': '房间大，环境好', '短评打分': 3}
{'短评内容': '房间挺干净的，对得起这个价位，就是位置有些偏，坐车吃饭都不方便', '短评打分': 3}
{'短评内容': '酒店很好，房间很干净，设施也很好。我们是下午入住的，阳光明媚啊！！哈哈、、还有免费的早餐，这对周围一大圈没有吃饭的地方来说，超级便利啊、、我们第二天考国考，所以早餐很重要的、总的来说，很满意、、、', '短评打分': 5}
{'短评内容': '还可以吧      早餐都差不多       就是有点偏僻', '短评打分': 5}
