{'短评内容': '老板热情！', '短评打分': 5}
{'短评内容': '老板热情！', '短评打分': 5}
{'短评内容': '青年旅社，青年特点，非常不错的一次体验。', '短评打分': 5}
{'短评内容': '去三亚就去这里吧.离开都会想念..希望我也可以被想念.', '短评打分': 5}
{'短评内容': '老板人挺好', '短评打分': 3}
{'短评内容': '全五星没得说，老板人超级好，下次来三亚还住这儿，对了，这儿有游泳池，老板还非常热心的教我们游泳，可以唱歌，水自助，棒棒哒', '短评打分': 5}
{'短评内容': '忘记哪家酒店了', '短评打分': 5}
{'短评内容': '小伙伴很热情 店员友善 是个人出行的不二选择', '短评打分': 5}
{'短评内容': '在市区 去景点都很方便 老板人很好 会组织大家一起活动 喜欢热闹的可以参加', '短评打分': 5}
{'短评内容': '不错 比较好找', '短评打分': 5}
{'短评内容': '就是有点远，偏。', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错，环境不错，服务不错，挺好的', '短评打分': 5}
{'短评内容': '在三亚雍和国际青年遇到了传说中的九妹，和九妹在一起的时间并不长，但是是最开心的时候。也遇到了大表哥.二表哥.美芳妹子.还有好多的大美女.东北哥们.教我学单反的小哥，小哥做的饭特别好吃。在三亚雍和国际青年感觉能遇到好多好多朋友，特别喜欢三亚雍和国际青年。如果九妹住一个月我也会住一个月。九妹就像那首歌一样九妹九妹漂亮的妹妹。', '短评打分': 5}
{'短评内容': '连续住了几晚，感觉房主跟住客都很好相处很友善！有机会还会光顾！', '短评打分': 5}
{'短评内容': '很经济实惠，床垫很软睡的很舒服！旅店老板人很好说话，住的很满意！', '短评打分': 5}
{'短评内容': '门面虽小 五脏俱全 还不错', '短评打分': 5}
{'短评内容': '和老板住客们玩的很开心烧烤很给力住的很开心，阿牛谢谢你帮我们做的晚饭。', '短评打分': 5}
{'短评内容': '房间隔音略差，其他都不错~\n虽然比较难找，但是住几天后就发现地方不错，就在鹿回头免税店后面。老板和老板娘人都不错~谢谢照顾了！\n\n建议把楼顶平台开发开发~同时希望一楼能够尽快恢复使用~', '短评打分': 5}
{'短评内容': '环境很一般 热水不是24小时供应 房间的隔音很差而且旁边有工地很早就开工 总体感觉不是很理想', '短评打分': 3}
{'短评内容': '很好的旅社，房东和住客都很好！房间和环境都不错，很经济实惠！', '短评打分': 5}
{'短评内容': '从免税店路口上去大概十分钟,老板娘人不错', '短评打分': 3}
{'短评内容': '有家庭旅馆的温馨', '短评打分': 3}
{'短评内容': '此旅馆真是难找,一定要打电话问', '短评打分': 3}
{'短评内容': '房间没有单独的卫生间。去上厕所或者洗澡运气不好的话要排很久。', '短评打分': 1}
{'短评内容': '干净舒服，我们自己买海鲜回来，老板娘帮忙做的，味道很不错哦！', '短评打分': 3}
{'短评内容': '住的很舒服。。。虽然老公一直郁闷没有中央五，但是对我来说这不重要。。。嘿嘿   旅社的人很好嘞', '短评打分': 5}
{'短评内容': '还可以的一家旅舍 老板一家人不错 可以给推荐一些景点 只是隔音不太好 符合这个价格的标准', '短评打分': 5}
{'短评内容': '交通便利，卫生OK，服务热情，老板娘厨艺超赞~嘿嘿', '短评打分': 5}
{'短评内容': '这里的人都很热情哦，可以帮你安排旅游路线，还能认识很多朋友，而且性价比很高，感觉很超值。', '短评打分': 5}
{'短评内容': '环境非常好，服务也非常棒，到了这里给人感觉很温馨，像在家里一样。', '短评打分': 5}
{'短评内容': '房间的面积不是很大，设施一般，不过按照旅馆的标准也差不多了，服务方面倒是值得称赞！', '短评打分': 5}
{'短评内容': '这里位置还不错，出门很方便，装修的风格很适合年轻人，以后有机会大家都可以考虑这里哦！', '短评打分': 5}
{'短评内容': '这里还是比较好住的，卫生方面也还可以，有很多热爱旅游的朋友，大家在一起交流很融洽。', '短评打分': 5}
{'短评内容': '虽然没有星级酒店的设施完善，但对于我们年轻人来说，一张床铺足矣，重要的是有老板热情的招待，就感觉像在家里一般。', '短评打分': 5}
{'短评内容': '这家旅馆的位置挺好的，坐公车还有到海边都非常近，老板人也很亲切的~！', '短评打分': 5}
{'短评内容': '周边环境一般吧，位置还行，旅馆整体给人的感觉还是蛮不错的，都是年轻人气氛很活跃。', '短评打分': 5}
{'短评内容': '非常称赞的是老板娘的厨艺，真的很美味哦！而且这里很干净，没有什么看着不顺眼的。', '短评打分': 5}
