{'短评内容': '房间挺好，值得推荐', '短评打分': 5}
{'短评内容': '宾馆里面还行，毕竟价位在那，服务员还都挺客气热情的。就是早餐一般。不过外面也真是没有什么早餐可吃的。', '短评打分': 4}
{'短评内容': '交通方便，停车场大', '短评打分': 5}
{'短评内容': 'just so so', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '非常好，以后还去入住。', '短评打分': 4}
{'短评内容': '酒店很不错，环境很好，服务态度也挺不错的，隔音还行，不吵闹，距离流亭机场很近，交通很方便，下次出行还继续住。', '短评打分': 5}
{'短评内容': '很好！！！！！', '短评打分': 5}
{'短评内容': '交通方便，周边配套设施完善，每次都是入住这边。交通方便，周边配套设施完善，每次都是入住这边。交通方便，周边配套设施完善，每次都是入住这边。', '短评打分': 5}
{'短评内容': '交通方便，离办事地方近。交通方便，离办事地方近。交通方便，离办事地方近。交通方便，离办事地方近。交通方便，离办事地方近。交通方便，离办事地方近。', '短评打分': 5}
{'短评内容': '环境还好，服务也挺好的，但是昨晚住的房间，空调太差，太冷了', '短评打分': 5}
{'短评内容': '周边环境只能说是一般，其他的都是相当可以的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好………', '短评打分': 5}
