{'短评内容': '挺干净的一家酒店', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '可以不错的', '短评打分': 5}
{'短评内容': '比较方便。', '短评打分': 3}
{'短评内容': '环境很整洁', '短评打分': 5}
{'短评内容': '六角恐龙疯了疯了的', '短评打分': 5}
{'短评内容': '第一天由于客房比较紧，安排的房间门锁不好用，只能用楼层服务员的卡才能开门，第二天也开不了了，改用总卡才能开门。', '短评打分': 4}
{'短评内容': '经常住这家酒店，早餐比较满意，由于近邻高架桥，临街这边比较吵，不过酒店装有双层窗户，隔音效果也不错！', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '床不大舒服 其他还好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店服务非常好，服务人员人热情也很有耐心，房间打扫的也很干净，就是地板看上去有的脏，可能是因为地毯的原因。', '短评打分': 4}
{'短评内容': '房间很干净，电视空调等设备看上去也很新，入住感觉不错，这次的房间靠近高架，会有点噪音。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '酒店位置很好，交通便利，房间装修也不错，打扫的很干净，设施齐全，房间里面有凉拖洗澡也很方便，考虑的很周全。', '短评打分': 4}
{'短评内容': '住了这次，我以后都会首选绿洲宾馆了！性价比超高！', '短评打分': 5}
{'短评内容': '还好啦，就是面积不大…', '短评打分': 3}
{'短评内容': '环境还可以，就是位于公路旁，夜晚会有一点噪声。其他OK', '短评打分': 5}
{'短评内容': '该酒店总体感觉还是比较好的  服务各个方面都算不错  唯一欠缺的是  卫生间的卫生不是很好。', '短评打分': 5}
{'短评内容': '该酒店总体感觉还是比较好的  服务各个方面都算不错  唯一欠缺的是  卫生间的卫生不是很好。', '短评打分': 5}
{'短评内容': '房间有味道，而且窗户对着高架桥，很吵', '短评打分': 3}
{'短评内容': '房间有味道，而且窗户对着高架桥，很吵', '短评打分': 3}
{'短评内容': '酒店总体环境还可以，高档豪华，就是特价房要抢，这点弄不明白。前台服务员挺性感的哈。', '短评打分': 5}
{'短评内容': '酒店总体环境还可以，高档豪华，就是特价房要抢，这点弄不明白。前台服务员挺性感的哈。', '短评打分': 5}
{'短评内容': '环境干净，早餐菜品不多但味道都不错。', '短评打分': 3}
{'短评内容': '环境干净，早餐菜品不多但味道都不错。', '短评打分': 3}
{'短评内容': '很不错，设施齐全，服务周到', '短评打分': 3}
{'短评内容': '很不错，设施齐全，服务周到', '短评打分': 3}
{'短评内容': '豪华房还是可以的，干净，也稍有情调。。就是门缝里塞的**广告太多了，刚一进门，关门，马上塞来一张，随后陆陆续续来4张，，你们认为所有入驻的都是那种人吗？这点很不喜欢。。店家能不能制止一下？？？', '短评打分': 1}
{'短评内容': '豪华房还是可以的，干净，也稍有情调。。就是门缝里塞的**广告太多了，刚一进门，关门，马上塞来一张，随后陆陆续续来4张，，你们认为所有入驻的都是那种人吗？这点很不喜欢。。店家能不能制止一下？？？', '短评打分': 1}
{'短评内容': '很温馨 感觉很好 早餐也可以         就是隔音不太好', '短评打分': 5}
{'短评内容': '很温馨 感觉很好 早餐也可以         就是隔音不太好', '短评打分': 5}
{'短评内容': '环境还不错，里面干净。地理位置也可以，价格也能接受。', '短评打分': 5}
{'短评内容': '环境还不错，里面干净。地理位置也可以，价格也能接受。', '短评打分': 5}
{'短评内容': '酒店还行，就是设施有一些陈旧，最大的缺点就是在高架桥旁边！', '短评打分': 3}
{'短评内容': '酒店还行，就是设施有一些陈旧，最大的缺点就是在高架桥旁边！', '短评打分': 3}
{'短评内容': '房间干净，住起来还算舒服！房间可以点餐！', '短评打分': 5}
{'短评内容': '房间干净，住起来还算舒服！房间可以点餐！', '短评打分': 5}
{'短评内容': ': 酒店各方面都不错，就是位置稍微偏了点，前台服务态度特别好，给人很亲切的感觉。不过靠路边的房间晚上有点吵', '短评打分': 3}
{'短评内容': ': 酒店各方面都不错，就是位置稍微偏了点，前台服务态度特别好，给人很亲切的感觉。不过靠路边的房间晚上有点吵', '短评打分': 3}
