{'短评内容': '位置不错，交通便利', '短评打分': 4}
{'短评内容': '无早餐，不能加床，地下室，信号不好，停车位也没有，只是离中央大街近，玩的方便', '短评打分': 5}
{'短评内容': '门口有停车位！不是很多！酒店位置好！', '短评打分': 4}
{'短评内容': '带孩子出去玩，公交方便，附近有大型超市。', '短评打分': 4}
{'短评内容': '不太苛刻的话，条件是不错的！位置中央大街边上，步行3分钟！带孩子有家庭房！不错的停车场室外的！看情况！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好的酒店，去年就来住过的。今年酒店的房价较之去年还便宜了不少。。一百元都不到。总的来说很实惠，最关键的是就在市中心。', '短评打分': 5}
{'短评内容': '去年就来住过，所以今年再来的时候就二话不说的在携程上订了这家旅店。就在中央大街，索菲亚教堂的边上，很近，很方便。而且住宿价格也很实惠。总之，既实惠又方便干净的酒店', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '杠杠的', '短评打分': 5}
{'短评内容': '不错，住的还算可以！', '短评打分': 4}
{'短评内容': '太不好了，地下室，太潮湿了', '短评打分': 1}
{'短评内容': '服务人员服务周到，态度很好！', '短评打分': 5}
{'短评内容': '暖气不算很热，热水还是挺热的，不过需要放好久', '短评打分': 4}
{'短评内容': '嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯嗯', '短评打分': 5}
{'短评内容': '房间挺干净，就是小点。', '短评打分': 3}
{'短评内容': '屋子不大 还算干净 不过就是没有空调 隔音一般 早上楼上的小学生下课好吵都睡不着觉 不过老板人不错', '短评打分': 5}
{'短评内容': '很干净 ??泽', '短评打分': 3}
