{'短评内容': ' 全程完美服务', '短评打分': 5}
{'短评内容': '有加床，服务好', '短评打分': 5}
{'短评内容': '价格便宜，清净', '短评打分': 4}
{'短评内容': '位置偏僻，周边没有商场、超市、美食、休闲娱乐，生活岀行都不太方便。离财校、幼师较近，适合家长来看望在两校上学的小孩', '短评打分': 4}
{'短评内容': '没无线网。厕所毛巾不知道几次利用', '短评打分': 1}
{'短评内容': '已经住了很多次了，酒店配置很好，商务出行还是很适合的，交通也很方便，以后还会再次入住的。周边配套很方便', '短评打分': 4}
{'短评内容': '已经住了很多次了，酒店配置很好，商务出行还是很适合的，交通也很方便，以后还会再次入住的。周边配套很方便', '短评打分': 4}
{'短评内容': '服务还可以', '短评打分': 5}
{'短评内容': '好的┄交通便利┄，，，，，，  ', '短评打分': 5}
{'短评内容': '定了两个房间，去那边考试在携程旅游上提前订的房间，本以为不怎么样，到了以后，房间挺大，挺干净，比想象中条件要好哦！很满意！', '短评打分': 5}
{'短评内容': '后续竟然没了返现，相当没了优惠… 也懒得在携程预定了。', '短评打分': 4}
{'短评内容': '老客户，算是支持！', '短评打分': 4}
{'短评内容': '老客户，算是支持！', '短评打分': 4}
{'短评内容': '老客户，算是支持！', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
