{'短评内容': '干净', '短评打分': 5}
{'短评内容': '位置挺好找的，对面就是超市，交通便利', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '酒店对面有华润万家，周围吃饭地方比较多，对面就是公交车站，共享自行车也比较多，比较方便!酒店干净卫生，提供免费矿泉水!', '短评打分': 5}
{'短评内容': '', '短评打分': 3}
{'短评内容': '为考试订的，其他地方都涨价了，京东订还是挺实惠的', '短评打分': 5}
{'短评内容': '还可以，服务员态度挺好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '订到了特价房，运气真好！', '短评打分': 5}
{'短评内容': '这个月唯一一次没有打折，有点小贵，其余都不错', '短评打分': 5}
{'短评内容': '连锁酒店汉庭是性价比最高的，地理位置方便，房间也打扫的干净，唯一不足的是装修有点旧了，不过也不影响入住。', '短评打分': 5}
{'短评内容': '性价比较高，且出行方便，酒店已在分层装修了，相信环境会焕然一新', '短评打分': 5}
{'短评内容': '性价比较高！', '短评打分': 5}
{'短评内容': '吵吵吵，感觉真的很吵，不过前台服务态度还是很好的。', '短评打分': 1}
{'短评内容': '环境不错，除了隔音依旧是弊病外。卫生间通风扇的隔音没有，隔壁的声音听得清清楚楚', '短评打分': 5}
{'短评内容': '除了没有停车场，其他基本满意，酒店的房间也干净，定的大床房和双卧套房空间都还可以，前台的服务态度也不错', '短评打分': 5}
{'短评内容': '酒店位置便利，对面就是华润万家超市，但设施较为陈旧。也就是这个价吧', '短评打分': 5}
{'短评内容': '100元就住到了汉庭 真的是超值的啊~~而且附件吃饭和超市银行药店都有 方便 特价就是好', '短评打分': 5}
{'短评内容': '酒店非常旧  并且环境不好 停车不方便 我们为了停车在附近晃了半个小时 非常浪费我们的时间 周边服务设施还算齐全  超市 快餐什么都有', '短评打分': 1}
{'短评内容': '床很大，也蛮干净的。只是大床房靠着马路早上有点吵。', '短评打分': 5}
{'短评内容': '还不错，还蛮干净。', '短评打分': 3}
{'短评内容': '房间很大，而且很干净', '短评打分': 3}
{'短评内容': '拖鞋很差，洗漱用品也很差。房间感觉一般，不是很干净。吹风机都是坏的，不能用。', '短评打分': 1}
{'短评内容': '拖鞋很差，洗漱用品梳子也很差，洗衣服挂的太短，只能挂两件，房间一般。265，性价比不高。不是开会，不住这。', '短评打分': 1}
{'短评内容': '酒店服务很热情，只是去主要景区不方便、远了。如果是家庭旅行又没自驾车就别住这家了。房间床很舒服其他就很一般了。', '短评打分': 1}
{'短评内容': '感觉还行。但也称不上特别好，感觉杭州酒店的整体价格偏贵！', '短评打分': 5}
{'短评内容': '不错的酒店位置很好，价格适中，服务到位，下次还要去住，就是早餐差了点', '短评打分': 5}
{'短评内容': '房间大，设备全。干净。我们住的是靠小区的那边，不吵，很不错。', '短评打分': 3}
{'短评内容': '很好！非常好！服务好！我住的是100元特惠房，超级棒！', '短评打分': 5}
{'短评内容': '酒店位置不错，交通比较方便！但如果是自驾，请不要入住该酒店，因为停车非常不方便，没有停车的地方，在酒店对面有个协议停车场，但都停满了！在酒店周围转悠了半个多小时，竟然找不到停车的地方，因为路边都停满了车！很麻烦！感觉非常不爽：酒店竟然没有停车的地方！', '短评打分': 5}
{'短评内容': '很不错，很超值，床很大，房间很干净。就是临街有点吵', '短评打分': 5}
{'短评内容': '酒店还不错 超级大床 能睡4人呢！临街 对面就是华润万家超市 隔壁就是快餐店 味道也还不错 很方便~服务人员不够热情。', '短评打分': 5}
{'短评内容': '强烈推荐！交通非常方便，打的、坐公交车就行！对面是华润万家，购物很方便。汉庭的房间比较宽敞、干净，卫生间与淋浴房公用一门的设计挺别致的，而且大堂还有电脑可以上网查资料，很满意！', '短评打分': 5}
{'短评内容': '优点：房间宽敞、干净\n缺点：靠近马路，即使关上窗户也很吵，影响睡眠。', '短评打分': 1}
{'短评内容': '汉庭不错，入住与退房都比较方便，电梯刷卡的设置也比较安全。唯一一点就是门的隔音和隔光都有点瑕疵', '短评打分': 5}
{'短评内容': '简约，舒适一直都是我选择汉庭的原因，文一店的地理位置也是极其优越的，价格上也很公道', '短评打分': 5}
{'短评内容': '我订的双卧套房不错，非常大，2个房间，每个房间一张床，床很大。不错，但是停车不方便，在马路对面的弄堂里面，害得我们在交通高峰期绕来绕去。', '短评打分': 5}
{'短评内容': '床够大，但很硬，这里去西湖打车二十，去灵隐寺二十八。', '短评打分': 5}
{'短评内容': '酒店的有些设施比较旧了，入住时房间的淋浴喷头坏了，能及时给调换房间这点做的不错，不过网页上显示酒店房间已满，但实际上酒店并未客满，难免有弄虚作假的嫌疑。还有就是200多的房间都不送早餐，相比较莫泰做的就好多了。其他的卫生，服务等方面做的还行。', '短评打分': 1}
{'短评内容': '酒店位置很好，交通便利，公交车站一清新村就在酒店门口，马路对面就是华润万家的超市，酒店的设施有点陈旧了，靠街的房间面临马路比较吵，不过窗户隔音效果还不错，关上窗户声音就小多了，对声音不是特别敏感的人应该不会影响到睡眠。', '短评打分': 5}
{'短评内容': '服务没有其他汉庭好,房间还很贵,前台服务很怠慢.', '短评打分': 1}
{'短评内容': '酒店地理位置不错，就是早餐品种少了点。', '短评打分': 5}
