{'短评内容': '住置优越，整体感觉还不错', '短评打分': 5}
{'短评内容': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置不错的，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '差评。楼上就是ktv.前台服务态度差', '短评打分': 1}
{'短评内容': '还可以。凑合', '短评打分': 4}
{'短评内容': '临街，太吵，到处发霉，大床房窗户小到可以说没有。到处都是烟味，电梯犯傻（上下楼不下5次基本每次从5楼往下都没反应）除了价格便宜一点真没啥觉得好（第一次来这地方住，也不知道其他酒店的行情）', '短评打分': 3}
{'短评内容': '宾馆有Ktv 很吵，隔音较差，不好停车，其它还是可以的，总体还对的起价位！', '短评打分': 4}
{'短评内容': '干净，整洁，物廉价美', '短评打分': 5}
{'短评内容': '就是隔音有点差', '短评打分': 4}
{'短评内容': '太吵', '短评打分': 3}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '差不多啊擦擦擦擦擦擦擦', '短评打分': 3}
