{'descr': '酒店前台服务人员态度极差', 'star': 1}
{'descr': '酒店个别人员服务态度很差，问几个问题态度极其恶劣，', 'star': 3}
{'descr': '酒店位置不错，离着塘沽轻轨站很近！', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '双床一大一小，现在天津降温，开空调室温上不去。幸好被子暖和。房间2个人够大了。洗漱用品都是单独包装好的。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好好，服务好！！！', 'star': 5}
{'descr': '挺好的事情就是这样', 'star': 5}
{'descr': '环境不错！很好！', 'star': 5}
{'descr': '价格便宜，房价干净卫生。', 'star': 5}
{'descr': '房间非常干净，价格也很实惠，交通也很方便\n。', 'star': 5}
{'descr': '酒店房间非常干净，经常在这里住，周边配套齐全离地铁站很近。', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '第一次在京东预定酒店 发现挺实惠滴 酒店也很不错', 'star': 5}
{'descr': '价格实惠，房间也干净哦，经常住。', 'star': 5}
{'descr': '酒店挺干净的，一直在这住。', 'star': 5}
{'descr': '每次去都是这里，交通方便，', 'star': 5}
{'descr': '价格挺实惠的，房间也很干净哦。', 'star': 5}
{'descr': '价格挺实惠的，也很干净哦。', 'star': 5}
{'descr': '价格挺实惠的，也很干净哦。', 'star': 5}
{'descr': '价格挺实惠的，也很干净哦。', 'star': 5}
{'descr': '价格挺实惠的，也很干净哦。', 'star': 5}
{'descr': '嗯，没有，比想象中的要好，但也没有想这么差', 'star': 5}
{'descr': '价格很实惠，房间很干净的，', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '价格挺便宜的，也很干净。', 'star': 5}
{'descr': '经常住它家，挺干净的了，蛮不错的哦。', 'star': 5}
{'descr': '经常住它家，挺干净的，蛮不错哦。', 'star': 5}
{'descr': '萌萌哒！不错！', 'star': 5}
{'descr': '路过住了一宿还行吧，管理有点松，因为在房间里发现小卡片了，这在别的锦江店里是没有的，可能年头开的长了。', 'star': 5}
{'descr': '我每次出差都住锦江，因为它是品牌，这家店还可以吧，因为它开的年头有点多，价格便宜，这次在天津路过住了一宿。', 'star': 5}
{'descr': '不错不错', 'star': 5}
{'descr': '还可以，总体不错', 'star': 4}
{'descr': '酒店位置非常好，很方便，附近大学城到哪个学校都很方便', 'star': 5}
{'descr': '酒店设施位置环境都非常不错', 'star': 4}
{'descr': '挺好了，，，，', 'star': 5}
{'descr': '不错不错不错', 'star': 5}
{'descr': '每次去塘沽就住这里，酒店有点年头了，但是酒店品质一如既往，非常好。', 'star': 5}
{'descr': '给前台打电话态度很不好', 'star': 5}
{'descr': '价格合理，标间房子干净整洁。整体感觉很好~', 'star': 3}
{'descr': '地理位置很好，去哪里都很方便。房间环境不是很好，毛巾不太干净。', 'star': 3}
{'descr': '地理位置很好，去哪里都很方便。房间环境不是很好，毛巾不太干净。', 'star': 3}
{'descr': '酒店环境很好，位置不错，酒店的服务态度不错，在塘沽算是不错的好酒店，值得推荐', 'star': 5}
{'descr': '酒店环境很好，位置不错，酒店的服务态度不错，在塘沽算是不错的好酒店，值得推荐', 'star': 5}
{'descr': '安静，周围餐饮还算便利，离洋货不算远，价格还称', 'star': 5}
{'descr': '安静，周围餐饮还算便利，离洋货不算远，价格还称', 'star': 5}
{'descr': '位置、交通、环境、卫生都不错，打80分。', 'star': 5}
{'descr': '位置、交通、环境、卫生都不错，打80分。', 'star': 5}
{'descr': '这次入住已经是第三次了，整体水平可以说能保持下来。', 'star': 5}
{'descr': '这次入住已经是第三次了，整体水平可以说能保持下来。', 'star': 5}
{'descr': '服务很好，交通也很便利，已经是第二次入住了！', 'star': 5}
{'descr': '服务很好，交通也很便利，已经是第二次入住了！', 'star': 5}
{'descr': '挺好的，交通方便，房间也很干净，很安全，带孩子还是不错的。', 'star': 5}
{'descr': '挺好的，交通方便，房间也很干净，很安全，带孩子还是不错的。', 'star': 5}
{'descr': '酒店地點不好找，但服務不錯，也有無煙房，希望下次還能去住。', 'star': 5}
{'descr': '酒店地點不好找，但服務不錯，也有無煙房，希望下次還能去住。', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': '早餐很好，性价比好。\n上楼电梯需要刷卡，下楼不刷卡只能去一楼。\n隔音效果真的不是很好。\n早上6点多点，就被轻轨吵醒了。', 'star': 5}
{'descr': '早餐很好，性价比好。\n上楼电梯需要刷卡，下楼不刷卡只能去一楼。\n隔音效果真的不是很好。\n早上6点多点，就被轻轨吵醒了。', 'star': 5}
{'descr': '这次装修后比上次正在装修时好很多, 电梯加了用卡才能到楼上,表扬!\n但浴巾感觉有点黏手,没有别的地方之锦江之星好(如上海).', 'star': 5}
{'descr': '这次装修后比上次正在装修时好很多, 电梯加了用卡才能到楼上,表扬!\n但浴巾感觉有点黏手,没有别的地方之锦江之星好(如上海).', 'star': 5}
{'descr': '很温馨的酒店，特色的大小床标间，符合锦江一贯的服务水准，自驾游很适合的选择。\n最好提前预定，房间很紧张的样子\n价格嘛，给网络的就是标准价格，锦江会员有更好的价格\n', 'star': 5}
