{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '房间夜里睡觉有点干，放台加湿器就好了！谢谢', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 5}
{'短评内容': '非常值得推荐和再次入住的酒店', '短评打分': 5}
{'短评内容': '各种设施都很完好齐全，服务也很热情贴心，以后继续入住。', '短评打分': 5}
{'短评内容': '一般般，空调温度控制不太好', '短评打分': 4}
{'短评内容': '不错！物有所值', '短评打分': 5}
{'短评内容': '行政大床房，只有一罐薯片，其他吃的都没有，收费的也没关系，有欢迎水果？别闹了房间里什么也没有，房间小，感觉使用面积不大，行政酒廊里服务的态度是很好，其他的没感觉到', '短评打分': 1}
{'短评内容': '感觉不值，安保很好，隐私?', '短评打分': 5}
{'短评内容': '环境不错?，毕竟价格在', '短评打分': 5}
{'短评内容': '很好，没毛病，下次继续购买', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或花哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈嘿嘿嘿', '短评打分': 5}
{'短评内容': '五星水准名不虚传，环境不错购物方便，交通便利', '短评打分': 5}
{'短评内容': '酒店环境非常好，前台有气质！', '短评打分': 5}
{'短评内容': '万达就是万达', '短评打分': 5}
{'短评内容': '卫生好服务好！', '短评打分': 4}
{'短评内容': '酒店位置非常好，周边去哪里都非常方便，吃饭和购物也很好。酒店设施很新，人也不杂，商务是首选，再来济南就住这了。', '短评打分': 5}
{'短评内容': '一如既往的好', '短评打分': 5}
{'短评内容': '服务一如继往的好', '短评打分': 5}
{'短评内容': '服务态度超级棒', '短评打分': 5}
{'短评内容': '市中心 挺好的 边上就是万达广场', '短评打分': 5}
{'短评内容': '地理位置不错，环境也可以，总体感官很好，下次还会来的', '短评打分': 5}
{'短评内容': '环境非常好，床很软', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店非常不错，早餐也很丰盛，周边有修路交通不畅', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '设施不用说，豪华酒店么，交通很好，我对于服务有点不满意，服务员感觉很冷漠。', '短评打分': 5}
{'短评内容': '位置很好, 去哪里都方便, 旁边的万达广场, 吃饭的地方也多,  离火车站也近, 就是门口在修路, 酒店设施还不错, 以后来济南住这里还不错的.', '短评打分': 4}
{'短评内容': '很好!交通便利，房间新，服务也很好!很干净!', '短评打分': 5}
{'短评内容': '感觉很好，酒店开业时间不长，很时尚，设施也都比较人性化，不错。旁边就是万达广场，购物、餐饮等都很方便。', '短评打分': 5}
{'短评内容': '＋酒店条件很好。就是没含早餐。', '短评打分': 3}
{'短评内容': '非常好!!我以后在想去！！ 推荐你去这酒店。', '短评打分': 5}
{'短评内容': '新酒店，设施很好，很干净。而且性价比很高', '短评打分': 5}
{'短评内容': '第一次去济南纠结于到底订哪个区域的酒店好，后来决定定凯悦。现在行程走完，感觉自己当初的决定是对的。\n首先，酒店在大观园区域。火车站、趵突泉都有公交车到，打车也就是起步价，（到大明湖有点距离）。其次酒店靠近万达，餐厅比较多。其三附近有居民楼，便宜的快餐店也有。总而言之地段好！\n再来说说酒店本身。五星的嘛，毋庸置疑！硬件设施不错的，因为我定的早，价格也还可以接受。本人提早到上午11点入住也能及时帮我办', '短评打分': 5}
{'短评内容': '还是不错，很干净,新酒店，位置也好...', '短评打分': 5}
{'短评内容': ' 所谓75平方的套房还是空间小', '短评打分': 3}
{'短评内容': '很舒适，细节不错', '短评打分': 3}
{'短评内容': '\n购物方便', '短评打分': 3}
{'短评内容': '非常好的酒店，设施，服务，位置都非常好，唯一一点缺点是酒店到主路的出口不太好，出租车不愿进来，需要走几步路。', '短评打分': 3}
{'短评内容': '不错!就是离路边太近了!不错!就是离路边太近了!', '短评打分': 5}
{'短评内容': '酒店不错 以后常驻这个了', '短评打分': 3}
{'短评内容': '位置好，酒店新，服务还不错，下次还会来的。建议：房间电公布全，游泳池电话房间查不到，中英文标识再全些，有的只有英文。', '短评打分': 5}
{'短评内容': 'Check in实在是太慢了，我等了半个多小时，订的房间还没有，最后给调了一个，但是酒店很干净', '短评打分': 1}
{'短评内容': '酒店很好很气派，很好的选择', '短评打分': 3}
{'短评内容': ' 新开的，挺不错的，很好，交通方便，位置优越！', '短评打分': 3}
{'短评内容': '非常干净。环境很好。离万千百货咫尺之之遥。。', '短评打分': 5}
{'短评内容': '贵有贵的道理，五星级就是五星级，好。就是那天没给我送齐鲁晚报啊，前台的疏忽。', '短评打分': 5}
{'短评内容': '很满意，酒店服务好，环境优雅，自助餐甜点很好吃', '短评打分': 5}
{'短评内容': '不错不错  服务乃至设施方面都非常的不错                                                                ', '短评打分': 5}
{'短评内容': '济南除了喜来登 终于有真正连锁5星酒店了 设施很新 服务很nice 只是房间里面没有加湿器 太干了（我要求过高 哈哈） 一定会推荐 还有让我注册了会员 但是我回来后会员号显示未登记。。。不知道怎么回事', '短评打分': 5}
{'短评内容': '不错啊！就是能再便宜些就好了。要不多返利也行。', '短评打分': 5}
{'短评内容': '出行非常方便，房间很舒适，性价比合理。早餐也比较丰盛。 ', '短评打分': 5}
{'短评内容': '非常好的酒店，绝对的五星级。\n美中不足的是，酒店里没有单独的西餐厅，似乎不太符合凯悦的标准。', '短评打分': 5}
{'短评内容': '离顺河高架近，在市里办事方便，不错的五星。', '短评打分': 5}
{'短评内容': '酒店各方面都不错，服务很细致，希望自助餐品种、质量再改进一些，下次到济南还住。', '短评打分': 5}
{'短评内容': '全新的酒店，春节期间促销价格十分给力。房间很宽敞，尤其是对浴室设备十分满意，符合凯悦一贯的品质。写字台上有与电视连接的HDMI接口，但不知为什么连接设备后就是现实不出来，最后还是用了模拟口，但这些接口都是第一次看到酒店有，应该是考虑商务客人的需要，很好！用了健身房和游泳池，也都中规中矩，春节期间没什么人用，一人独享，很爽。离店时要求延迟半小时退房，很顺利。就是已经一个多月了，凯悦住宿正常送的航空里', '短评打分': 5}
{'短评内容': '客房很舒服，周围很热闹，交通很方便，应该是济南最好的酒店了', '短评打分': 5}
{'短评内容': '地段不错，位于经四路万达广场的西侧，并且离济南的景点都非常近。餐饮、旅游都比较方便。\n服务人员的态度都非常友善，素质比较高。\n游泳池和健身房设施高档，服务周到。\n提几点与Hayatt不相称的改进意见如下：\n1、房间的卫生间座厕的异味大。不知为什么没有排风的设施。只留有排放口。\n2、晚间房间的温度不够，尽管被子是羽绒被盖着不冷。但暖风不给力，并且出风口噪音比较大。\n3、前台结账时，查房如果没有完毕就', '短评打分': 5}
{'短评内容': '酒店服务很棒，房间设施也不错。唯一美中不足出门出租车不好坐，每回都要等很长时间才能坐到。宾馆还是很推荐的', '短评打分': 5}
{'短评内容': '房间设计很好，舒适，干净，唯一不足是电视一般，且不是很清楚。', '短评打分': 3}
{'短评内容': '哈哈，点评还能沙发。酒店很干净就是前台服务一般，床也舒服', '短评打分': 5}
