{'descr': '服务及卫生均不如过去矣', 'star': 3}
{'descr': '这个不是点评上的一尘，那个正在装修，坐落在快捷酒店一条街上。这个是X吴酒店，嗯，临时不洗澡可住，有自煮早餐粥', 'star': 3}
{'descr': '只为了便宜定的！地铁站接飞机送！挺方便的！除了酒店旧了很多其他都很好！听说要装修了！装修后还会来定的！', 'star': 3}
{'descr': '价格便宜，有接送机，卫生也还好，还是很不错的', 'star': 5}
{'descr': '对面看到水，位置有点点偏但离机场不是太远，而且送我们去机场的也很方便', 'star': 5}
{'descr': '23点前可以提供免费接送机服务，位置偏僻', 'star': 4}
{'descr': '酒店位置比较醒目，相对来说方便找到，酒店内部设施较新，服务人员的态度也比较和蔼，总体来说，可以算是性价比较高的酒店。', 'star': 3}
{'descr': '非常不好，态度极其恶劣，并且不接送', 'star': 1}
{'descr': '便宜 位置好 接送机方便 环境一般但是值', 'star': 3}
{'descr': '挺好 方便便宜', 'star': 4}
{'descr': '比较方便，挺好的', 'star': 4}
{'descr': '非常好，无论是房间还是态度', 'star': 3}
{'descr': '虽然离机场很近，但是晚上很安静。环境不错。还免费接送，推荐。', 'star': 5}
{'descr': '住的不错，就是有点偏', 'star': 3}
{'descr': '离机场很近，酒店非常不错，就是司机服务态度太差，第二天自己打车去的', 'star': 5}
{'descr': '有专车接送 这个是最好的\n其他的都一般\n看起来一点都不干净\n只能说是便宜 有个地方睡觉 ', 'star': 1}
{'descr': '地方有点偏~ 有车接车送~ 半夜没有~\n离2号线较远、白天有送机时，可以捎人去地铁站~\n房间勉强合格，但是我住了一晚八棱八角的房间。心情不美丽\n周边啥都没有，去的话自带食品（店里有超市，但是没进去）', 'star': 1}
{'descr': '第二次住，有专车接送挺方便', 'star': 3}
{'descr': '凌晨1点多下飞机， 虽然说有接送， 但司机颇有微言，位置挺偏僻的， 不过第二天可以送机或者到最近地铁站，  其实这个还不错啦。···房间也挺大的~', 'star': 1}
{'descr': ' SO CLEAN SO GOOD', 'star': 3}
{'descr': '蛮好的，到机场方便', 'star': 3}
{'descr': '离最近的地铁站约10分钟的距离~不过晚上一个人从外面的店走到里面的店真的很恐怖（一尘有两个店面）~下次入住最好是白天过去的说~', 'star': 5}
{'descr': '房价可以 而且离机场很近 不过服务就有点...而且吃的也很...晚上飞机声音太大 难以入睡..不过离机场就几分钟 总的来说图近的话可以', 'star': 5}
{'descr': '这个位置，这个价格，就是为了去机场，其他的没什么好说的，免费接送服务不错。五十个字还真不太好凑。五十，五十，五十，五十，', 'star': 5}
{'descr': '距离机场近，免费接送机场这个比较吸引人，其他的就没有什么了。条件就那样。价格在这个位置也不算怎么便宜了。', 'star': 5}
{'descr': '干净，便宜，就是偏远了点。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '蚊子太多。能免费接送去机场，还是相当不错的服务。', 'star': 5}
{'descr': '离三甲港海滨度假区蛮近的一家酒店，酒店蛮干净的', 'star': 5}
{'descr': '可以免费接送浦东机场，这点比较好。去机场坐飞机为了方便可以考虑住在这里。很幽静。', 'star': 5}
{'descr': '机场20多分钟，吃饭不咋样！听说那边要盖迪斯尼', 'star': 5}
{'descr': '还不错，有机场接送服务。转机凑活住着还成。', 'star': 5}
{'descr': '酒店环境很好，地理位置离机场也很近，下次还会选择这家。', 'star': 5}
{'descr': '有点偏远。能接送到机场，还算不错。这个价格也就这样了。', 'star': 5}
{'descr': '海边酒店,有机场SHUTTLE BUS,赶飞机还可以,早早出发了没注意环境', 'star': 5}
{'descr': '我明明订的是大床房，却给了我一间标间。环境也不是特别好，除了离机场近点还可以。', 'star': 1}
{'descr': '接机服务真的很方便，但住宿条件真的很一般，座早机住这还是很方便的。总体来说凑合吧！', 'star': 5}
{'descr': '因为在浦东转机，所以选择这家，接送机服务很速度，设施也可以，就是早上淋浴的水是凉的。性价比还可以了。关键是世博期间涨价不是太凶猛的不多了 。', 'star': 5}
{'descr': '一如既往，有机场接送。设施一般般，早餐亦一般般。早餐到8:30，去晚了(8:15)就没菜了。', 'star': 5}
{'descr': '酒店提供免费机场接送服务，我晚上的飞机到浦东，酒店也来接了，很贴心！', 'star': 5}
{'descr': '1111111111111111111111111111111111111111111111', 'star': 1}
{'descr': '还行，就是地方有点偏！！但如果出门在外，酒店有到机场的班车还真的不错，如果再把卫生情况搞好一点会更加吸引顾客的。', 'star': 5}
{'descr': '主要就是靠机场近，有免费的班车\r\n\r\n设施很一般，就是农民宾馆', 'star': 1}
{'descr': '酒店的位置太偏了，服务还可以不过不太认真，马虎，早餐还可以，房间有蟑螂，个头还不小！！！', 'star': 1}
{'descr': '服务非常好，接机送机很满意，也很方便。 下次还来住哦\r\n卫生各方面都不错。 就是早餐准备点西餐用具和西点就好了，要考虑到会有外国朋友入住。期待下次入住时能得到改善', 'star': 5}
{'descr': '地方偏远点可有接机很方便,店内很卫生店内环境不错,价格很划算', 'star': 5}
{'descr': '一般般，除了接机服务不错，别的没什么好推荐的，朋友房间的床单还是脏的，非常吵，后面的水塘很臭，搞的人不敢开窗', 'star': 3}
{'descr': '住的蛮舒服的，就是个人去找酒店地址比较麻烦。建议酒店把世博期间的更方便的接送方法发布在网上，这样更多网友就能更方便找到酒店。总体不错。', 'star': 5}
{'descr': '还行，就是离上海市区远点，在浦东机场附近', 'star': 1}
{'descr': '我们去的时候前台态度很好，小伙子也很帅的哈哈，因为我们都是晚上逛完世博回去的，结果那天晚上地铁出故障，酒店的名片说可以派车接，但是打电话过去又说不接着个不是很满意总体来说是很不错的', 'star': 5}
{'descr': '+环境很不错，靠近海滨浴场，又有车机场接送，很值得入住！！！', 'star': 5}
{'descr': '住一尘大酒店值得推荐，真的很不错，价格实惠，房间干净无异味，卫生间也很干净，冷热水都很好，离浦东机场也很近，有车接送，很方便，', 'star': 5}
{'descr': '机场接机很不错，，只是距离市区比较远，凑合吧', 'star': 5}
{'descr': '还不错，挺方便的，服务还可以，下回有机会再光临，谢谢！', 'star': 5}
{'descr': '怎么说呢。床很硬。非常吵。隔音不好。卫生不好。有早餐\r\n\r\n接机服务不错 ', 'star': 5}
{'descr': '位置不好，但是有机场接送，所以很方便！附送的早餐也很不错。', 'star': 5}
{'descr': ' 感觉不错 接机服务也很好', 'star': 5}
{'descr': '有车接送，服务很周到，住宿也舒适，就是周围路况差了点，不容易找到', 'star': 5}
{'descr': '+酒店离浦东机场很近，还有接机服务,房间我挺干净整洁，很好!下次还会入住。但前台态度需要改正。', 'star': 5}
{'descr': '接送机服务很好，适合浦东机场周边出差的人，价格也比较便宜\r\n不足：早餐不太卫生，订的大床房，被换成了标准房\r\n不过考虑到世博，性价比还是不错的', 'star': 5}
{'descr': '+还可以。', 'star': 5}
{'descr': '+房间干净，设施基本符合要求，物廉价美…', 'star': 5}
{'descr': '+一尘大酒店，比我想象中的好！工作人员挺热情的。物美价廉，是赶飞机的人一个不错的选择。', 'star': 5}
{'descr': '一尘大酒店，比我想象中的好！工作人员挺热情的。物美价廉，是赶飞机的人一个不错的选择。', 'star': 3}
{'descr': '接机服务很好～酒店离机场也不是太远，比较方便转机的旅客，但是不要对酒店设施，卫生有太多要求～', 'star': 3}
