{'短评内容': '布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '不适合冬天来，设施陈旧', '短评打分': 5}
{'短评内容': '还行 但卫生有点问题', '短评打分': 5}
{'短评内容': '位置超好，其它，呵呵。', '短评打分': 4}
{'短评内容': '好，，，，，，，，，，', '短评打分': 5}
{'短评内容': '离海比较进，带孩子和老人去的，环境很好，屋子收拾的干干净净', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比高，一睁眼就能看到大海，赞', '短评打分': 5}
{'短评内容': '地理位置非常好，其它的很一般', '短评打分': 3}
{'短评内容': '酒店位置好！家的感觉！推荐给很多朋友都住过，很好！', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '海景房视野非常好，房间干净', '短评打分': 5}
{'短评内容': '整体还可以，房间有点旧了，建议重新装修', '短评打分': 5}
{'短评内容': '冬天过去没有暖气 空调只能开到十度', '短评打分': 4}
{'短评内容': '千万别订…房间根本住不了人 特别特别冷！还不给退！纯粹是坑人的酒店…谈不上酒店…设施极差…差到不能再差！', '短评打分': 1}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '有点贵，房间比较老', '短评打分': 4}
{'短评内容': '和预期的感觉一样，订的公寓海景套房，房间很宽敞，也很干净，有两个大露台，一个小露台，房间虽然位置有点偏，但还是能清楚的看到大海，带着老人孩子一家5口人一点问题也没有。有厨房，可以自带电磁炉电水壶碗筷这些简单的厨房用品，或者房间内带的饮水机也是可以使用的，还有个小冰箱。吃饭可以去楼下的餐厅，个人感觉菜的味道不错，量也够多，价格适中，我们吃了两顿都吃的很香。很多人反映的早饭不好，我觉得每个人的要求不一', '短评打分': 5}
{'短评内容': '中肯地讲，可以算是南戴河最好的公寓酒店了，过了马路就是海滩，设施都比较新，房间不小，有独立的厨房，冰箱、抽油烟机、饮水机，卫生间干湿分离，洗澡间和评价的一样跟卧室之间有个小窗户，帘子很透光，不过一家人就无所谓啦。平日和周末的价格一样，周末的房间很不好定，北京人住的居多，订房含早餐，也还不错，我们午饭自己做，晚饭基本都在一楼的餐厅解决，服务也还算热情，一次性的洗漱用品一应俱全，就是打扫房间需要主动提', '短评打分': 5}
{'短评内容': '还不错，离海近，但早餐不好，房间挺大，可以看到海', '短评打分': 5}
{'短评内容': ' 环境不错 早餐不错 离海灰常近 下次还会住的', '短评打分': 3}
{'短评内容': '酒店离海非常近,海景房景色非常好,硬件设施一般,厨房一定要自带电磁炉,锅具和碗筷才能用,总体感觉还可以.', '短评打分': 3}
