{'短评内容': '超级好，价格也很实惠，早餐也很可口，主要是服务人员都很到位', '短评打分': 5}
{'短评内容': '地方确实很好', '短评打分': 5}
{'短评内容': '酒店环境很好，早餐很棒，孩子很喜欢', '短评打分': 5}
{'短评内容': '有停车场，没有早餐', '短评打分': 5}
{'短评内容': '都挺好', '短评打分': 5}
{'短评内容': '感觉一般！', '短评打分': 3}
{'短评内容': '比较干净，每天都有人打扫卫生，唯一缺点就是没有能擦桌子的东西。价格很合适，离金沙滩不远。也有停车位，周边比较繁华。是吃饭和住宿一体的，饭菜较贵。', '短评打分': 5}
{'短评内容': '服务好，有停车场', '短评打分': 5}
{'短评内容': '服务好有免费的停车场', '短评打分': 5}
{'短评内容': '房间设施非常老旧，只有大厅的餐厅凑活！', '短评打分': 2}
{'短评内容': '环境不错，价格合适。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境位置都不错，早餐也很好，下次去会再定。', '短评打分': 5}
{'短评内容': '酒店很好，房间的话基本干净！隔音一般', '短评打分': 5}
{'短评内容': '服务很好，有早早餐，坐车方便', '短评打分': 5}
{'短评内容': '真的很不错，房间很干净，早餐很丰盛，以后去黄岛就订你家了。', '短评打分': 5}
{'短评内容': '物美价廉，交通方便，周边超市、饭店不少。房间虽然不似想象中的大，但也算可以。唯一感到不足的是中央空调，无论怎样调节，房间温度温度始终较高，很难到26度以下，怕热的朋友可能会有些失望。', '短评打分': 5}
{'短评内容': '离海挺近，要是去金沙滩开车5公里早餐还行。', '短评打分': 5}
{'短评内容': '环境不错，很安静，服务也很好，房间不错，挺喜欢卫生间的设计，下次还住这里。', '短评打分': 5}
{'短评内容': '酒店挺好的', '短评打分': 3}
{'短评内容': '头一次从网上预定住宿，总有点忐忑，来到后感觉很好！酒店服务很好，地理位置很方便，房间整洁干净，很好！', '短评打分': 3}
{'短评内容': '环境不错交通方便哈哈', '短评打分': 3}
{'短评内容': '酒店位置还好，就是蚊子太多，吃饭到还方便。', '短评打分': 5}
{'短评内容': '近大海，环境优越，交通便利！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境、卫生都不错！位置比较优越！服务也挺好！', '短评打分': 5}
{'短评内容': '帮朋友预订的，朋友反馈环境不错，早餐挺丰富的，值得推荐', '短评打分': 5}
{'短评内容': '开发区性价比好的酒店，推荐。', '短评打分': 3}
