{'短评内容': '服务态度较差，和欠他钱是的。房间隔音差。早餐也相当太差。', '短评打分': 1}
{'短评内容': '服务态度较差，和欠他钱是的。房间隔音差。早餐也相当太差。', '短评打分': 1}
{'短评内容': '硬件一般，软件业太差。服务质量太差了，没有一点服务意思，房间内打少的也不干净，还有毛发。早饭也太差了。电视台就那么几个，连中央五都没有。', '短评打分': 1}
{'短评内容': '还是不错的 ~环境挺好，然后价格也挺便宜，交通也方便，停车也有车位，也就这么点要求了，都达到了。', '短评打分': 5}
{'短评内容': '酒店离市中心虽然不是太远，但因为正在市政施工所以周围环境不是太好，交通比较方便，购物、吃饭不方便。房间都是平房 特价房是死窗户打不开，就是比无窗房多点采光，房间比较干净，就是房间小了点不像网上标的那么大，而且通道内有异味。服务态度比较好，早餐太差建议改进一些。', '短评打分': 5}
{'短评内容': '设施齐全、房间干净、但没窗户、空间很小！', '短评打分': 5}
{'短评内容': '今天在院子里又看到一辆宾利和幻影，住酒店看豪车，给力。', '短评打分': 5}
{'短评内容': '今天在院子里又看到一辆宾利了，唐山豪车多呀。', '短评打分': 5}
{'短评内容': '宽带速度太给力了，下载速度达到14M每秒，小院子里有好几辆顶级豪车。', '短评打分': 5}
{'短评内容': '酒店服务态度超好，也挺干净的，就是房间太小了', '短评打分': 3}
{'短评内容': '挺干净的，也很安静，就是有点偏离市中心吧。。。', '短评打分': 5}
{'短评内容': '服务很好很到位，就是离市中心远了点，到火车站打车25元。', '短评打分': 5}
{'短评内容': '总体来说不错，比较干净，因为是才开业没多久，所以都很新，感觉用着也比较安心。不过宾馆周围没有KFC或者麦当劳，让我这种出门在外习惯吃快餐的人觉得有些不方便。唯一不好的一点是隔音效果有些差，走廊里的人声听的比较清晰哩！', '短评打分': 5}
{'短评内容': '2012.3.21今天刚入住，酒店里面环境还可以，就是房间有点小，进门就是床，位置不好找，一般打车就说到启新立交桥，不然司机不知道，来唐山坐公交一定要自备零钱，这边很多都是上车一元，不找零。整体这个酒店还可以，饭有点贵啊。', '短评打分': 5}
{'短评内容': '虽然简易但比较干净', '短评打分': 3}
