{'短评内容': 'J酒店太旧啦 早餐巨差 性价比非常低 地处小巷子里', '短评打分': 1}
{'短评内容': '酒店一般，出租车开不进去。前台服务很差，速度超慢。', '短评打分': 1}
{'短评内容': '房间有异味，价高质次!房间有异味，价高质次!', '短评打分': 1}
{'短评内容': '酒店位于长江路，周边逛街的地方挺多，唯独美中不足的就是大门有点难找！', '短评打分': 5}
{'短评内容': '发票章好像还没有更换，公司不给报。木得办法啊。', '短评打分': 5}
{'短评内容': '地处市中心，交通方便，房间内设施不错；早餐很好，自助餐也很不错。', '短评打分': 5}
{'短评内容': '现在看来设施有点陈旧了。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店服务不错，叫车问讯借伞都很耐心，第二次入住了，位置也不错。', '短评打分': 5}
{'短评内容': '房间比较小，房价过高了，服务态度还不错！', '短评打分': 5}
{'短评内容': '房间比较少，吃饭不方便，服务还是很不错的！', '短评打分': 5}
{'短评内容': '在市中心，交通比较方便，就是房间有点小，其他的还行', '短评打分': 5}
{'短评内容': '经常入住此酒店，因为逛街方便，女人街，长江路，近在咫尺', '短评打分': 5}
{'短评内容': '行政间，就房间来说设备比较齐全，也比较安静！卫生情况不错，很舒服！但早餐实在是无法接受，早餐时间说是6点到9点半，但基本上到8点多就没什么东西了！东西品种也少的可怜。这点上影响差了不少！', '短评打分': 5}
{'短评内容': '交通方便，环境还可以，硬件有损坏，性价比一般。', '短评打分': 3}
{'短评内容': '条件很差，餐厅的餐食也很差，服务差强人意。香皂还是用剩的……', '短评打分': 1}
{'短评内容': '地段不错，电梯超慢，桑拿不错，早餐品种太少', '短评打分': 5}
{'短评内容': '酒店的设施很陈旧,价格也不是很好,但服务员还是很热情', '短评打分': 1}
{'短评内容': '大堂看着还行，房间设施太旧。\n晚上入住的，进门到处找不到开房灯 的地方，打了前台才知道有一个圆形的小盘子是房灯开关。\n房间和价格不配套，不推荐入住', '短评打分': 1}
{'短评内容': '酒店的服务很好，前台的工作人员素质很高，我预定该酒店感到酒店的管理很好。', '短评打分': 5}
{'短评内容': '酒店行政套房每天免费送洗一件衬衣  不错', '短评打分': 3}
{'短评内容': '酒店不好找，不错，性价比较高。下次还会住。', '短评打分': 5}
{'短评内容': '虽然房间、设施很旧，服务还行。\n周围吃饭不方便，小饭馆少。\n比较安静。\n早餐基本是能接受的底线，希望再丰富点。\n打市话还收费，真不合理。', '短评打分': 5}
{'短评内容': '，商务单间不好，换了个行政套间', '短评打分': 3}
{'短评内容': '好方便，其他还行吧', '短评打分': 3}
{'短评内容': '还好~ 市中心。就是停车位太少。房内用餐，只有西餐单调些。', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店设施老化，房间与房间之间的隔音效果很差，一晚上都没有睡好！', '短评打分': 1}
{'短评内容': '装修陈旧，房间不小，但设施实在是根本无法评论，实在是太垃圾了，龙头开关都有问题，卫生间的门锁松动，差点开不开了，与价格对比，简直就是垃圾酒店', '短评打分': 1}
