{'短评内容': '太旧了', '短评打分': 3}
{'短评内容': '早餐很简单，白粥，鸡蛋，粉', '短评打分': 4}
{'短评内容': '卫生不行，太久了。', '短评打分': 3}
{'短评内容': '酒店一份价格一份货色', '短评打分': 4}
{'短评内容': '预订入住体验最差的酒店', '短评打分': 1}
{'短评内容': '不错的酒店，经常在这里入住。', '短评打分': 5}
{'短评内容': '还可以哦！环境一般，还不错。', '短评打分': 5}
{'短评内容': '还可以，经常在这里住', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '垃圾中的垃圾，什么破酒店', '短评打分': 5}
{'短评内容': '价格实惠，环境不错', '短评打分': 5}
{'短评内容': '价格实惠，环境也不错', '短评打分': 5}
{'短评内容': '可以哟', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 5}
{'短评内容': '很好。。。', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '房间够大，在金阳算不错的小酒店。就是隔音略差。', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还不错                好', '短评打分': 5}
{'短评内容': '落地玻璃特别好。网不好。', '短评打分': 3}
