{'短评内容': '很不错 服务很好 没享受服务', '短评打分': 5}
{'短评内容': '确实不错', '短评打分': 5}
{'短评内容': '很好的酒店，吃住行都很方便', '短评打分': 5}
{'短评内容': '酒店设施可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的！浴巾，毛巾，水杯，都有一次性包装。有进步！', '短评打分': 5}
{'短评内容': '很不错 感觉还不错哦', '短评打分': 4}
{'短评内容': '几句', '短评打分': 5}
{'短评内容': '酒店的位置很好，周边好多好吃的，离玉皇山大桥和玉皇山都很近，交通方便，公交，打车都很多。酒店设施齐备，还有不间断电源，全套洗涤用品，吹风机，电水壶，免费的茶业和矿泉水（之前住汉庭茶业很普通的小包却收20元，让人接受不了）。酒店还有餐厅，可以点餐，做得很快且给送到房间，价格还很便宜。早餐在二楼，时间是6:45-9:30，我去得有点晚，过了九点了，因为我的吃饭速度快，一般10-15分钟，去得晚难免会有', '短评打分': 5}
{'短评内容': '特别好的酒店', '短评打分': 5}
{'短评内容': '每次都来，在通化算是比较好的酒店了', '短评打分': 5}
{'短评内容': '房间比较干净，早餐比较好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈了', '短评打分': 4}
{'短评内容': '在通化算不错的，就是早餐总是那么几种。', '短评打分': 5}
{'短评内容': '每次到通化出差都住这里，环境还不错，交通便利，周围吃的较多。', '短评打分': 4}
{'短评内容': '一直以来都喜欢锦江之星，干净卫生，价位适合', '短评打分': 5}
{'短评内容': '价格总变化', '短评打分': 4}
{'短评内容': '是个不错的酒店，服务很热情，有问题及时解决，前台推荐的就餐酒店超好。', '短评打分': 5}
{'短评内容': '新开的吧，设施都很新，周边也都是饭店，离玉皇山公园也很近，锦江之星标准化。', '短评打分': 5}
{'短评内容': '很新的一家酒店，服务人员也很热情，早餐也不错，标准的锦江之星酒店。停车在酒店后边有个院子，很安全，旁边有很多的饭店，吃饭很容易。对面八中路口的鸡蛋饼非常好吃，可以试试。', '短评打分': 5}
